Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
6,200	-6,162	-35,924	83,252	-0,1471	-0,858	1,988	6,200	-10,166	13,760	117,181	-0,2427	0,329	2,797	6,200	-2,851	-44,187	41,312	-0,0681	-1,055	0,986
6,250	-7,852	-31,243	101,788	-0,1875	-0,746	2,430	6,250	-9,332	19,305	104,615	-0,2228	0,461	2,497	6,250	-5,009	-41,375	68,958	-0,1196	-0,988	1,646
6,300	-9,287	-25,745	117,810	-0,2217	-0,615	2,812	6,300	-8,236	24,222	91,892	-0,1966	0,578	2,194	6,300	-6,988	-37,291	92,677	-0,1668	-0,890	2,212
6,350	-10,427	-19,462	132,104	-0,2489	-0,465	3,154	6,350	-6,910	28,494	78,383	-0,1650	0,680	1,871	6,350	-8,738	-32,107	115,297	-0,2086	-0,767	2,752
6,400	-11,233	-12,535	141,215	-0,2682	-0,299	3,371	6,400	-5,386	32,060	62,518	-0,1286	0,765	1,493	6,400	-10,199	-25,761	136,659	-0,2435	-0,615	3,263
6,450	-11,680	-5,341	139,644	-0,2788	-0,128	3,334	6,450	-3,704	34,746	43,197	-0,0884	0,830	1,031	6,450	-11,314	-18,441	152,524	-0,2701	-0,440	3,641
6,500	-11,767	1,429	133,204	-0,2809	0,034	3,180	6,500	-1,912	36,380	22,934	-0,0456	0,868	0,547	6,500	-12,043	-10,509	158,651	-0,2875	-0,251	3,787
6,550	-11,538	7,980	136,816	-0,2754	0,190	3,266	6,550	-0,066	37,039	3,770	-0,0016	0,884	0,090	6,550	-12,365	-2,576	151,268	-0,2952	-0,061	3,611
6,600	-10,969	15,111	139,016	-0,2619	0,361	3,319	6,600	1,792	36,757	-17,436	0,0428	0,878	-0,416	6,600	-12,301	4,618	141,215	-0,2937	0,110	3,371
6,650	-10,026	21,881	122,679	-0,2394	0,522	2,929	6,650	3,610	35,296	-40,841	0,0862	0,843	-0,975	6,650	-11,904	11,545	144,356	-0,2842	0,276	3,446
6,700	-8,781	27,379	100,374	-0,2096	0,654	2,396	6,700	5,322	32,673	-61,418	0,1270	0,780	-1,466	6,700	-11,146	19,054	146,712	-0,2661	0,455	3,502
6,750	-7,289	31,919	80,739	-0,1740	0,762	1,927	6,750	6,877	29,154	-78,697	0,1642	0,696	-1,879	6,750	-9,998	26,217	128,962	-0,2387	0,626	3,079
6,800	-5,589	35,453	59,062	-0,1334	0,846	1,410	6,800	8,237	24,803	-95,190	0,1966	0,592	-2,273	6,800	-8,525	31,950	102,259	-0,2035	0,763	2,441
6,850	-3,743	37,825	35,186	-0,0894	0,903	0,840	6,850	9,357	19,635	-109,642	0,2234	0,469	-2,617	6,850	-6,803	36,443	80,582	-0,1624	0,870	1,924
6,900	-1,806	38,971	12,095	-0,0431	0,930	0,289	6,900	10,201	13,839	-120,166	0,2435	0,330	-2,869	6,900	-4,880	40,008	60,476	-0,1165	0,955	1,444
6,950	0,154	39,034	-9,582	0,0037	0,932	-0,229	6,950	10,741	7,618	-125,821	0,2564	0,182	-3,004	6,950	-2,802	42,490	35,971	-0,0669	1,014	0,859
7,000	2,097	38,013	-33,301	0,0501	0,907	-0,795	7,000	10,963	1,257	-126,763	0,2617	0,030	-3,026	7,000	-0,631	43,605	10,681	-0,0151	1,041	0,255
7,050	3,955	35,704	-56,392	0,0944	0,852	-1,346	7,050	10,867	-5,058	-123,936	0,2594	-0,121	-2,959	7,050	1,558	43,558	-13,195	0,0372	1,040	-0,315
7,100	5,667	32,374	-74,456	0,1353	0,773	-1,777	7,100	10,457	-11,137	-117,181	0,2496	-0,266	-2,798	7,100	3,724	42,286	-39,584	0,0889	1,010	-0,945
7,150	7,193	28,259	-90,164	0,1717	0,675	-2,153	7,150	9,753	-16,776	-106,971	0,2328	-0,401	-2,554	7,150	5,787	39,600	-63,931	0,1382	0,945	-1,526
7,200	8,493	23,358	-104,929	0,2028	0,558	-2,505	7,200	8,779	-21,834	-93,462	0,2096	-0,521	-2,231	7,200	7,684	35,893	-83,409	0,1835	0,857	-1,991
7,250	9,528	17,766	-116,710	0,2275	0,424	-2,786	7,250	7,570	-26,122	-76,969	0,1807	-0,624	-1,837	7,250	9,376	31,259	-102,259	0,2238	0,746	-2,441
7,300	10,270	11,687	-124,250	0,2452	0,279	-2,966	7,300	6,167	-29,531	-60,004	0,1472	-0,705	-1,433	7,300	10,810	25,667	-119,695	0,2581	0,613	-2,857
7,350	10,697	5,341	-128,020	0,2554	0,128	-3,056	7,350	4,617	-32,123	-42,726	0,1102	-0,767	-1,020	7,350	11,943	19,289	-132,889	0,2851	0,461	-3,172
7,400	10,804	-1,115	-128,020	0,2579	-0,027	-3,056	7,400	2,955	-33,804	-22,305	0,0705	-0,807	-0,533	7,400	12,739	12,378	-140,901	0,3041	0,296	-3,364
7,450	10,586	-7,461	-124,407	0,2527	-0,178	-2,970	7,450	1,236	-34,353	-0,785	0,0295	-0,820	-0,019	7,450	13,181	5,199	-144,985	0,3147	0,124	-3,461
7,500	10,058	-13,556	-117,967	0,2401	-0,324	-2,816	7,500	-0,481	-33,882	17,436	-0,0115	-0,809	0,416	7,500	13,259	-2,121	-145,613	0,3165	-0,051	-3,476
7,550	9,230	-19,258	-108,385	0,2204	-0,460	-2,588	7,550	-2,152	-32,610	33,929	-0,0514	-0,778	0,810	7,550	12,969	-9,362	-142,000	0,3096	-0,223	-3,390
7,600	8,132	-24,394	-95,190	0,1941	-0,582	-2,273	7,600	-3,742	-30,489	51,679	-0,0893	-0,728	1,234	7,600	12,323	-16,321	-134,774	0,2942	-0,390	-3,218
7,650	6,791	-28,777	-79,639	0,1621	-0,687	-1,901	7,650	-5,201	-27,442	68,173	-0,1242	-0,655	1,628	7,650	11,336	-22,839	-123,936	0,2706	-0,545	-2,959
7,700	5,254	-32,358	-64,246	0,1254	-0,773	-1,534	7,700	-6,486	-23,672	81,053	-0,1548	-0,565	1,935	7,700	10,039	-28,714	-108,699	0,2397	-0,686	-2,595
7,750	3,555	-35,202	-46,024	0,0849	-0,840	-1,099	7,750	-7,568	-19,337	91,892	-0,1807	-0,462	2,194	7,750	8,465	-33,709	-90,164	0,2021	-0,805	-2,152
7,800	1,734	-36,961	-22,777	0,0414	-0,882	-0,544	7,800	-8,419	-14,483	101,474	-0,2010	-0,346	2,422	7,800	6,668	-37,731	-71,785	0,1592	-0,901	-1,714
7,850	-0,141	-37,479	-0,628	-0,0034	-0,895	-0,015	7,850	-9,016	-9,189	108,699	-0,2153	-0,219	2,595	7,850	4,692	-40,888	-51,051	0,1120	-0,976	-1,219
7,900	-2,014	-37,024	19,164	-0,0481	-0,884	0,458	7,900	-9,338	-3,613	112,626	-0,2229	-0,086	2,689	7,900	2,579	-42,836	-24,819	0,0616	-1,023	-0,593
7,950	-3,844	-35,563	40,369	-0,0918	-0,849	0,964	7,950	-9,378	2,073	112,626	-0,2239	0,050	2,689	7,950	0,408	-43,370	0,471	0,0098	-1,035	0,011
8,000	-5,570	-32,987	62,047	-0,1330	-0,787	1,481	8,000	-9,131	7,650	108,856	-0,2180	0,183	2,599	8,000	-1,758	-42,789	24,662	-0,0420	-1,021	0,589
8,050	-7,142	-29,358	81,681	-0,1705	-0,701	1,950	8,050	-8,613	12,959	102,730	-0,2056	0,309	2,452	8,050	-3,870	-40,904	51,522	-0,0924	-0,977	1,230
8,100	-8,506	-24,819	97,547	-0,2031	-0,593	2,329	8,100	-7,835	17,923	93,934	-0,1871	0,428	2,242	8,100	-5,848	-37,636	76,027	-0,1396	-0,899	1,815
8,150	-9,624	-19,604	110,270	-0,2298	-0,468	2,633	8,150	-6,820	22,352	82,467	-0,1628	0,534	1,969	8,150	-7,634	-33,301	97,704	-0,1822	-0,795	2,333
8,200	-10,466	-13,792	120,480	-0,2499	-0,329	2,876	8,200	-5,600	26,169	69,115	-0,1337	0,625	1,650	8,200	-9,178	-27,866	119,381	-0,2191	-0,665	2,850
8,250	-11,003	-7,556	125,035	-0,2627	-0,180	2,985	8,250	-4,203	29,264	52,622	-0,1004	0,699	1,256	8,250	-10,421	-21,363	137,602	-0,2488	-0,510	3,285
8,300	-11,222	-1,288	125,821	-0,2679	-0,031	3,004	8,300	-2,673	31,432	32,673	-0,0638	0,750	0,780	8,300	-11,314	-14,106	148,597	-0,2701	-0,337	3,547
8,350	-11,132	5,027	125,507	-0,2658	0,120	2,996	8,350	-1,060	32,531	12,409	-0,0253	0,777	0,296	8,350	-11,831	-6,503	147,184	-0,2824	-0,155	3,514
8,400	-10,719	11,263	119,538	-0,2559	0,269	2,854	8,400	0,580	32,673	-6,754	0,0138	0,780	-0,161	8,400	-11,965	0,613	137,131	-0,2856	0,015	3,274
8,450	-10,006	16,980	108,228	-0,2389	0,405	2,584	8,450	2,207	31,856	-27,803	0,0527	0,760	-0,664	8,450	-11,770	7,210	137,445	-0,2810	0,172	3,281
8,500	-9,021	22,085	94,562	-0,2154	0,527	2,257	8,500	3,765	29,892	-49,637	0,0899	0,714	-1,185	8,500	-11,244	14,357	142,943	-0,2684	0,343	3,412
8,550	-7,797	26,437	79,482	-0,1861	0,631	1,897	8,550	5,196	26,892	-67,073	0,1240	0,642	-1,601	8,550	-10,334	21,504	131,005	-0,2467	0,513	3,127
8,600	-6,377	30,034	63,774	-0,1522	0,717	1,522	8,600	6,454	23,185	-79,954	0,1541	0,554	-1,909	8,600	-9,093	27,458	107,600	-0,2171	0,656	2,569
8,650	-4,794	32,814	44,454	-0,1144	0,783	1,061	8,650	7,515	18,897	-91,263	0,1794	0,451	-2,179	8,650	-7,589	32,264	87,493	-0,1812	0,770	2,089
8,700	-3,096	34,479	22,305	-0,0739	0,823	0,533	8,700	8,344	14,059	-100,217	0,1992	0,336	-2,393	8,700	-5,867	36,207	69,743	-0,1401	0,864	1,665
8,750	-1,346	35,044	2,513	-0,0321	0,837	0,060	8,750	8,921	8,875	-104,615	0,2130	0,212	-2,497	8,750	-3,968	39,239	48,538	-0,0947	0,937	1,159
8,800	0,408	34,730	-15,865	0,0098	0,829	-0,379	8,800	9,232	3,597	-105,243	0,2204	0,086	-2,512	8,800	-1,943	41,061	24,190	-0,0464	0,980	0,577
8,850	2,127	33,458	-36,443	0,0508	0,799	-0,870	8,850	9,280	-1,649	-102,887	0,2215	-0,039	-2,456	8,850	0,138	41,658	1,257	0,0033	0,995	0,030
8,900	3,754	31,086	-56,235	0,0896	0,742	-1,343	8,900	9,067	-6,692	-96,918	0,2164	-0,160	-2,314	8,900	2,223	41,186	-22,619	0,0531	0,983	-0,540
8,950	5,235	27,835	-71,314	0,1250	0,665	-1,702	8,950	8,611	-11,341	-89,064	0,2056	-0,271	-2,126	8,950	4,257	39,396	-48,066	0,1016	0,940	-1,147
9,000	6,538	23,955	-83,409	0,1561	0,572	-1,991	9,000	7,933	-15,598	-79,639	0,1894	-0,372	-1,901	9,000	6,162	36,380	-68,958	0,1471	0,869	-1,646
9,050	7,631	19,494	-94,719	0,1822	0,465	-2,261	9,050	7,051	-19,305	-68,644	0,1683	-0,461	-1,639	9,050	7,895	32,500	-86,708	0,1885	0,776	-2,070
9,100	8,487	14,483	-103,987	0,2026	0,346	-2,482	9,100	6,002	-22,462	-58,120	0,1433	-0,536	-1,387	9,100	9,412	27,709	-104,301	0,2247	0,662	-2,490
9,150	9,079	9,095	-109,170	0,2168	0,217	-2,606	9,150	4,805	-25,117	-46,653	0,1147	-0,600	-1,114	9,150	10,666	22,070	-119,066	0,2546	0,527	-2,843
9,200	9,397	3,566	-110,898	0,2243	0,085	-2,648	9,200	3,490	-27,128	-32,516	0,0833	-0,648	-0,776	9,200	11,619	15,802	-130,062	0,2774	0,377	-3,105
9,250	9,436	-1,995	-109,799	0,2253	-0,048	-2,621	9,250	2,092	-28,369	-16,650	0,0500	-0,677	-0,398	9,250	12,246	9,064	-136,659	0,2923	0,216	-3,262
9,300	9,197	-7,414	-105,558	0,2196	-0,177	-2,520	9,300	0,653	-28,793	-1,571	0,0156	-0,687	-0,037	9,300	12,526	2,136	-138,858	0,2990	0,051	-3,315
9,350	8,694	-12,551	-98,646	0,2076	-0,300	-2,355	9,350	-0,787	-28,526	11,938	-0,0188	-0,681	0,285	9,350	12,460	-4,822	-137,916	0,2974	-0,115	-3,292
9,400	7,942	-17,279	-88,907	0,1896	-0,413	-2,123	9,400	-2,199	-27,599	26,546	-0,0525	-0,659	0,634	9,400	12,043	-11,655	-133,204	0,2875	-0,278	-3,180
9,450	6,966	-21,441	-76,812	0,1663	-0,512	-1,834	9,450	-3,547	-25,871	42,726	-0,0847	-0,618	1,020	9,450	11,294	-18,143	-124,878	0,2696	-0,433	-2,981
9,500	5,798	-24,960	-63,931	0,1384	-0,596	-1,526	9,500	-4,786	-23,326	58,277	-0,1143	-0,557	1,391	9,500	10,229	-24,143	-112,783	0,2442	-0,576	-2,692
9,550	4,470	-27,835	-49,951	0,1067	-0,664	-1,192	9,550	-5,879	-20,043	72,100	-0,1404	-0,479	1,721	9,550	8,880	-29,421	-96,604	0,2120	-0,702	-2,306
9,600	3,014	-29,955	-32,358	0,0720	-0,715	-0,773	9,600	-6,791	-16,116	84,666	-0,1621	-0,385	2,021	9,600	7,287	-33,804	-79,168	0,1740	-0,807	-1,890
9,650	1,475	-31,070	-11,938	0,0352	-0,742	-0,285	9,650	-7,491	-11,577	94,248	-0,1788	-0,276	2,250	9,650	5,499	-37,338	-61,575	0,1313	-0,891	-1,470
9,700	-0,093	-31,149	6,597	-0,0022	-0,744	0,158	9,700	-7,948	-6,692	99,903	-0,1897	-0,160	2,385	9,700	3,553	-39,961	-39,270	0,0848	-0,954	-0,938
9,750	-1,640	-30,411	23,248	-0,0391	-0,726	0,555	9,750	-8,160	-1,587	103,516	-0,1948	-0,038	2,471	9,750	1,503	-41,265	-13,980	0,0359	-0,985	-0,334
9,800	-3,134	-28,824	40,998	-0,0748	-0,688	0,979	9,800	-8,107	3,660	103,201	-0,1935	0,087	2,464	9,800	-0,573	-41,359	9,111	-0,0137	-0,987	0,218
9,850	-4,522	-26,311	58,748	-0,1080	-0,628	1,402	9,850	-7,794	8,734	98,175	-0,1861	0,208	2,344	9,850	-2,633	-40,354	33,615	-0,0628	-0,963	0,802
9,900	-5,765	-22,949	74,299	-0,1376	-0,548	1,774	9,900	-7,234	13,477	89,850	-0,1727	0,322	2,145	9,900	-4,609	-37,998	58,905	-0,1100	-0,907	1,406
9,950	-6,817	-18,881	86,551	-0,1627	-0,451	2,066	9,950	-6,447	17,719	78,854	-0,1539	0,423	1,883	9,950	-6,432	-34,463	80,582	-0,1536	-0,823	1,924
10,000	-7,653	-14,294	96,290	-0,1827	-0,341	2,299	10,000	-5,462	21,363	65,816	-0,1304	0,510	1,571	10,000	-8,055	-29,939	100,845	-0,1923	-0,715	2,408
10,050	-8,247	-9,252	103,201	-0,1969	-0,221	2,464	10,050	-4,310	24,300	50,423	-0,1029	0,580	1,204	10,050	-9,426	-24,379	120,794	-0,2250	-0,582	2,884
10,100	-8,578	-3,974	106,029	-0,2048	-0,095	2,531	10,100	-3,032	26,405	32,516	-0,0724	0,630	0,776	10,100	-10,493	-17,860	136,659	-0,2505	-0,426	3,262
10,150	-8,644	1,351	105,558	-0,2064	0,032	2,520	10,150	-1,670	27,552	13,980	-0,0399	0,658	0,334	10,150	-11,212	-10,713	144,199	-0,2677	-0,256	3,443
10,200	-8,443	6,582	101,474	-0,2016	0,157	2,423	10,200	-0,276	27,803	-2,985	-0,0066	0,664	-0,071	10,200	-11,564	-3,440	139,958	-0,2761	-0,082	3,341
10,250	-7,986	11,498	94,248	-0,1906	0,275	2,250	10,250	1,111	27,253	-19,321	0,0265	0,651	-0,461	10,250	-11,556	3,283	133,361	-0,2759	0,078	3,184
10,300	-7,293	16,006	85,608	-0,1741	0,382	2,044	10,300	2,449	25,871	-35,500	0,0585	0,618	-0,847	10,300	-11,236	9,896	135,403	-0,2682	0,236	3,232
10,350	-6,385	20,059	74,927	-0,1524	0,479	1,789	10,350	3,698	23,703	-50,266	0,0883	0,566	-1,200	10,350	-10,567	16,823	131,319	-0,2523	0,402	3,135
10,400	-5,287	23,499	61,261	-0,1262	0,561	1,463	10,400	4,819	20,844	-61,889	0,1151	0,498	-1,478	10,400	-9,554	23,028	113,097	-0,2281	0,550	2,700
10,450	-4,035	26,185	45,239	-0,0963	0,625	1,080	10,450	5,782	17,514	-69,743	0,1380	0,418	-1,665	10,450	-8,264	28,133	93,620	-0,1973	0,672	2,235
10,500	-2,669	28,023	27,646	-0,0637	0,669	0,660	10,500	6,571	13,870	-75,555	0,1569	0,331	-1,804	10,500	-6,740	32,390	77,126	-0,1609	0,773	1,841
10,550	-1,233	28,950	10,996	-0,0294	0,691	0,262	10,550	7,169	9,959	-80,111	0,1712	0,238	-1,912	10,550	-5,025	35,846	59,690	-0,1200	0,856	1,425
10,600	0,226	29,123	-4,555	0,0054	0,695	-0,109	10,600	7,567	5,859	-82,467	0,1806	0,140	-1,969	10,600	-3,156	38,359	37,856	-0,0753	0,916	0,904
10,650	1,679	28,494	-22,148	0,0401	0,680	-0,529	10,650	7,755	1,712	-81,996	0,1851	0,041	-1,958	10,650	-1,189	39,631	14,294	-0,0284	0,946	0,341
10,700	3,076	26,908	-39,898	0,0734	0,642	-0,953	10,700	7,738	-2,340	-79,639	0,1847	-0,056	-1,901	10,700	0,807	39,788	-7,226	0,0193	0,950	-0,173
10,750	4,370	24,504	-54,821	0,1043	0,585	-1,309	10,750	7,521	-6,252	-76,498	0,1796	-0,149	-1,826	10,750	2,790	38,909	-30,316	0,0666	0,929	-0,724
10,800	5,526	21,426	-67,073	0,1319	0,511	-1,601	10,800	7,113	-9,990	-72,257	0,1698	-0,238	-1,725	10,800	4,698	36,757	-54,193	0,1122	0,877	-1,294
10,850	6,513	17,797	-77,283	0,1555	0,425	-1,845	10,850	6,522	-13,477	-66,759	0,1557	-0,322	-1,594	10,850	6,465	33,489	-73,199	0,1544	0,800	-1,747
10,900	7,306	13,697	-85,923	0,1744	0,327	-2,051	10,900	5,765	-16,666	-60,633	0,1376	-0,398	-1,448	10,900	8,047	29,437	-89,221	0,1921	0,703	-2,130
10,950	7,882	9,205	-92,520	0,1882	0,220	-2,209	10,950	4,855	-19,541	-52,779	0,1159	-0,467	-1,260	10,950	9,409	24,567	-105,243	0,2246	0,587	-2,513
11,000	8,226	4,445	-95,662	0,1964	0,106	-2,284	11,000	3,811	-21,944	-42,412	0,0910	-0,524	-1,013	11,000	10,504	18,912	-118,438	0,2508	0,452	-2,828
11,050	8,327	-0,361	-95,504	0,1988	-0,009	-2,280	11,050	2,661	-23,782	-30,002	0,0635	-0,568	-0,716	11,050	11,300	12,723	-127,392	0,2698	0,304	-3,041
11,100	8,190	-5,105	-93,148	0,1955	-0,122	-2,224	11,100	1,433	-24,944	-15,394	0,0342	-0,595	-0,367	11,100	11,776	6,173	-131,947	0,2811	0,147	-3,150
11,150	7,816	-9,676	-88,279	0,1866	-0,231	-2,108	11,150	0,167	-25,321	-0,471	0,0040	-0,605	-0,011	11,150	11,918	-0,471	-132,732	0,2845	-0,011	-3,169
11,200	7,223	-13,933	-81,367	0,1724	-0,333	-1,943	11,200	-1,100	-24,991	13,823	-0,0262	-0,597	0,330	11,200	11,729	-7,100	-131,005	0,2800	-0,170	-3,128
11,250	6,423	-17,813	-72,728	0,1533	-0,425	-1,736	11,250	-2,333	-23,939	29,531	-0,0557	-0,572	0,705	11,250	11,208	-13,572	-125,035	0,2676	-0,324	-2,985
11,300	5,441	-21,206	-62,518	0,1299	-0,506	-1,492	11,300	-3,493	-22,038	46,181	-0,0834	-0,526	1,102	11,300	10,372	-19,604	-115,139	0,2476	-0,468	-2,749
11,350	4,302	-24,065	-50,737	0,1027	-0,574	-1,211	11,350	-4,536	-19,321	60,947	-0,1083	-0,461	1,455	11,350	9,247	-25,086	-102,102	0,2208	-0,599	-2,438
11,400	3,035	-26,279	-36,285	0,0725	-0,627	-0,866	11,400	-5,426	-15,944	73,199	-0,1295	-0,381	1,748	11,400	7,863	-29,814	-86,551	0,1877	-0,712	-2,066
11,450	1,674	-27,693	-19,478	0,0400	-0,661	-0,465	11,450	-6,131	-12,001	82,938	-0,1464	-0,287	1,980	11,450	6,266	-33,741	-70,686	0,1496	-0,806	-1,688
11,500	0,265	-28,227	-2,827	0,0063	-0,674	-0,067	11,500	-6,626	-7,650	88,750	-0,1582	-0,183	2,119	11,500	4,489	-36,882	-51,836	0,1072	-0,881	-1,237
11,550	-1,148	-27,976	12,095	-0,0274	-0,668	0,289	11,550	-6,896	-3,126	90,792	-0,1646	-0,075	2,167	11,550	2,578	-38,924	-27,960	0,0615	-0,929	-0,667
11,600	-2,532	-27,018	27,018	-0,0604	-0,645	0,645	11,600	-6,938	1,429	89,221	-0,1656	0,034	2,130	11,600	0,597	-39,678	-4,869	0,0143	-0,947	-0,116
11,650	-3,850	-25,274	43,040	-0,0919	-0,603	1,027	11,650	-6,753	5,796	83,724	-0,1612	0,138	1,999	11,650	-1,390	-39,411	16,493	-0,0332	-0,941	0,394
11,700	-5,060	-22,714	58,120	-0,1208	-0,542	1,388	11,700	-6,359	9,802	75,712	-0,1518	0,234	1,808	11,700	-3,344	-38,029	40,998	-0,0798	-0,908	0,979
11,750	-6,121	-19,462	70,215	-0,1461	-0,465	1,676	11,750	-5,773	13,367	66,131	-0,1378	0,319	1,579	11,750	-5,193	-35,312	65,031	-0,1240	-0,843	1,553
11,800	-7,006	-15,692	79,482	-0,1672	-0,375	1,898	11,800	-5,022	16,415	55,135	-0,1199	0,392	1,316	11,800	-6,875	-31,526	84,352	-0,1641	-0,753	2,014
11,850	-7,691	-11,514	88,122	-0,1836	-0,275	2,104	11,850	-4,131	18,881	42,883	-0,0986	0,451	1,024	11,850	-8,346	-26,876	102,887	-0,1992	-0,642	2,456
11,900	-8,157	-6,880	92,677	-0,1947	-0,164	2,212	11,900	-3,134	20,703	29,688	-0,0748	0,494	0,709	11,900	-9,563	-21,237	121,737	-0,2283	-0,507	2,906
11,950	-8,379	-2,246	91,892	-0,2000	-0,054	2,194	11,950	-2,061	21,850	16,022	-0,0492	0,522	0,383	11,950	-10,469	-14,703	135,717	-0,2499	-0,351	3,240
12,000	-8,382	2,309	91,263	-0,2001	0,055	2,179	12,000	-0,949	22,305	3,456	-0,0227	0,533	0,082	12,000	-11,033	-7,665	139,801	-0,2634	-0,183	3,338
12,050	-8,148	6,880	87,808	-0,1945	0,164	2,096	12,050	0,170	22,195	-7,226	0,0040	0,530	-0,172	12,050	-11,236	-0,723	135,717	-0,2682	-0,017	3,240
12,100	-7,694	11,090	80,111	-0,1837	0,265	1,913	12,100	1,271	21,583	-17,750	0,0303	0,515	-0,424	12,100	-11,106	5,906	131,790	-0,2651	0,141	3,146
12,150	-7,039	14,891	71,314	-0,1680	0,356	1,703	12,150	2,328	20,420	-28,431	0,0556	0,488	-0,679	12,150	-10,645	12,456	126,763	-0,2541	0,297	3,026
12,200	-6,205	18,221	61,261	-0,1481	0,435	1,463	12,200	3,313	18,740	-38,170	0,0791	0,447	-0,911	12,200	-9,860	18,583	114,982	-0,2354	0,444	2,745
12,250	-5,217	21,017	49,323	-0,1245	0,502	1,177	12,250	4,202	16,603	-46,496	0,1003	0,396	-1,110	12,250	-8,787	23,955	99,589	-0,2098	0,572	2,378
12,300	-4,103	23,154	35,186	-0,0979	0,553	0,840	12,300	4,973	14,090	-53,721	0,1187	0,336	-1,282	12,300	-7,464	28,541	83,881	-0,1782	0,681	2,002
12,350	-2,901	24,536	19,635	-0,0693	0,586	0,469	12,350	5,611	11,231	-59,847	0,1339	0,268	-1,429	12,350	-5,933	32,343	68,487	-0,1416	0,772	1,635
12,400	-1,649	25,117	4,555	-0,0394	0,600	0,109	12,400	6,096	8,105	-64,874	0,1455	0,194	-1,549	12,400	-4,230	35,390	50,580	-0,1010	0,845	1,208
12,450	-0,390	24,991	-8,796	-0,0093	0,597	-0,210	12,450	6,421	4,744	-68,958	0,1533	0,113	-1,646	12,450	-2,394	37,401	28,274	-0,0571	0,893	0,675
12,500	0,850	24,237	-22,305	0,0203	0,579	-0,533	12,500	6,571	1,210	-71,000	0,1569	0,029	-1,695	12,500	-0,490	38,218	6,440	-0,0117	0,912	0,154
12,550	2,034	22,761	-36,600	0,0486	0,543	-0,874	12,550	6,542	-2,356	-71,000	0,1562	-0,056	-1,695	12,550	1,428	38,045	-14,294	0,0341	0,908	-0,341
12,600	3,126	20,577	-49,794	0,0746	0,491	-1,189	12,600	6,335	-5,890	-69,900	0,1512	-0,141	-1,669	12,600	3,314	36,788	-37,542	0,0791	0,878	-0,896
12,650	4,092	17,781	-60,633	0,0977	0,425	-1,448	12,650	5,953	-9,346	-67,230	0,1421	-0,223	-1,605	12,650	5,107	34,291	-59,376	0,1219	0,819	-1,417
12,700	4,904	14,514	-68,801	0,1171	0,347	-1,643	12,700	5,400	-12,614	-62,047	0,1289	-0,301	-1,481	12,700	6,743	30,850	-76,027	0,1610	0,737	-1,815
12,750	5,543	10,901	-74,770	0,1323	0,260	-1,785	12,750	4,692	-15,551	-54,821	0,1120	-0,371	-1,309	12,750	8,192	26,688	-91,106	0,1956	0,637	-2,175
12,800	5,994	7,037	-78,854	0,1431	0,168	-1,882	12,800	3,845	-18,096	-45,396	0,0918	-0,432	-1,084	12,800	9,412	21,740	-105,715	0,2247	0,519	-2,524
12,850	6,247	3,016	-80,896	0,1491	0,072	-1,931	12,850	2,882	-20,091	-32,987	0,0688	-0,480	-0,788	12,850	10,366	16,116	-117,024	0,2475	0,385	-2,794
12,900	6,296	-1,052	-80,111	0,1503	-0,025	-1,913	12,900	1,836	-21,394	-18,378	0,0438	-0,511	-0,439	12,900	11,024	10,037	-123,936	0,2632	0,240	-2,959
12,950	6,142	-4,995	-76,498	0,1466	-0,119	-1,826	12,950	0,743	-21,928	-3,299	0,0177	-0,523	-0,079	12,950	11,369	3,723	-127,392	0,2714	0,089	-3,041
13,000	5,796	-8,702	-71,628	0,1384	-0,208	-1,710	13,000	-0,357	-21,724	10,839	-0,0085	-0,519	0,259	13,000	11,396	-2,702	-127,706	0,2721	-0,065	-3,049
13,050	5,272	-12,158	-65,502	0,1259	-0,290	-1,564	13,050	-1,429	-20,844	24,504	-0,0341	-0,498	0,585	13,050	11,099	-9,048	-123,936	0,2650	-0,216	-2,959
13,100	4,580	-15,252	-57,491	0,1094	-0,364	-1,373	13,100	-2,441	-19,274	38,327	-0,0583	-0,460	0,915	13,100	10,491	-15,095	-116,710	0,2505	-0,360	-2,786
13,150	3,746	-17,907	-47,909	0,0894	-0,428	-1,144	13,150	-3,357	-17,012	50,737	-0,0801	-0,406	1,211	13,150	9,590	-20,719	-106,500	0,2289	-0,495	-2,543
13,200	2,790	-20,043	-36,128	0,0666	-0,479	-0,863	13,200	-4,142	-14,200	60,319	-0,0989	-0,339	1,440	13,200	8,419	-25,745	-93,148	0,2010	-0,615	-2,224
