Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
1,500	0,099	0,361	0,785	0,0024	0,009	0,019	1,500	6,194	10,147	16,179	0,1479	0,242	0,386	1,500	14,932	3,456	-130,376	0,3565	0,082	-3,113
1,550	0,118	0,408	0,785	0,0028	0,010	0,019	1,550	6,729	9,959	-11,624	0,1607	0,238	-0,278	1,550	14,853	-1,744	-35,814	0,3546	-0,042	-0,855
1,600	0,140	0,440	0,471	0,0033	0,010	0,011	1,600	7,190	8,985	-9,111	0,1716	0,215	-0,218	1,600	14,758	-0,126	33,144	0,3523	-0,003	0,791
1,650	0,162	0,456	0,157	0,0039	0,011	0,004	1,650	7,628	9,048	0,157	0,1821	0,216	0,004	1,650	14,841	1,571	23,091	0,3543	0,037	0,551
1,700	0,185	0,456	9,992E-15	0,0044	0,011	2,429E-16	1,700	8,094	9,001	8,168	0,1932	0,215	0,195	1,700	14,915	2,183	0,157	0,3561	0,052	0,004
1,750	0,207	0,456	9,992E-15	0,0050	0,011	2,429E-16	1,750	8,528	9,865	44,454	0,2036	0,236	1,061	1,750	15,059	1,587	-23,091	0,3595	0,038	-0,551
1,800	0,231	0,456	3,456	0,0055	0,011	0,082	1,800	9,081	13,446	31,416	0,2168	0,321	0,750	1,800	15,073	-0,126	-14,451	0,3598	-0,003	-0,345
1,850	0,253	0,801	19,792	0,0060	0,019	0,472	1,850	9,872	13,006	-47,124	0,2357	0,310	-1,125	1,850	15,047	0,141	9,111	0,3592	0,003	0,218
1,900	0,311	2,435	39,741	0,0074	0,058	0,949	1,900	10,381	8,734	-55,449	0,2478	0,208	-1,324	1,900	15,088	0,785	3,456	0,3602	0,019	0,083
1,950	0,496	4,775	35,343	0,0118	0,114	0,844	1,950	10,746	7,461	-12,409	0,2565	0,178	-0,296	1,950	15,125	0,487	-1,728	0,3611	0,012	-0,041
2,000	0,789	5,969	11,153	0,0188	0,142	0,266	2,000	11,128	7,493	4,712	0,2657	0,179	0,112	2,000	15,136	0,613	-1,257	0,3613	0,015	-0,030
2,050	1,093	5,890	1,728	0,0261	0,141	0,041	2,050	11,495	7,933	9,582	0,2744	0,189	0,229	2,050	15,186	0,361	-58,120	0,3625	0,009	-1,388
2,100	1,378	6,142	13,352	0,0329	0,147	0,319	2,100	11,921	8,451	11,624	0,2846	0,202	0,277	2,100	15,172	-5,199	-171,060	0,3622	-0,124	-4,084
2,150	1,707	7,226	18,221	0,0408	0,172	0,435	2,150	12,340	9,095	12,566	0,2946	0,217	0,300	2,150	14,667	-16,745	-235,463	0,3501	-0,400	-5,621
2,200	2,100	7,964	8,168	0,0501	0,190	0,195	2,200	12,830	9,708	-0,942	0,3063	0,232	-0,022	2,200	13,498	-28,746	-205,460	0,3222	-0,686	-4,905
2,250	2,504	8,042	5,498	0,0598	0,192	0,131	2,250	13,311	9,001	-14,137	0,3178	0,215	-0,338	2,250	11,792	-37,291	-143,414	0,2815	-0,890	-3,424
2,300	2,904	8,514	15,708	0,0693	0,203	0,375	2,300	13,730	8,294	-5,498	0,3278	0,198	-0,131	2,300	9,769	-43,087	-102,259	0,2332	-1,029	-2,441
2,350	3,355	9,613	25,133	0,0801	0,230	0,600	2,350	14,140	8,451	-14,137	0,3376	0,202	-0,337	2,350	7,483	-47,517	-76,184	0,1786	-1,134	-1,819
2,400	3,866	11,027	32,201	0,0923	0,263	0,769	2,400	14,575	6,880	-61,732	0,3480	0,164	-1,474	2,400	5,017	-50,705	-49,166	0,1198	-1,210	-1,174
2,450	4,458	12,833	39,270	0,1064	0,306	0,938	2,450	14,828	2,278	-70,372	0,3540	0,054	-1,680	2,450	2,413	-52,433	-16,336	0,0576	-1,252	-0,390
2,500	5,149	14,954	44,296	0,1229	0,357	1,058	2,500	14,803	-0,157	-22,777	0,3534	-0,004	-0,544	2,500	-0,226	-52,339	17,750	-0,0054	-1,250	0,424
2,550	5,953	17,263	39,584	0,1421	0,412	0,945	2,550	14,813	0,000	1,414	0,3536	0,000	0,034	2,550	-2,821	-50,658	50,423	-0,0674	-1,209	1,204
2,600	6,875	18,912	23,091	0,1641	0,452	0,551	2,600	14,803	-0,016	1,414	0,3534	-3,750E-4	0,034	2,600	-5,292	-47,297	80,739	-0,1263	-1,129	1,927
