"Messung #1","Messung #2","Messung #3","Messung #1"
"spannung1","spannung2","spannung3","winkel maximum"
1.37,1.4,1.37,21
1.5,1.43,1.49,20.1
2.26,2.26,2.23,15.4166666666667
1.54,1.53,1.52,19.3333333333333
