Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
4.050				0.745	-17.389	6.126	0.0178	-0.415	0.146	
4.100				-0.124	-8.844	250.856	-0.0030	-0.211	5.989	28.2
4.150				-0.140	7.697	250.699	-0.0033	0.184	5.985	
4.200	139.50	99.26	40.23	0.646	16.226	33.615	0.0154	0.387	0.803	28.2
4.250				1.483	11.058	-190.066	0.0354	0.264	-4.537	
4.300				1.751	-2.780	-267.193	0.0418	-0.066	-6.379	28.2
4.350				1.205	-15.661	-118.124	0.0288	-0.374	-2.820	
4.400	97.09	99.26	-2.17	0.185	-14.593	161.949	0.0044	-0.348	3.866	28.2
4.450				-0.254	0.534	287.142	-0.0061	0.013	6.855	
4.500				0.239	14.121	142.471	0.0057	0.337	3.401	28.2
4.550				1.158	14.781	-101.159	0.0276	0.353	-2.415	
4.600	146.26	99.26	46.99	1.717	4.006	-256.668	0.0410	0.096	-6.127	28.2
4.650				1.558	-10.886	-213.314	0.0372	-0.260	-5.092	
4.700				0.628	-17.326	37.856	0.0150	-0.414	0.904	28.2
4.750				-0.174	-7.100	266.093	-0.0042	-0.170	6.352	
4.800	118.47	99.26	19.21	-0.082	9.283	233.578	-0.0019	0.222	5.576	28.2
4.850				0.754	16.258	5.341	0.0180	0.388	0.128	
4.900				1.544	9.817	-206.560	0.0369	0.234	-4.931	28.2
4.950				1.736	-4.398	-262.480	0.0414	-0.105	-6.266	
5.000	101.55	99.26	2.29	1.104	-16.431	-90.792	0.0264	-0.392	-2.167	28.2
5.050				0.093	-13.477	189.124	0.0022	-0.322	4.515	
5.100				-0.243	2.482	284.471	-0.0058	0.059	6.791	28.1
5.150				0.341	14.970	115.139	0.0081	0.357	2.749	
5.200	164.66	99.26	65.40	1.253	13.996	-126.449	0.0299	0.334	-3.019	28.1
5.250				1.740	2.325	-262.952	0.0416	0.056	-6.277	
