Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
33.700				0.518	-16.980	68.330	0.0124	-0.405	1.631	22.6	33.700				0.232	14.593	146.398	0.0055	0.348	3.495	-8.4
33.750				-0.212	-5.372	276.617	-0.0051	-0.128	6.604		33.750				1.183	14.765	-114.668	0.0282	0.352	-2.738	
33.800	130.96	99.26	31.70	-0.019	10.681	215.356	-4.5000E-4	0.255	5.141	22.6	33.800	184.18	99.26	84.92	1.709	3.126	-264.994	0.0408	0.075	-6.326	-8.3
33.850				0.856	16.164	-21.677	0.0204	0.386	-0.517		33.850				1.495	-11.734	-203.890	0.0357	-0.280	-4.867	
33.900				1.598	8.514	-222.268	0.0381	0.203	-5.306	22.6	33.900				0.536	-17.263	62.047	0.0128	-0.412	1.481	-8.3
33.950				1.707	-6.063	-254.940	0.0408	-0.145	-6.086		33.950				-0.231	-5.529	286.042	-0.0055	-0.132	6.829	
34.000	99.02	99.26	-0.23	0.991	-16.980	-60.633	0.0237	-0.405	-1.448	22.6	34.000	141.19	99.26	41.92	-0.017	11.341	218.969	-4.1250E-4	0.271	5.228	-8.2
34.050				0.009	-12.127	213.314	2.2500E-4	-0.289	5.092		34.050				0.903	16.368	-38.170	0.0216	0.391	-0.911	
34.100				-0.221	4.351	277.403	-0.0053	0.104	6.622	22.5	34.100				1.619	7.524	-238.290	0.0387	0.180	-5.689	-8.1
34.150				0.445	15.614	87.179	0.0106	0.373	2.081		34.150				1.656	-7.461	-248.971	0.0395	-0.178	-5.944	
34.200	172.09	99.26	72.83	1.340	13.069	-150.011	0.0320	0.312	-3.581	22.5	34.200	124.69	99.26	25.43	0.873	-17.373	-32.201	0.0209	-0.415	-0.769	-8.1
34.250				1.751	0.613	-266.564	0.0418	0.015	-6.364		34.250				-0.082	-10.681	241.746	-0.0019	-0.255	5.771	
34.300				1.401	-13.587	-170.432	0.0335	-0.324	-4.069	22.5	34.300				-0.195	6.802	272.533	-0.0046	0.162	6.506	-8.0
34.350				0.393	-16.431	103.987	0.0094	-0.392	2.482		34.350				0.598	16.572	44.925	0.0143	0.396	1.072	
34.400	112.80	99.26	13.54	-0.242	-3.189	286.356	-0.0058	-0.076	6.836	22.5	34.400	187.60	99.27	88.34	1.462	11.294	-193.365	0.0349	0.270	-4.616	-7.9
34.450				0.074	12.205	189.595	0.0018	0.291	4.526		34.450				1.728	-2.765	-270.648	0.0413	-0.066	-6.461	
34.500				0.979	15.771	-53.250	0.0234	0.377	-1.271	22.5	34.500				1.186	-15.771	-118.438	0.0283	-0.376	-2.828	-7.9
34.550				1.651	6.880	-236.248	0.0394	0.164	-5.640		34.550				0.151	-14.608	172.159	0.0036	-0.349	4.110	
34.600	147.83	99.26	48.57	1.667	-7.854	-242.060	0.0398	-0.187	-5.779	22.4	34.600	127.39	99.27	28.13	-0.275	1.445	297.509	-0.0066	0.035	7.102	-7.8
34.650				0.866	-17.326	-26.389	0.0207	-0.414	-0.630		34.650				0.295	15.142	128.020	0.0071	0.361	3.056	
34.700				-0.066	-10.493	235.305	-0.0016	-0.250	5.618	22.4	34.700				1.239	14.247	-130.533	0.0296	0.340	-3.116	-7.7
34.750				-0.184	6.205	265.308	-0.0044	0.148	6.334		34.750				1.720	2.089	-268.921	0.0411	0.050	-6.420	
34.800	158.95	99.26	59.69	0.554	16.038	58.120	0.0132	0.383	1.388	22.4	34.800	139.83	99.26	40.57	1.448	-12.645	-190.695	0.0346	-0.302	-4.553	-7.7
34.850				1.420	12.017	-171.374	0.0339	0.287	-4.091		34.850				0.456	-16.980	84.352	0.0109	-0.405	2.014	
34.900				1.756	-1.100	-266.878	0.0419	-0.026	-6.371	22.4	34.900				-0.250	-4.210	291.854	-0.0060	-0.100	6.968	-7.6
34.950				1.310	-14.671	-145.299	0.0313	-0.350	-3.469		34.950				0.035	12.205	203.261	8.2500E-4	0.291	4.853	
35.000	103.26	99.26	4.00	0.289	-15.629	132.889	0.0069	-0.373	3.173	22.4	35.000	183.83	99.27	84.56	0.971	16.116	-56.392	0.0232	0.385	-1.346	-7.6
35.050				-0.253	-1.382	288.870	-0.0060	-0.033	6.896		35.050				1.646	6.566	-245.987	0.0393	0.157	-5.873	
35.100				0.151	13.258	167.604	0.0036	0.317	4.001	22.3	35.100				1.627	-8.482	-240.803	0.0389	-0.202	-5.749	-7.5
35.150				1.073	15.378	-78.069	0.0256	0.367	-1.864		35.150				0.798	-17.514	-10.839	0.0191	-0.418	-0.259	
35.200	167.63	99.26	68.36	1.689	5.451	-247.558	0.0403	0.130	-5.910	22.3	35.200	101.84	99.26	2.58	-0.124	-9.566	254.783	-0.0030	-0.228	6.083	-7.4
35.250				1.618	-9.378	-228.708	0.0386	-0.224	-5.460		35.250				-0.159	7.964	262.323	-0.0038	0.190	6.263	
35.300				0.751	-17.420	4.712	0.0179	-0.416	0.112	22.3	35.300				0.672	16.666	24.976	0.0161	0.398	0.596	-7.4
35.350				-0.124	-8.906	251.799	-0.0030	-0.213	6.011		35.350				1.508	10.462	-205.460	0.0360	0.250	-4.905	
35.400	136.21	99.26	36.95	-0.140	7.760	251.642	-0.0033	0.185	6.007	22.3	35.400	156.32	99.26	57.05	1.718	-3.880	-267.350	0.0410	-0.093	-6.382	-7.3
35.450				0.652	16.258	32.201	0.0156	0.388	0.769		35.450				1.120	-16.273	-99.589	0.0267	-0.388	-2.378	
35.500				1.486	10.980	-190.538	0.0355	0.262	-4.549	22.3	35.500				0.091	-13.839	191.323	0.0022	-0.330	4.568	-7.2
35.550				1.750	-2.796	-266.250	0.0418	-0.067	-6.356		35.550				-0.264	2.859	296.252	-0.0063	0.068	7.073	
35.600	118.58	99.26	19.32	1.206	-15.645	-118.438	0.0288	-0.374	-2.827	22.2	35.600	174.44	99.27	75.17	0.377	15.787	106.657	0.0090	0.377	2.546	-7.2
35.650				0.185	-14.640	161.635	0.0044	-0.349	3.859		35.650				1.315	13.525	-151.896	0.0314	0.323	-3.626	
35.700				-0.258	0.518	287.613	-0.0061	0.012	6.866	22.2	35.700				1.729	0.597	-272.690	0.0413	0.014	-6.510	-7.1
35.750				0.237	14.121	142.471	0.0057	0.337	3.401		35.750				1.374	-13.744	-170.432	0.0328	-0.328	-4.069	
35.800	173.02	99.26	73.75	1.155	14.765	-99.903	0.0276	0.352	-2.385	22.2	35.800	104.15	99.26	4.89	0.355	-16.446	113.412	0.0085	-0.393	2.707	-7.1
35.850				1.714	4.131	-254.155	0.0409	0.099	-6.068		35.850				-0.270	-2.403	298.294	-0.0065	-0.057	7.121	
35.900				1.568	-10.650	-215.042	0.0374	-0.254	-5.134	22.2	35.900				0.115	13.383	180.642	0.0027	0.320	4.312	-7.0
35.950				0.649	-17.373	33.144	0.0155	-0.415	0.791		35.950				1.068	15.661	-83.566	0.0255	0.374	-1.995	
36.000	98.47	99.26	-0.79	-0.170	-7.336	266.093	-0.0040	-0.175	6.353	22.2	36.000	169.94	99.26	70.68	1.681	5.027	-257.768	0.0401	0.120	-6.154	-6.9
36.050				-0.085	9.236	236.091	-0.0020	0.220	5.636		36.050				1.571	-10.116	-225.724	0.0375	-0.241	-5.389	
36.100				0.754	16.273	5.812	0.0180	0.389	0.139	22.1	36.100				0.669	-17.546	24.662	0.0160	-0.419	0.589	-6.9
36.150				1.543	9.817	-205.617	0.0368	0.234	-4.909		36.150				-0.184	-7.650	272.533	-0.0044	-0.183	6.506	
36.200	143.10	99.26	43.84	1.736	-4.288	-261.538	0.0414	-0.102	-6.244	22.1	36.200	118.24	99.26	18.98	-0.096	9.708	243.002	-0.0023	0.232	5.801	-6.8
36.250				1.114	-16.336	-93.148	0.0266	-0.390	-2.224		36.250				0.787	16.650	-6.597	0.0188	0.397	-0.158	
36.300				0.102	-13.603	186.925	0.0024	-0.325	4.462	22.1	36.300				1.569	9.048	-224.153	0.0375	0.216	-5.351	-6.7
36.350				-0.247	2.356	285.885	-0.0059	0.056	6.825		36.350				1.692	-5.765	-260.281	0.0404	-0.138	-6.214	
36.400	162.69	99.26	63.42	0.338	14.985	116.396	0.0081	0.358	2.779	22.1	36.400	109.86	99.26	10.60	0.993	-16.980	-65.031	0.0237	-0.405	-1.552	-6.7
36.450				1.252	13.996	-125.978	0.0299	0.334	-3.008		36.450				-0.006	-12.268	219.126	-1.5000E-4	-0.293	5.231	
36.500				1.737	2.388	-261.538	0.0415	0.057	-6.244	22.1	36.500				-0.234	4.932	284.786	-0.0056	0.118	6.799	-6.6
36.550				1.491	-12.158	-194.308	0.0356	-0.290	-4.639		36.550				0.487	16.211	75.241	0.0116	0.387	1.796	
36.600	101.36	99.26	2.10	0.522	-17.043	68.016	0.0125	-0.407	1.624	22.0	36.600	176.48	99.27	77.21	1.387	12.456	-171.217	0.0331	0.297	-4.087	-6.6
36.650				-0.214	-5.356	278.659	-0.0051	-0.128	6.653		36.650				1.733	-0.911	-272.062	0.0414	-0.022	-6.495	
36.700				-0.014	10.823	215.513	-3.3750E-4	0.258	5.145	22.0	36.700				1.296	-14.750	-148.126	0.0309	-0.352	-3.536	-6.5
36.750				0.869	16.195	-24.662	0.0207	0.387	-0.589		36.750				0.258	-15.724	141.686	0.0062	-0.375	3.383	
36.800	164.24	99.26	64.98	1.605	8.357	-223.839	0.0383	0.199	-5.344	22.0	36.800	109.66	99.26	10.40	-0.276	-0.581	300.022	-0.0066	-0.014	7.163	-6.4
36.850				1.704	-6.189	-253.213	0.0407	-0.148	-6.045		36.850				0.199	14.279	156.294	0.0048	0.341	3.731	
36.900				0.986	-16.965	-59.062	0.0236	-0.405	-1.410	22.0	36.900				1.151	15.048	-105.872	0.0275	0.359	-2.528	-6.4
36.950				0.008	-12.095	212.843	1.8750E-4	-0.289	5.081		36.950				1.704	3.691	-263.423	0.0407	0.088	-6.289	
37.000	107.18	99.26	7.92	-0.223	4.320	276.617	-0.0053	0.103	6.604	22.0	37.000	120.23	99.26	20.98	1.521	-11.294	-210.801	0.0363	-0.270	-5.033	-6.3
37.050				0.440	15.567	87.965	0.0105	0.372	2.100		37.050				0.575	-17.389	51.208	0.0137	-0.415	1.223	
37.100				1.334	13.116	-148.126	0.0318	0.313	-3.536	21.9	37.100				-0.218	-6.173	282.586	-0.0052	-0.147	6.746	-6.3
37.150				1.751	0.754	-265.779	0.0418	0.018	-6.345		37.150				-0.042	10.870	226.666	-0.0010	0.259	5.411	
37.200	114.54	99.26	15.28	1.409	-13.462	-172.159	0.0336	-0.321	-4.110	21.9	37.200	163.17	99.27	63.90	0.869	16.493	-28.746	0.0207	0.394	-0.686	-6.2
37.250				0.405	-16.462	99.589	0.0097	-0.393	2.378		37.250				1.607	7.995	-234.520	0.0384	0.191	-5.599	
37.300				-0.237	-3.503	283.686	-0.0057	-0.084	6.773	21.9	37.300				1.668	-6.959	-252.584	0.0398	-0.166	-6.030	-6.1
37.350				0.055	11.907	193.679	0.0013	0.284	4.624		37.350				0.911	-17.263	-42.569	0.0217	-0.412	-1.016	
37.400	150.24	99.27	50.97	0.953	15.865	-46.653	0.0228	0.379	-1.114	21.9	37.400	104.03	99.26	4.77	-0.058	-11.215	234.363	-0.0014	-0.268	5.595	-6.1
37.450				1.641	7.241	-233.421	0.0392	0.173	-5.573		37.450				-0.210	6.173	276.617	-0.0050	0.147	6.604	
37.500				1.678	-7.477	-245.201	0.0401	-0.178	-5.854	21.9	37.500				0.559	16.446	55.606	0.0133	0.393	1.328	-6.0
37.550				0.894	-17.279	-33.929	0.0213	-0.412	-0.810		37.550				1.434	11.734	-184.569	0.0342	0.280	-4.406	
37.600	99.08	99.26	-0.18	-0.050	-10.870	230.436	-0.0012	-0.260	5.501	21.8	37.600	180.94	99.26	81.68	1.733	-2.011	-270.963	0.0414	-0.048	-6.469	-6.0
37.650				-0.193	5.765	268.135	-0.0046	0.138	6.401		37.650				1.233	-15.362	-131.005	0.0294	-0.367	-3.127	
37.700				0.526	15.944	65.345	0.0126	0.381	1.560	21.8	37.700				0.196	-15.111	159.122	0.0047	-0.361	3.799	-5.9
37.750				1.401	12.299	-166.190	0.0335	0.294	-3.968		37.750				-0.278	0.550	299.080	-0.0066	0.013	7.140	
37.800	138.28	99.26	39.01	1.756	-0.675	-267.350	0.0419	-0.016	-6.382	21.8	37.800	147.45	99.26	48.19	0.251	14.797	140.743	0.0060	0.353	3.360	-5.9
37.850				1.334	-14.436	-151.739	0.0318	-0.345	-3.623		37.850				1.202	14.624	-119.852	0.0287	0.349	-2.861	
37.900				0.313	-15.849	126.606	0.0075	-0.378	3.023	21.8	37.900				1.714	2.812	-266.407	0.0409	0.067	-6.360	-5.8
37.950				-0.251	-1.775	288.870	-0.0060	-0.042	6.896		37.950				1.483	-12.017	-200.120	0.0354	-0.287	-4.777	
38.000	127.65	99.27	28.39	0.135	13.038	172.316	0.0032	0.311	4.114	21.8	38.000	101.89	99.26	2.63	0.512	-17.200	68.644	0.0122	-0.411	1.639	-5.7
38.050				1.052	15.457	-72.414	0.0251	0.369	-1.729		38.050				-0.237	-5.152	287.613	-0.0057	-0.123	6.866	
38.100				1.681	5.796	-243.945	0.0401	0.138	-5.824	21.7	38.100				-0.003	11.561	214.414	-7.5000E-5	0.276	5.119	-5.7
38.150				1.632	-8.938	-232.164	0.0390	-0.213	-5.542		38.150				0.919	16.289	-42.412	0.0219	0.389	-1.013	
38.200	100.16	99.26	0.90	0.787	-17.420	-4.398	0.0188	-0.416	-0.105	21.7	38.200	187.75	99.26	88.49	1.626	7.320	-239.075	0.0388	0.175	-5.708	-5.6
38.250				-0.110	-9.378	248.500	-0.0026	-0.224	5.933		38.250				1.651	-7.618	-247.086	0.0394	-0.182	-5.899	
38.300				-0.151	7.430	256.511	-0.0036	0.177	6.124	21.7	38.300				0.864	-17.389	-29.060	0.0206	-0.415	-0.694	-5.6
38.350				0.633	16.273	37.542	0.0151	0.388	0.896		38.350				-0.088	-10.524	243.945	-0.0021	-0.251	5.824	
38.400	170.84	99.26	71.57	1.477	11.184	-188.182	0.0353	0.267	-4.492	21.7	38.400	132.87	99.26	33.60	-0.188	7.006	270.963	-0.0045	0.167	6.469	-5.5
38.450				1.751	-2.545	-267.036	0.0418	-0.061	-6.375		38.450				0.613	16.572	41.469	0.0146	0.396	0.990	
38.500				1.222	-15.519	-122.365	0.0292	-0.370	-2.921	21.7	38.500				1.469	11.153	-194.622	0.0351	0.266	-4.646	-5.5
38.550				0.199	-14.781	157.865	0.0048	-0.353	3.769		38.550				1.728	-2.890	-270.177	0.0412	-0.069	-6.450	
38.600	109.83	99.26	10.57	-0.256	0.267	288.084	-0.0061	0.006	6.877	21.6	38.600	134.24	99.26	34.98	1.180	-15.865	-116.396	0.0282	-0.379	-2.779	-5.4
38.650				0.226	14.027	146.084	0.0054	0.335	3.488		38.650				0.141	-14.530	176.872	0.0034	-0.347	4.223	
38.700				1.147	14.875	-98.018	0.0274	0.355	-2.340	21.6	38.700				-0.273	1.822	299.551	-0.0065	0.044	7.151	-5.3
38.750				1.714	4.225	-255.569	0.0409	0.101	-6.101		38.750				0.324	15.425	122.051	0.0077	0.368	2.914	
38.800	110.94	99.26	11.68	1.569	-10.681	-215.985	0.0375	-0.255	-5.156	21.6	38.800	187.01	99.27	87.74	1.269	14.027	-139.487	0.0303	0.335	-3.330	-5.3
38.850				0.646	-17.373	33.301	0.0154	-0.415	0.795		38.850				1.726	1.477	-271.591	0.0412	0.035	-6.484	
38.900				-0.168	-7.351	264.836	-0.0040	-0.175	6.323	21.6	38.900				1.417	-13.132	-182.370	0.0338	-0.313	-4.354	-5.2
38.950				-0.090	9.111	236.091	-0.0021	0.218	5.636		38.950				0.413	-16.760	96.761	0.0099	-0.400	2.310	
39.000	155.06	99.26	55.80	0.743	16.258	8.639	0.0177	0.388	0.206	21.6	39.000	121.24	99.27	21.97	-0.259	-3.456	294.682	-0.0062	-0.082	7.035	-5.2
39.050				1.536	9.975	-203.890	0.0367	0.238	-4.867		39.050				0.068	12.708	193.993	0.0016	0.303	4.631	
39.100				1.740	-4.131	-262.794	0.0416	-0.099	-6.274	21.5	39.100				1.012	15.944	-67.701	0.0241	0.381	-1.616	-5.1
39.150				1.123	-16.305	-95.819	0.0268	-0.389	-2.288		39.150				1.662	5.938	-251.328	0.0397	0.142	-6.000	
39.200	100.14	99.26	0.89	0.110	-13.713	184.097	0.0026	-0.327	4.395	21.5	39.200	149.08	99.26	49.82	1.605	-9.189	-234.991	0.0383	-0.219	-5.610	-5.1
39.250				-0.248	2.105	285.571	-0.0059	0.050	6.818		39.250				0.743	-17.562	4.241	0.0177	-0.419	0.101	
39.300				0.320	14.844	120.480	0.0077	0.354	2.876	21.5	39.300				-0.151	-8.765	262.480	-0.0036	-0.209	6.266	-5.0
39.350				1.236	14.153	-121.423	0.0295	0.338	-2.899		39.350				-0.134	8.687	254.155	-0.0032	0.207	6.067	
39.400	170.11	99.26	70.84	1.736	2.702	-260.595	0.0414	0.064	-6.221	21.5	39.400	179.89	99.27	80.62	0.718	16.650	12.409	0.0171	0.397	0.296	-4.9
39.450				1.506	-11.907	-198.235	0.0360	-0.284	-4.733		39.450				1.532	9.927	-211.744	0.0366	0.237	-5.055	
39.500				0.545	-17.122	61.732	0.0130	-0.409	1.474	21.5	39.500				1.711	-4.524	-264.365	0.0408	-0.108	-6.311	-4.9
39.550				-0.206	-5.733	275.832	-0.0049	-0.137	6.585		39.550				1.079	-16.509	-88.436	0.0258	-0.394	-2.111	
39.600	132.04	99.26	32.78	-0.028	10.462	219.126	-6.7500E-4	0.250	5.231	21.4	39.600	102.99	99.26	3.73	0.060	-13.367	198.863	0.0014	-0.319	4.747	-4.8
39.650				0.840	16.179	-17.122	0.0201	0.386	-0.409		39.650				-0.258	3.377	291.540	-0.0061	0.081	6.960	
39.700				1.590	8.749	-218.498	0.0380	0.209	-5.216	21.4	39.700				0.397	15.787	99.431	0.0095	0.377	2.374	-4.8
39.750				1.715	-5.671	-255.883	0.0410	-0.135	-6.109		39.750				1.321	13.320	-151.896	0.0315	0.318	-3.626	
39.800	99.12	99.26	-0.14	1.023	-16.839	-68.487	0.0244	-0.402	-1.635	21.4	39.800	166.43	99.26	67.17	1.729	0.597	-269.706	0.0413	0.014	-6.439	-4.7
39.850				0.031	-12.519	207.188	7.5000E-4	-0.299	4.946		39.850				1.381	-13.650	-170.903	0.0330	-0.326	-4.080	
39.900				-0.229	3.880	280.073	-0.0055	0.093	6.686	21.4	39.900				0.364	-16.493	111.055	0.0087	-0.394	2.651	-4.7
39.950				0.419	15.488	94.405	0.0100	0.370	2.254		39.950				-0.269	-2.545	297.823	-0.0064	-0.061	7.110	
40.000	172.33	99.26	73.07	1.319	13.320	-144.199	0.0315	0.318	-3.443	21.4	40.000	121.56	99.26	22.29	0.110	13.289	182.055	0.0026	0.317	4.346	-4.6
40.050				1.751	1.068	-265.308	0.0418	0.025	-6.334		40.050				1.060	15.661	-80.896	0.0253	0.374	-1.931	
40.100				1.426	-13.210	-176.715	0.0341	-0.315	-4.219	21.3	40.100				1.676	5.199	-254.626	0.0400	0.124	-6.079	-4.6
40.150				0.430	-16.603	93.462	0.0103	-0.396	2.231		40.150				1.580	-9.802	-227.451	0.0377	-0.234	-5.430	
40.200	112.88	99.26	13.61	-0.234	-3.864	284.000	-0.0056	-0.092	6.780	21.3	40.200	108.17	99.26	8.91	0.696	-17.546	17.593	0.0166	-0.419	0.420	-4.5
40.250				0.044	11.797	198.392	0.0011	0.282	4.736		40.250				-0.174	-8.042	269.549	-0.0042	-0.192	6.435	
40.300				0.946	15.975	-44.611	0.0226	0.381	-1.065	21.3	40.300				-0.108	9.409	246.772	-0.0026	0.225	5.891	-4.5
40.350				1.641	7.336	-234.363	0.0392	0.175	-5.595		40.350				0.767	16.635	-0.628	0.0183	0.397	-0.015	
40.400	147.59	99.27	48.33	1.679	-7.461	-245.830	0.0401	-0.178	-5.869	21.3	40.400	179.37	99.27	80.10	1.555	9.346	-218.812	0.0371	0.223	-5.224	-4.4
40.450				0.895	-17.247	-34.558	0.0214	-0.412	-0.825		40.450				1.701	-5.246	-261.538	0.0406	-0.125	-6.244	
40.500				-0.046	-10.917	229.179	-0.0011	-0.261	5.471	21.3	40.500				1.030	-16.808	-75.084	0.0246	-0.401	-1.792	-4.3
40.550				-0.196	5.671	268.606	-0.0047	0.135	6.413		40.550				0.020	-12.755	211.744	4.8750E-4	-0.304	5.055	
40.600	159.16	99.27	59.90	0.522	15.944	66.759	0.0125	0.381	1.594	21.2	40.600	111.74	99.27	12.47	-0.245	4.367	288.556	-0.0058	0.104	6.889	-4.3
40.650				1.398	12.346	-165.091	0.0334	0.295	-3.941		40.650				0.457	16.101	84.038	0.0109	0.384	2.006	
40.700				1.756	-0.565	-267.193	0.0419	-0.013	-6.379	21.2	40.700				1.365	12.771	-165.248	0.0326	0.305	-3.945	-4.2
40.750				1.341	-14.373	-153.467	0.0320	-0.343	-3.664		40.750				1.734	-0.424	-272.062	0.0414	-0.010	-6.495	
40.800	103.19	99.26	3.93	0.319	-15.912	124.721	0.0076	-0.380	2.978	21.2	40.800	117.72	99.26	18.45	1.323	-14.436	-155.509	0.0316	-0.345	-3.712	-4.2
40.850				-0.250	-1.901	288.556	-0.0060	-0.045	6.889		40.850				0.291	-15.975	131.476	0.0069	-0.381	3.139	
40.900				0.129	12.943	174.044	0.0031	0.309	4.155	21.2	40.900				-0.275	-1.288	298.766	-0.0066	-0.031	7.133	-4.1
40.950				1.045	15.504	-70.215	0.0249	0.370	-1.676		40.950				0.162	13.902	166.190	0.0039	0.332	3.968	
41.000	167.60	99.27	68.33	1.679	5.922	-244.259	0.0401	0.141	-5.831	21.2	41.000	166.79	99.27	67.52	1.115	15.331	-95.976	0.0266	0.366	-2.291	-4.1
41.050				1.637	-8.922	-233.892	0.0391	-0.213	-5.584		41.050				1.695	4.304	-260.752	0.0405	0.103	-6.225	
41.100				0.787	-17.467	-4.398	0.0188	-0.417	-0.105	21.1	41.100				1.546	-10.744	-217.870	0.0369	-0.256	-5.201	-4.0
41.150				-0.110	-9.362	248.657	-0.0026	-0.223	5.936		41.150				0.620	-17.483	38.485	0.0148	-0.417	0.919	
41.200	137.02	99.27	37.75	-0.149	7.398	255.569	-0.0036	0.177	6.101	21.1	41.200	105.30	99.26	6.04	-0.203	-6.896	277.403	-0.0048	-0.165	6.623	-4.0
41.250				0.630	16.195	38.485	0.0150	0.387	0.919		41.250				-0.069	10.257	233.892	-0.0016	0.245	5.584	
41.300				1.470	11.247	-185.197	0.0351	0.268	-4.421	21.1	41.300				0.823	16.493	-16.336	0.0197	0.394	-0.390	-3.9
41.350				1.755	-2.325	-266.564	0.0419	-0.055	-6.364		41.350				1.580	8.624	-226.038	0.0377	0.206	-5.396	
41.400	118.47	99.26	19.21	1.238	-15.410	-126.135	0.0296	-0.368	-3.011	21.1	41.400	131.41	99.26	32.15	1.685	-6.110	-257.297	0.0402	-0.146	-6.143	-3.9
41.450				0.214	-14.938	155.038	0.0051	-0.357	3.701		41.450				0.969	-17.106	-58.277	0.0231	-0.408	-1.391	
41.500				-0.256	0.094	289.969	-0.0061	0.002	6.923	21.1	41.500				-0.025	-11.938	225.881	-6.0000E-4	-0.285	5.393	-3.8
41.550				0.223	14.059	148.126	0.0053	0.336	3.536		41.550				-0.225	5.482	283.372	-0.0054	0.131	6.765	
41.600	173.31	99.27	74.04	1.150	14.907	-98.489	0.0275	0.356	-2.351	21.0	41.600	151.97	99.27	52.70	0.523	16.399	66.131	0.0125	0.391	1.579	-3.8
41.650				1.714	4.210	-254.626	0.0409	0.100	-6.079		41.650				1.415	12.095	-180.013	0.0338	0.289	-4.298	
41.700				1.571	-10.556	-215.356	0.0375	-0.252	-5.141	21.0	41.700				1.733	-1.602	-272.848	0.0414	-0.038	-6.514	-3.7
41.750				0.658	-17.326	30.002	0.0157	-0.414	0.716		41.750				1.255	-15.190	-137.288	0.0300	-0.363	-3.278	
41.800	98.66	99.26	-0.59	-0.162	-7.556	262.637	-0.0039	-0.180	6.270	21.0	41.800	102.33	99.26	3.07	0.214	-15.331	155.195	0.0051	-0.366	3.705	-3.7
41.850				-0.097	8.938	238.604	-0.0023	0.213	5.696		41.850				-0.278	0.330	301.122	-0.0066	0.008	7.189	
41.900				0.732	16.305	11.467	0.0175	0.389	0.274	21.0	41.900				0.247	14.781	143.414	0.0059	0.353	3.424	-3.6
41.950				1.533	10.085	-204.047	0.0366	0.241	-4.871		41.950				1.200	14.671	-120.166	0.0287	0.350	-2.869	
42.000	142.00	99.26	42.74	1.740	-4.100	-263.737	0.0416	-0.098	-6.296	21.0	42.000	186.82	99.27	87.55	1.714	2.765	-267.664	0.0409	0.066	-6.390	-3.6
42.050				1.123	-16.289	-96.133	0.0268	-0.389	-2.295		42.050				1.477	-12.095	-199.334	0.0353	-0.289	-4.759	
42.100				0.112	-13.713	183.626	0.0027	-0.327	4.384	20.9	42.100				0.504	-17.169	71.314	0.0120	-0.410	1.702	-3.5
42.150				-0.248	2.073	285.571	-0.0059	0.049	6.818		42.150				-0.240	-4.964	289.812	-0.0057	-0.118	6.919	
42.200	163.25	99.26	63.98	0.319	14.844	120.951	0.0076	0.354	2.888	20.9	42.200	138.97	99.26	39.71	0.008	11.812	212.529	1.8750E-4	0.282	5.074	-3.5
42.250				1.236	14.169	-121.580	0.0295	0.338	-2.903		42.250				0.941	16.289	-48.538	0.0225	0.389	-1.159	
42.300				1.736	2.686	-261.695	0.0414	0.064	-6.248	20.9	42.300				1.637	6.959	-243.945	0.0391	0.166	-5.824	-3.5
42.350				1.505	-12.001	-198.235	0.0359	-0.287	-4.732		42.350				1.637	-8.105	-244.259	0.0391	-0.193	-5.831	
42.400	101.26	99.26	2.00	0.536	-17.137	64.403	0.0128	-0.409	1.538	20.9	42.400	102.43	99.26	3.17	0.826	-17.467	-18.850	0.0197	-0.417	-0.450	-3.4
42.450				-0.209	-5.561	277.560	-0.0050	-0.133	6.626		42.450				-0.110	-9.990	250.071	-0.0026	-0.239	5.970	
42.500				-0.020	10.619	217.241	-4.8750E-4	0.254	5.186	20.9	42.500				-0.173	7.540	266.250	-0.0041	0.180	6.356	-3.4
42.550				0.853	16.164	-20.263	0.0204	0.386	-0.484		42.550				0.644	16.635	32.516	0.0154	0.397	0.776	
42.600	163.86	99.26	64.59	1.596	8.592	-220.540	0.0381	0.205	-5.265	20.9	42.600	188.56	99.27	89.29	1.491	10.791	-200.277	0.0356	0.258	-4.781	-3.3
42.650				1.712	-5.890	-255.412	0.0409	-0.141	-6.097		42.650				1.723	-3.393	-268.135	0.0411	-0.081	-6.401	
42.700				1.007	-16.949	-63.931	0.0240	-0.405	-1.526	20.8	42.700				1.151	-16.022	-108.228	0.0275	-0.382	-2.584	-3.3
42.750				0.017	-12.284	212.372	4.1250E-4	-0.293	5.070		42.750				0.121	-14.216	181.270	0.0029	-0.339	4.328	
