Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,680	0,33	0,22	0,11
3,700	0,33	0,22	0,11
3,720	0,34	0,22	0,11
3,740	0,34	0,22	-6,94E-14
3,760	0,34	0,22	0,00
3,780	0,35	0,22	3,47E-14
3,800	0,35	0,22	0,01
3,820	0,36	0,22	-0,11
3,840	0,36	0,22	-0,11
3,860	0,37	0,22	0,01
3,880	0,37	0,22	-0,10
3,900	0,37	0,22	-0,21
3,920	0,38	0,21	-0,32
3,940	0,38	0,20	-0,33
3,960	0,39	0,20	-0,10
3,980	0,39	0,20	-0,20
4,000	0,40	0,19	-0,54
4,020	0,40	0,18	-0,55
4,040	0,40	0,17	-0,33
4,060	0,41	0,16	-0,21
4,080	0,41	0,16	-0,32
4,100	0,41	0,15	-0,32
4,120	0,41	0,15	-0,30
4,140	0,42	0,14	-0,64
4,160	0,42	0,12	-0,66
4,180	0,42	0,11	-0,42
4,200	0,42	0,10	-0,54
4,220	0,43	0,09	-0,54
4,240	0,43	0,08	-0,53
4,260	0,43	0,07	-0,66
4,280	0,43	0,06	-0,43
4,300	0,43	0,05	-0,41
4,320	0,43	0,04	-0,76
4,340	0,43	0,02	-0,66
4,360	0,43	0,01	-0,42
4,380	0,43	0,01	-0,53
4,400	0,43	-0,01	-0,65
4,420	0,43	-0,02	-0,53
4,440	0,43	-0,03	-0,65
4,460	0,43	-0,05	-0,66
4,480	0,43	-0,06	-0,42
4,500	0,43	-0,06	-0,65
4,520	0,43	-0,08	-0,55
4,540	0,43	-0,09	-0,31
4,560	0,43	-0,09	-0,53
4,580	0,42	-0,11	-0,65
4,600	0,42	-0,12	-0,54
4,620	0,42	-0,13	-0,43
4,640	0,42	-0,14	-0,43
4,660	0,41	-0,15	-0,43
4,680	0,41	-0,15	-0,44
4,700	0,41	-0,16	-0,32
4,720	0,40	-0,17	-0,32
4,740	0,40	-0,18	-0,43
4,760	0,40	-0,18	-0,44
4,780	0,39	-0,19	-0,34
4,800	0,39	-0,20	-0,11
4,820	0,39	-0,20	-0,10
4,840	0,38	-0,20	-0,32
4,860	0,38	-0,21	-0,44
4,880	0,37	-0,22	-0,23
4,900	0,37	-0,22	0,01
4,920	0,36	-0,22	-0,11
4,940	0,36	-0,22	-0,11
4,960	0,36	-0,22	2,14E-13
4,980	0,35	-0,22	-2,14E-13
5,000	0,35	-0,22	-0,01
5,020	0,34	-0,22	0,11
5,040	0,34	-0,22	0,11
5,060	0,33	-0,22	-0,01
5,080	0,33	-0,22	0,11
5,100	0,32	-0,22	0,11
5,120	0,32	-0,22	0,10
5,140	0,32	-0,21	0,32
5,160	0,31	-0,20	0,33
5,180	0,31	-0,20	0,21
5,200	0,30	-0,19	0,32
5,220	0,30	-0,19	0,44
5,240	0,30	-0,18	0,32
5,260	0,29	-0,17	0,32
5,280	0,29	-0,16	0,44
5,300	0,29	-0,16	0,32
5,320	0,28	-0,15	0,31
5,340	0,28	-0,14	0,54
5,360	0,28	-0,13	0,54
5,380	0,27	-0,12	0,43
5,400	0,27	-0,11	0,53
5,420	0,27	-0,10	0,65
5,440	0,27	-0,09	0,65
5,460	0,27	-0,07	0,54
5,480	0,27	-0,06	0,43
5,500	0,26	-0,06	0,53
5,520	0,26	-0,04	0,65
5,540	0,26	-0,03	0,54
5,560	0,26	-0,02	0,54
5,580	0,26	-0,01	0,54
5,600	0,26	-4,91E-4	0,53
5,620	0,26	0,01	0,76
5,640	0,26	0,03	0,65
5,660	0,26	0,04	0,53
5,680	0,26	0,05	0,64
5,700	0,26	0,06	0,65
5,720	0,27	0,08	0,54
5,740	0,27	0,09	0,43
5,760	0,27	0,09	0,43
5,780	0,27	0,10	0,43
5,800	0,27	0,11	0,54
5,820	0,28	0,12	0,54
5,840	0,28	0,13	0,54
5,860	0,28	0,15	0,54
5,880	0,28	0,15	0,43
5,900	0,29	0,16	0,43
5,920	0,29	0,17	0,43
5,940	0,29	0,18	0,44
5,960	0,30	0,19	0,22
5,980	0,30	0,19	0,10
6,000	0,31	0,19	0,32
6,020	0,31	0,20	0,33
6,040	0,31	0,21	0,21
6,060	0,32	0,21	0,22
6,080	0,32	0,21	0,11
6,100	0,33	0,21	0,10
6,120	0,33	0,22	0,33
6,140	0,34	0,23	0,23
6,160	0,34	0,23	-0,11
6,180	0,34	0,22	-0,11
6,200	0,35	0,22	3,47E-14
6,220	0,35	0,22	0,01
6,240	0,36	0,22	-0,10
6,260	0,36	0,22	-0,22
6,280	0,37	0,21	-0,11
6,300	0,37	0,21	0,01
6,320	0,38	0,22	-0,10
6,340	0,38	0,21	-0,21
6,360	0,38	0,21	-0,21
6,380	0,39	0,20	-0,32
6,400	0,39	0,19	-0,43
6,420	0,40	0,19	-0,43
6,440	0,40	0,18	-0,44
6,460	0,40	0,17	-0,32
6,480	0,41	0,16	-0,32
6,500	0,41	0,16	-0,44
6,520	0,41	0,15	-0,32
6,540	0,42	0,14	-0,32
6,560	0,42	0,13	-0,42
6,580	0,42	0,13	-0,53
6,600	0,42	0,11	-0,65
6,620	0,43	0,10	-0,54
6,640	0,43	0,09	-0,42
6,660	0,43	0,08	-0,53
6,680	0,43	0,07	-0,65
6,700	0,43	0,06	-0,54
6,720	0,43	0,05	-0,53
6,740	0,43	0,04	-0,65
6,760	0,43	0,02	-0,54
6,780	0,43	0,01	-0,42
6,800	0,43	0,01	-0,53
6,820	0,43	-0,01	-0,65
6,840	0,43	-0,02	-0,65
6,860	0,43	-0,03	-0,65
6,880	0,43	-0,05	-0,54
6,900	0,43	-0,06	-0,54
6,920	0,43	-0,07	-0,54
6,940	0,43	-0,08	-0,53
6,960	0,43	-0,09	-0,66
6,980	0,43	-0,10	-0,43
7,000	0,42	-0,11	-0,42
7,020	0,42	-0,12	-0,54
7,040	0,42	-0,13	-0,43
7,060	0,42	-0,14	-0,43
7,080	0,41	-0,15	-0,43
7,100	0,41	-0,15	-0,44
7,120	0,41	-0,16	-0,32
7,140	0,40	-0,17	-0,42
7,160	0,40	-0,18	-0,55
7,180	0,40	-0,19	-0,33
7,200	0,39	-0,19	-0,22
7,220	0,39	-0,20	-0,22
7,240	0,38	-0,20	-0,22
7,260	0,38	-0,21	-0,22
7,280	0,38	-0,21	-0,22
7,300	0,37	-0,22	-0,11
7,320	0,37	-0,21	-0,10
7,340	0,36	-0,22	-0,22
7,360	0,36	-0,22	-0,22
7,380	0,35	-0,23	-0,12
7,400	0,35	-0,23	0,11
7,420	0,35	-0,22	0,11
7,440	0,34	-0,22	-0,01
7,460	0,34	-0,22	0,10
7,480	0,33	-0,22	0,22
7,500	0,33	-0,22	0,11
7,520	0,32	-0,22	0,10
7,540	0,32	-0,21	0,22
7,560	0,32	-0,21	0,11
7,580	0,31	-0,21	0,10
7,600	0,31	-0,20	0,32
7,620	0,30	-0,19	0,44
7,640	0,30	-0,19	0,32
7,660	0,30	-0,18	0,31
7,680	0,29	-0,17	0,54
7,700	0,29	-0,16	0,44
7,720	0,29	-0,16	0,31
7,740	0,28	-0,15	0,54
7,760	0,28	-0,13	0,43
7,780	0,28	-0,13	0,31
7,800	0,27	-0,12	0,54
7,820	0,27	-0,11	0,54
7,840	0,27	-0,10	0,54
7,860	0,27	-0,09	0,54
7,880	0,27	-0,08	0,53
7,900	0,27	-0,07	0,65
7,920	0,26	-0,05	0,53
7,940	0,26	-0,04	0,64
7,960	0,26	-0,03	0,76
7,980	0,26	-0,01	0,54
8,000	0,26	0,00	0,43
8,020	0,26	0,00	0,43
8,040	0,26	0,01	0,53
8,060	0,26	0,03	0,76
8,080	0,26	0,04	0,65
8,100	0,26	0,05	0,42
8,120	0,26	0,06	0,64
8,140	0,27	0,08	0,76
8,160	0,27	0,09	0,54
8,180	0,27	0,10	0,43
8,200	0,27	0,11	0,43
8,220	0,27	0,12	0,54
8,240	0,28	0,13	0,55
8,260	0,28	0,14	0,32
8,280	0,28	0,14	0,43
8,300	0,29	0,15	0,55
8,320	0,29	0,16	0,32
8,340	0,29	0,17	0,42
8,360	0,29	0,18	0,55
8,380	0,30	0,19	0,33
8,400	0,30	0,19	0,21
8,420	0,31	0,20	0,21
8,440	0,31	0,20	0,21
8,460	0,31	0,21	0,21
8,480	0,32	0,21	0,22
8,500	0,32	0,21	0,11
