Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,700	0,41	0,19	-0,21
3,720	0,42	0,18	-0,32
3,740	0,42	0,17	-0,32
3,760	0,43	0,17	-0,32
3,780	0,43	0,16	-0,44
3,800	0,43	0,15	-0,33
3,820	0,43	0,15	-0,19
3,840	0,44	0,14	-0,52
3,860	0,44	0,13	-0,78
3,880	0,44	0,11	-0,33
3,900	0,44	0,11	-0,19
3,920	0,45	0,10	-0,64
3,940	0,45	0,09	-0,66
3,960	0,45	0,08	-0,42
3,980	0,45	0,07	-0,54
4,000	0,45	0,06	-0,54
4,020	0,45	0,05	-0,53
4,040	0,46	0,04	-0,66
4,060	0,46	0,02	-0,42
4,080	0,46	0,02	-0,52
4,100	0,46	8,56E-4	-0,77
4,120	0,46	-0,01	-0,44
4,140	0,46	-0,02	-0,31
4,160	0,46	-0,02	-0,52
4,180	0,46	-0,04	-0,76
4,200	0,45	-0,06	-0,67
4,220	0,45	-0,06	-0,32
4,240	0,45	-0,07	-0,42
4,260	0,45	-0,08	-0,66
4,280	0,45	-0,09	-0,43
4,300	0,45	-0,10	-0,42
4,320	0,44	-0,11	-0,54
4,340	0,44	-0,12	-0,43
4,360	0,44	-0,13	-0,43
4,380	0,44	-0,14	-0,43
4,400	0,43	-0,15	-0,44
4,420	0,43	-0,15	-0,33
4,440	0,43	-0,16	-0,21
4,460	0,42	-0,16	-0,32
4,480	0,42	-0,17	-0,44
4,500	0,42	-0,18	-0,22
4,520	0,41	-0,18	-0,21
4,540	0,41	-0,19	-0,34
4,560	0,41	-0,19	0,01
4,580	0,40	-0,19	-0,09
4,600	0,40	-0,20	-0,34
4,620	0,39	-0,20	-0,11
4,640	0,39	-0,20	-0,11
4,660	0,39	-0,21	-0,11
4,680	0,38	-0,21	-0,11
4,700	0,38	-0,21	-0,12
4,720	0,37	-0,21	0,11
4,740	0,37	-0,21	0,11
4,760	0,37	-0,21	0,10
4,780	0,36	-0,20	0,22
4,800	0,36	-0,20	0,11
4,820	0,35	-0,20	0,10
4,840	0,35	-0,19	0,22
4,860	0,35	-0,19	0,22
4,880	0,34	-0,19	0,22
4,900	0,34	-0,18	0,22
4,920	0,34	-0,18	0,22
4,940	0,33	-0,17	0,21
4,960	0,33	-0,17	0,32
4,980	0,33	-0,16	0,43
5,000	0,32	-0,15	0,54
5,020	0,32	-0,14	0,55
5,040	0,32	-0,13	0,32
5,060	0,31	-0,13	0,32
5,080	0,31	-0,12	0,43
5,100	0,31	-0,11	0,43
5,120	0,31	-0,10	0,43
5,140	0,31	-0,09	0,43
5,160	0,30	-0,08	0,43
5,180	0,30	-0,07	0,53
5,200	0,30	-0,06	0,65
5,220	0,30	-0,05	0,54
5,240	0,30	-0,04	0,53
5,260	0,30	-0,03	0,65
5,280	0,30	-0,01	0,54
5,300	0,30	0,00	0,43
5,320	0,30	0,00	0,43
5,340	0,30	0,01	0,54
