U/V;x/cm
3,7;0,6
7,9;2,2
12;0,4
16,1;0,1
9;1,4
8,6;2,1
8,1;2,4
6,6;1,2
7,5;1,8
8,2;2,6
8,3;2,4
10,8;0,6
5;0,85
8,9;1,6
9,3;1,2
7,4;1,8
6,9;1,4
8,5;2,1
8,8;1,8
