U/V;x/cm
2;0,4
4,01;0,65
5,95;1,1
7,99;4,8
10,11;0,9
11,98;0,4
14,01;0,1
17,79;0,1
5,17;0,9
6,71;1,4
7,16;1,8
7,43;2,4
7,81;3,8
7,6;2,8
8,64;3,2
8,33;5,3
8,41;4,6
8,49;3,9
9,05;1,9
8,72;2,6
8,2;5,8
8,09;6,5
8,05;6,3
