Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
14,100	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,100	0,083	0,377	-2,670	0,0020	0,009	-0,064
14,150	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,150	0,099	0,220	-2,827	0,0024	0,005	-0,068
14,200	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,200	0,105	0,094	-2,042	0,0025	0,002	-0,049
14,250	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,250	0,108	0,016	-1,100	0,0026	3,750E-4	-0,026
14,300	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,300	0,107	-0,016	-0,157	0,0026	-3,750E-4	-0,004
14,350	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,350	0,107	0,000	0,157	0,0026	0,000	0,004
14,400	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,400	0,107	0,000	0,000	0,0026	0,000	0,000
14,450	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,450	0,107	0,000	0,000	0,0026	0,000	0,000
14,500	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,500	0,107	0,000	0,000	0,0026	0,000	0,000
14,550	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,550	0,107	0,000	0,000	0,0026	0,000	0,000
14,600	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,600	0,107	0,000	0,000	0,0026	0,000	0,000
14,650	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,650	0,107	0,000	0,000	0,0026	0,000	0,000
14,700	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,700	0,107	0,000	0,000	0,0026	0,000	0,000
14,750	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,750	0,107	0,000	0,000	0,0026	0,000	0,000
14,800	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,800	0,107	0,000	0,000	0,0026	0,000	0,000
14,850	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,850	0,107	0,000	0,000	0,0026	0,000	0,000
14,900	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,900	0,107	0,000	0,000	0,0026	0,000	0,000
14,950	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	14,950	0,107	0,000	0,000	0,0026	0,000	0,000
15,000	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,000	0,107	0,000	0,000	0,0026	0,000	0,000
15,050	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,050	0,107	0,000	0,000	0,0026	0,000	0,000
15,100	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,100	0,107	0,000	0,000	0,0026	0,000	0,000
15,150	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,150	0,107	0,000	0,000	0,0026	0,000	0,000
15,200	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,200	0,107	0,000	0,000	0,0026	0,000	0,000
15,250	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,250	0,107	0,000	0,000	0,0026	0,000	0,000
15,300	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,300	0,107	0,000	-0,157	0,0026	0,000	-0,004
15,350	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,350	0,107	-0,016	-0,157	0,0026	-3,750E-4	-0,004
15,400	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,400	0,105	-0,016	0,157	0,0025	-3,750E-4	0,004
15,450	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,450	0,105	0,000	0,157	0,0025	0,000	0,004
15,500	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,500	0,105	0,000	0,000	0,0025	0,000	0,000
15,550	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,550	0,105	0,000	0,000	0,0025	0,000	0,000
15,600	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,600	0,105	0,000	0,000	0,0025	0,000	0,000
15,650	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,650	0,105	0,000	0,000	0,0025	0,000	0,000
15,700	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,700	0,105	0,000	0,000	0,0025	0,000	0,000
15,750	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,750	0,105	0,000	0,000	0,0025	0,000	0,000
15,800	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,800	0,105	0,000	0,000	0,0025	0,000	0,000
15,850	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,850	0,105	0,000	0,000	0,0025	0,000	0,000
15,900	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,900	0,105	0,000	0,000	0,0025	0,000	0,000
15,950	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000	15,950	0,105	0,000		0,0025	0,000	
16,000	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,050	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,100	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,150	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,200	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,250	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,300	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,350	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,400	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,450	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,500	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,550	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,600	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,650	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,700	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,750	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,800	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,850	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,900	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
16,950	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,000	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,050	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,100	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,150	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,200	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,250	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,300	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,350	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,400	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,450	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,500	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,550	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,600	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,650	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,700	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,750	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,800	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,850	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,900	-0,033	0,000	0,000	-7,8750E-4	0,000	0,000							
17,950	-0,033	0,000		-7,8750E-4	0,000								
