"Messung #1"
"wellenlaenge lambda"
3.89E-07
3.97E-07
4.026E-07
4.121E-07
4.39E-07
4.471E-07
4.71E-07
4.92E-07
5.02E-07
5.05E-07
5.88E-07
6.68E-07
7.07E-07
