Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,32		
0,020	0,32	0,17	
0,040	0,32	0,18	0,33
0,060	0,33	0,18	0,21
0,080	0,33	0,18	0,32
0,100	0,34	0,19	0,33
0,120	0,34	0,20	0,22
0,140	0,34	0,20	0,11
0,160	0,35	0,20	0,10
0,180	0,35	0,21	0,33
0,200	0,36	0,21	0,23
0,220	0,36	0,21	-7,70E-14
0,240	0,36	0,21	-0,01
0,260	0,37	0,21	0,11
0,280	0,37	0,22	0,01
0,300	0,38	0,22	-0,23
0,320	0,38	0,21	0,11
0,340	0,39	0,22	0,13
0,360	0,39	0,22	-0,33
0,380	0,39	0,21	-0,22
0,400	0,40	0,21	-0,10
0,420	0,40	0,20	-0,22
0,440	0,41	0,20	-0,10
0,460	0,41	0,20	-0,20
0,480	0,41	0,19	-0,44
0,500	0,42	0,18	-0,22
0,520	0,42	0,18	-0,09
0,540	0,43	0,18	-0,32
0,560	0,43	0,17	-0,43
0,580	0,43	0,16	-0,43
0,600	0,44	0,15	-0,43
0,620	0,44	0,14	-0,44
0,640	0,44	0,13	-0,32
0,660	0,44	0,13	-0,31
0,680	0,45	0,12	-0,54
0,700	0,45	0,11	-0,54
0,720	0,45	0,10	-0,42
0,740	0,45	0,09	-0,54
0,760	0,45	0,08	-0,54
0,780	0,46	0,07	-0,42
0,800	0,46	0,06	-0,64
0,820	0,46	0,04	-0,66
0,840	0,46	0,03	-0,42
0,860	0,46	0,03	-0,54
0,880	0,46	0,01	-0,54
0,900	0,46	0,01	-0,53
0,920	0,46	-0,01	-0,66
0,940	0,46	-0,02	-0,43
0,960	0,46	-0,02	-0,42
0,980	0,46	-0,04	-0,65
1,000	0,46	-0,05	-0,54
1,020	0,46	-0,06	-0,54
1,040	0,46	-0,07	-0,54
1,060	0,45	-0,08	-0,54
1,080	0,45	-0,09	-0,55
1,100	0,45	-0,10	-0,43
1,120	0,45	-0,11	-0,43
1,140	0,45	-0,12	-0,43
1,160	0,44	-0,13	-0,43
1,180	0,44	-0,14	-0,43
1,200	0,44	-0,15	-0,44
1,220	0,43	-0,15	-0,32
1,240	0,43	-0,16	-0,32
1,260	0,43	-0,17	-0,44
1,280	0,42	-0,18	-0,33
1,300	0,42	-0,18	-0,20
1,320	0,42	-0,18	-0,43
1,340	0,41	-0,20	-0,46
1,360	0,41	-0,20	0,11
1,380	0,41	-0,19	0,14
1,400	0,40	-0,20	-0,44
1,420	0,40	-0,21	-0,34
1,440	0,39	-0,21	2,91E-14
1,460	0,39	-0,21	0,01
1,480	0,39	-0,21	-0,10
1,500	0,38	-0,21	-0,23
1,520	0,38	-0,22	-0,01
1,540	0,37	-0,22	0,11
1,560	0,37	-0,22	-6,94E-14
1,580	0,36	-0,22	-0,01
1,600	0,36	-0,22	0,10
1,620	0,36	-0,21	0,22
1,640	0,35	-0,21	0,22
1,660	0,35	-0,20	0,22
1,680	0,34	-0,20	0,22
1,700	0,34	-0,19	0,22
1,720	0,34	-0,19	0,22
1,740	0,33	-0,19	0,22
1,760	0,33	-0,18	0,21
1,780	0,32	-0,18	0,32
1,800	0,32	-0,17	0,43
1,820	0,32	-0,16	0,43
1,840	0,31	-0,15	0,43
1,860	0,31	-0,14	0,43
1,880	0,31	-0,13	0,43
1,900	0,31	-0,13	0,43
1,920	0,30	-0,12	0,54
1,940	0,30	-0,10	0,55
1,960	0,30	-0,09	0,32
1,980	0,30	-0,09	0,43
2,000	0,30	-0,08	0,54
2,020	0,29	-0,07	0,42
2,040	0,29	-0,06	0,65
2,060	0,29	-0,04	0,65
2,080	0,29	-0,03	0,53
2,100	0,29	-0,02	0,65
