Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,700	0,30	0,25	0,22
3,720	0,30	0,25	0,12
3,740	0,31	0,25	-0,11
3,760	0,31	0,25	0,00
3,780	0,32	0,25	0,12
3,800	0,32	0,25	-0,21
3,820	0,33	0,24	-0,22
3,840	0,33	0,24	0,01
3,860	0,34	0,25	-0,10
3,880	0,34	0,24	-0,21
3,900	0,35	0,24	-0,21
3,920	0,35	0,23	-0,21
3,940	0,36	0,23	-0,32
3,960	0,36	0,22	-0,33
3,980	0,37	0,22	-0,21
4,000	0,37	0,21	-0,32
4,020	0,37	0,20	-0,42
4,040	0,38	0,19	-0,54
4,060	0,38	0,18	-0,55
4,080	0,39	0,17	-0,32
4,100	0,39	0,17	-0,32
4,120	0,39	0,16	-0,42
4,140	0,40	0,15	-0,52
4,160	0,40	0,14	-0,75
4,180	0,40	0,12	-0,76
4,200	0,40	0,11	-0,54
4,220	0,41	0,10	-0,42
4,240	0,41	0,09	-0,54
4,260	0,41	0,08	-0,54
4,280	0,41	0,07	-0,52
4,300	0,41	0,06	-0,75
4,320	0,41	0,04	-0,77
4,340	0,41	0,03	-0,54
4,360	0,41	0,02	-0,42
4,380	0,41	0,01	-0,63
4,400	0,41	-0,01	-0,87
4,420	0,41	-0,03	-0,66
4,440	0,41	-0,03	-0,42
4,460	0,41	-0,04	-0,64
4,480	0,41	-0,06	-0,76
4,500	0,41	-0,07	-0,65
4,520	0,41	-0,09	-0,54
4,540	0,41	-0,09	-0,42
4,560	0,40	-0,10	-0,54
4,580	0,40	-0,12	-0,54
4,600	0,40	-0,12	-0,53
4,620	0,40	-0,14	-0,65
4,640	0,39	-0,15	-0,54
4,660	0,39	-0,16	-0,54
4,680	0,39	-0,17	-0,55
4,700	0,38	-0,18	-0,32
4,720	0,38	-0,18	-0,42
4,740	0,38	-0,20	-0,56
4,760	0,37	-0,21	-0,22
4,780	0,37	-0,21	-0,20
4,800	0,36	-0,21	-0,44
4,820	0,36	-0,22	-0,33
4,840	0,36	-0,23	-0,22
4,860	0,35	-0,23	-0,22
4,880	0,35	-0,24	-0,22
4,900	0,34	-0,24	-0,22
4,920	0,34	-0,25	-0,22
4,940	0,33	-0,25	-0,11
4,960	0,33	-0,25	2,43E-13
4,980	0,32	-0,25	3,12E-13
5,000	0,32	-0,25	-1,04E-13
5,020	0,31	-0,25	-1,39E-13
5,040	0,31	-0,25	-1,39E-13
5,060	0,30	-0,25	0,00
5,080	0,30	-0,25	0,10
5,100	0,29	-0,25	0,22
5,120	0,29	-0,24	0,11
5,140	0,28	-0,24	0,10
5,160	0,28	-0,24	0,32
5,180	0,27	-0,23	0,33
5,200	0,27	-0,22	0,21
5,220	0,26	-0,22	0,43
5,240	0,26	-0,21	0,44
5,260	0,26	-0,20	0,21
5,280	0,25	-0,20	0,43
5,300	0,25	-0,19	0,43
5,320	0,24	-0,18	0,32
5,340	0,24	-0,17	0,54
5,360	0,24	-0,16	0,54
5,380	0,23	-0,15	0,53
5,400	0,23	-0,14	0,65
5,420	0,23	-0,13	0,54
5,440	0,23	-0,12	0,53
5,460	0,22	-0,10	0,65
5,480	0,22	-0,09	0,54
5,500	0,22	-0,08	0,43
5,520	0,22	-0,07	0,53
5,540	0,22	-0,06	0,75
5,560	0,22	-0,04	0,76
5,580	0,22	-0,03	0,54
5,600	0,22	-0,02	0,53
5,620	0,21	-0,01	0,75
5,640	0,21	0,01	0,76
5,660	0,21	0,02	0,64
5,680	0,22	0,03	0,64
5,700	0,22	0,05	0,65
5,720	0,22	0,06	0,54
5,740	0,22	0,07	0,42
5,760	0,22	0,08	0,64
5,780	0,22	0,09	0,76
5,800	0,22	0,11	0,54
5,820	0,23	0,12	0,53
5,840	0,23	0,13	0,64
5,860	0,23	0,14	0,65
5,880	0,23	0,15	0,54
5,900	0,24	0,16	0,43
5,920	0,24	0,17	0,43
5,940	0,24	0,18	0,32
5,960	0,25	0,18	0,31
5,980	0,25	0,19	0,54
6,000	0,26	0,21	0,54
6,020	0,26	0,21	0,33
6,040	0,26	0,22	0,21
6,060	0,27	0,22	0,21
6,080	0,27	0,23	0,32
6,100	0,28	0,24	0,33
6,120	0,28	0,24	0,22
6,140	0,29	0,24	0,11
6,160	0,29	0,24	0,00
6,180	0,30	0,24	0,10
6,200	0,30	0,25	0,22
6,220	0,31	0,25	0,12
6,240	0,31	0,25	-0,11
6,260	0,32	0,25	-0,11
6,280	0,32	0,25	1,73E-13
6,300	0,33	0,25	0,01
6,320	0,33	0,25	-0,10
6,340	0,34	0,25	-0,21
6,360	0,34	0,24	-0,21
6,380	0,35	0,24	-0,21
6,400	0,35	0,23	-0,21
6,420	0,36	0,23	-0,32
6,440	0,36	0,22	-0,33
6,460	0,36	0,22	-0,21
6,480	0,37	0,21	-0,32
6,500	0,37	0,20	-0,43
6,520	0,38	0,19	-0,43
6,540	0,38	0,19	-0,43
6,560	0,38	0,18	-0,43
6,580	0,39	0,17	-0,42
6,600	0,39	0,16	-0,52
6,620	0,39	0,15	-0,76
6,640	0,40	0,13	-0,66
6,660	0,40	0,12	-0,31
6,680	0,40	0,12	-0,53
6,700	0,40	0,10	-0,66
6,720	0,41	0,09	-0,42
6,740	0,41	0,08	-0,54
6,760	0,41	0,07	-0,53
6,780	0,41	0,06	-0,64
6,800	0,41	0,04	-0,76
6,820	0,41	0,03	-0,64
6,840	0,41	0,02	-0,64
6,860	0,41	0,01	-0,65
6,880	0,41	-0,01	-0,54
6,900	0,41	-0,02	-0,42
6,920	0,41	-0,02	-0,63
6,940	0,41	-0,04	-0,87
6,960	0,41	-0,06	-0,65
6,980	0,41	-0,07	-0,54
7,000	0,41	-0,08	-0,54
7,020	0,41	-0,09	-0,42
7,040	0,40	-0,10	-0,65
7,060	0,40	-0,12	-0,66
7,080	0,40	-0,12	-0,43
7,100	0,40	-0,13	-0,42
7,120	0,39	-0,14	-0,53
7,140	0,39	-0,15	-0,77
7,160	0,39	-0,17	-0,55
7,180	0,38	-0,18	-0,31
7,200	0,38	-0,18	-0,54
7,220	0,38	-0,20	-0,44
7,240	0,37	-0,20	-0,22
7,260	0,37	-0,21	-0,21
7,280	0,37	-0,21	-0,32
7,300	0,36	-0,22	-0,44
7,320	0,36	-0,23	-0,33
7,340	0,35	-0,23	-0,22
7,360	0,35	-0,24	-0,22
7,380	0,34	-0,24	-0,11
7,400	0,34	-0,24	-0,10
7,420	0,33	-0,25	-0,22
7,440	0,33	-0,25	-0,11
7,460	0,32	-0,25	-0,11
7,480	0,32	-0,25	-0,12
7,500	0,31	-0,25	0,10
7,520	0,31	-0,25	0,22
7,540	0,30	-0,25	0,11
7,560	0,30	-0,25	0,00
7,580	0,29	-0,25	0,11
7,600	0,29	-0,24	0,11
7,620	0,28	-0,24	0,10
7,640	0,28	-0,24	0,22
7,660	0,27	-0,23	0,21
7,680	0,27	-0,23	0,32
7,700	0,26	-0,22	0,43
7,720	0,26	-0,21	0,43
7,740	0,26	-0,20	0,32
7,760	0,25	-0,20	0,32
7,780	0,25	-0,19	0,54
7,800	0,24	-0,18	0,55
7,820	0,24	-0,17	0,32
7,840	0,24	-0,16	0,32
7,860	0,23	-0,16	0,53
7,880	0,23	-0,14	0,65
7,900	0,23	-0,13	0,65
7,920	0,23	-0,12	0,54
7,940	0,22	-0,11	0,53
7,960	0,22	-0,10	0,65
7,980	0,22	-0,08	0,65
8,000	0,22	-0,07	0,65
8,020	0,22	-0,06	0,54
8,040	0,22	-0,05	0,53
8,060	0,22	-0,03	0,65
8,080	0,22	-0,02	0,65
8,100	0,22	-0,01	0,65
8,120	0,21	0,00	0,64
8,140	0,22	0,02	0,64
8,160	0,22	0,03	0,64
8,180	0,22	0,04	0,75
8,200	0,22	0,06	0,76
8,220	0,22	0,07	0,54
8,240	0,22	0,08	0,43
8,260	0,22	0,09	0,53
8,280	0,22	0,10	0,65
8,300	0,23	0,12	0,54
8,320	0,23	0,12	0,43
8,340	0,23	0,13	0,53
8,360	0,23	0,15	0,64
8,380	0,24	0,16	0,65
8,400	0,24	0,17	0,54
8,420	0,24	0,18	0,32
8,440	0,25	0,18	0,32
8,460	0,25	0,19	0,43
8,480	0,26	0,20	0,43
8,500	0,26	0,21	0,33
8,520	0,26	0,21	0,21
8,540	0,27	0,22	0,32
8,560	0,27	0,23	0,43
8,580	0,28	0,24	0,33
8,600	0,28	0,24	0,11
8,620	0,29	0,24	0,11
8,640	0,29	0,24	0,11
8,660	0,30	0,24	0,00
8,680	0,30	0,24	0,11
8,700	0,31	0,25	0,11
8,720	0,31	0,25	-2,41E-13
8,740	0,32	0,25	-2,07E-13
8,760	0,32	0,25	0,00
8,780	0,33	0,25	0,01
8,800	0,33	0,25	-0,10
8,820	0,34	0,25	-0,21
8,840	0,34	0,24	-0,21
8,860	0,35	0,24	-0,21
8,880	0,35	0,23	-0,21
8,900	0,35	0,23	-0,21
8,920	0,36	0,22	-0,32
8,940	0,36	0,22	-0,44
8,960	0,37	0,21	-0,32
8,980	0,37	0,20	-0,32
9,000	0,38	0,19	-0,44
9,020	0,38	0,19	-0,32
9,040	0,38	0,18	-0,31
9,060	0,39	0,17	-0,53
9,080	0,39	0,16	-0,65
9,100	0,39	0,15	-0,55
9,120	0,40	0,14	-0,31
9,140	0,40	0,13	-0,52
9,160	0,40	0,12	-0,87
9,180	0,40	0,10	-0,66
9,200	0,41	0,09	-0,43
9,220	0,41	0,08	-0,43
9,240	0,41	0,07	-0,42
9,260	0,41	0,07	-0,63
9,280	0,41	0,05	-0,87
9,300	0,41	0,03	-0,65
9,320	0,41	0,02	-0,53
9,340	0,41	0,01	-0,64
9,360	0,41	0,00	-0,65
9,380	0,41	-0,02	-0,65
9,400	0,41	-0,03	-0,65
9,420	0,41	-0,04	-0,66
9,440	0,41	-0,06	-0,42
9,460	0,41	-0,06	-0,52
9,480	0,41	-0,08	-0,77
9,500	0,41	-0,09	-0,42
9,520	0,40	-0,09	-0,64
9,540	0,40	-0,12	-0,78
9,560	0,40	-0,12	-0,32
9,580	0,40	-0,13	-0,42
9,600	0,40	-0,14	-0,65
9,620	0,39	-0,15	-0,65
9,640	0,39	-0,17	-0,55
9,660	0,39	-0,18	-0,32
9,680	0,38	-0,18	-0,31
9,700	0,38	-0,19	-0,54
9,720	0,37	-0,20	-0,44
9,740	0,37	-0,21	-0,21
9,760	0,37	-0,21	-0,32
9,780	0,36	-0,22	-0,44
9,800	0,36	-0,23	-0,33
9,820	0,35	-0,23	-0,11
9,840	0,35	-0,23	-0,10
9,860	0,34	-0,24	-0,33
9,880	0,34	-0,25	-0,23
9,900	0,33	-0,25	0,01
9,920	0,33	-0,25	-0,11
9,940	0,32	-0,25	-0,11
9,960	0,32	-0,25	2,78E-13
9,980	0,31	-0,25	2,78E-13
10,000	0,31	-0,25	-3,12E-13
10,020	0,30	-0,25	0,00
10,040	0,30	-0,25	0,10
10,060	0,29	-0,25	0,22
10,080	0,29	-0,24	0,22
10,100	0,28	-0,24	0,22
10,120	0,28	-0,23	0,22
10,140	0,27	-0,23	0,22
10,160	0,27	-0,22	0,22
10,180	0,27	-0,22	0,21
10,200	0,26	-0,22	0,32
10,220	0,26	-0,21	0,43
10,240	0,25	-0,20	0,32
10,260	0,25	-0,19	0,42
10,280	0,25	-0,18	0,65
10,300	0,24	-0,17	0,54
10,320	0,24	-0,16	0,43
10,340	0,24	-0,15	0,43
10,360	0,23	-0,14	0,43
10,380	0,23	-0,13	0,54
10,400	0,23	-0,12	0,54
10,420	0,23	-0,11	0,53
10,440	0,22	-0,10	0,65
10,460	0,22	-0,09	0,65
10,480	0,22	-0,07	0,65
10,500	0,22	-0,06	0,65
10,520	0,22	-0,05	0,65
10,540	0,22	-0,03	0,53
10,560	0,22	-0,03	0,64
10,580	0,22	-0,01	0,76
10,600	0,22	0,00	0,54
10,620	0,22	0,01	0,53
10,640	0,22	0,03	0,64
10,660	0,22	0,04	0,64
10,680	0,22	0,05	0,64
10,700	0,22	0,06	0,64
10,720	0,22	0,08	0,64
10,740	0,22	0,09	0,64
10,760	0,22	0,10	0,65
10,780	0,23	0,12	0,43
10,800	0,23	0,12	0,42
10,820	0,23	0,13	0,65
10,840	0,23	0,15	0,54
10,860	0,24	0,15	0,43
10,880	0,24	0,16	0,43
10,900	0,24	0,17	0,54
10,920	0,25	0,18	0,54
10,940	0,25	0,19	0,43
10,960	0,25	0,20	0,43
10,980	0,26	0,21	0,43
11,000	0,26	0,22	0,33
11,020	0,27	0,22	0,11
11,040	0,27	0,22	0,10
11,060	0,28	0,23	0,32
11,080	0,28	0,24	0,33
11,100	0,29	0,24	0,21
11,120	0,29	0,24	0,22
11,140	0,30	0,25	0,11
11,160	0,30	0,25	2,76E-13
11,180	0,31	0,25	-6,94E-14
11,200	0,31	0,25	-3,11E-13
11,220	0,32	0,25	-2,76E-13
11,240	0,32	0,25	0,01
11,260	0,33	0,25	-0,10
11,280	0,33	0,25	-0,22
11,300	0,33	0,24	-0,11
11,320	0,34	0,24	0,01
11,340	0,34	0,24	-0,10
11,360	0,35	0,24	-0,32
11,380	0,35	0,23	-0,43
11,400	0,36	0,22	-0,33
11,420	0,36	0,22	-0,21
11,440	0,37	0,21	-0,32
11,460	0,37	0,20	-0,43
11,480	0,38	0,19	-0,44
11,500	0,38	0,19	-0,32
11,520	0,38	0,18	-0,31
11,540	0,39	0,17	-0,54
11,560	0,39	0,16	-0,55
11,580	0,39	0,15	-0,32
11,600	0,40	0,15	-0,40
11,620	0,40	0,13	-0,87
11,640	0,40	0,11	-0,77
11,660	0,40	0,10	-0,43
11,680	0,41	0,10	-0,42
11,700	0,41	0,09	-0,53
11,720	0,41	0,07	-0,65
11,740	0,41	0,06	-0,53
11,760	0,41	0,05	-0,64
11,780	0,41	0,04	-0,76
11,800	0,41	0,02	-0,65
11,820	0,41	0,01	-0,54
11,840	0,41	5,16E-4	-0,42
11,860	0,41	-0,01	-0,64
11,880	0,41	-0,03	-0,75
11,900	0,41	-0,04	-0,76
11,920	0,41	-0,06	-0,66
11,940	0,41	-0,06	-0,42
11,960	0,41	-0,07	-0,54
11,980	0,41	-0,09	-0,54
12,000	0,41	-0,09	-0,54
12,020	0,40	-0,11	-0,54
12,040	0,40	-0,12	-0,53
12,060	0,40	-0,13	-0,76
12,080	0,40	-0,15	-0,66
12,100	0,39	-0,15	-0,43
12,120	0,39	-0,16	-0,43
12,140	0,39	-0,17	-0,43
12,160	0,38	-0,18	-0,44
12,180	0,38	-0,19	-0,32
12,200	0,38	-0,19	-0,32
12,220	0,37	-0,20	-0,43
12,240	0,37	-0,21	-0,44
12,260	0,36	-0,22	-0,33
12,280	0,36	-0,22	-0,22
12,300	0,35	-0,23	-0,22
12,320	0,35	-0,23	-0,22
12,340	0,34	-0,24	-0,22
12,360	0,34	-0,24	-0,22
12,380	0,33	-0,25	-0,23
12,400	0,33	-0,25	-0,01
12,420	0,32	-0,25	0,12
12,440	0,32	-0,25	-0,11
12,460	0,31	-0,25	-0,11
12,480	0,31	-0,25	-2,78E-13
12,500	0,31	-0,25	0,00
12,520	0,30	-0,25	0,11
12,540	0,30	-0,25	0,11
12,560	0,29	-0,25	0,10
12,580	0,29	-0,24	0,33
12,600	0,28	-0,23	0,22
12,620	0,28	-0,23	0,10
12,640	0,27	-0,23	0,32
12,660	0,27	-0,22	0,43
12,680	0,26	-0,21	0,32
12,700	0,26	-0,21	0,32
12,720	0,25	-0,20	0,43
12,740	0,25	-0,19	0,32
12,760	0,25	-0,19	0,32
12,780	0,24	-0,18	0,43
12,800	0,24	-0,17	0,53
12,820	0,24	-0,16	0,65
12,840	0,23	-0,14	0,54
12,860	0,23	-0,13	0,53
12,880	0,23	-0,12	0,65
12,900	0,23	-0,11	0,54
12,920	0,22	-0,10	0,43
12,940	0,22	-0,09	0,53
12,960	0,22	-0,08	0,65
12,980	0,22	-0,06	0,65
13,000	0,22	-0,05	0,65
13,020	0,22	-0,04	0,65
13,040	0,22	-0,03	0,65
13,060	0,22	-0,01	0,64
13,080	0,22	-5,39E-4	0,76
13,100	0,22	0,02	0,65
13,120	0,22	0,03	0,42
13,140	0,22	0,03	0,64
13,160	0,22	0,05	0,76
13,180	0,22	0,06	0,54
13,200	0,22	0,07	0,53
13,220	0,22	0,09	0,64
13,240	0,22	0,10	0,64
13,260	0,23	0,11	0,65
13,280	0,23	0,12	0,54
13,300	0,23	0,13	0,43
13,320	0,23	0,14	0,54
13,340	0,24	0,15	0,54
13,360	0,24	0,16	0,43
13,380	0,24	0,17	0,43
13,400	0,25	0,18	0,43
13,420	0,25	0,19	0,54
13,440	0,25	0,20	0,44
13,460	0,26	0,21	0,21
13,480	0,26	0,21	0,32
13,500	0,27	0,22	0,43
13,520	0,27	0,23	0,33
13,540	0,28	0,23	0,22
13,560	0,28	0,24	0,11
13,580	0,28	0,24	0,10
13,600	0,29	0,24	0,22
13,620	0,29	0,24	0,11
13,640	0,30	0,24	0,11
13,660	0,30	0,25	0,11
13,680	0,31	0,25	-5,88E-13
13,700	0,31	0,25	5,53E-13
13,720	0,32	0,25	0,01
13,740	0,32	0,25	-0,10
13,760	0,33	0,25	-0,22
13,780	0,33	0,24	-0,11
13,800	0,34	0,24	-0,10
13,820	0,34	0,24	-0,22
13,840	0,35	0,23	-0,10
13,860	0,35	0,23	-0,20
13,880	0,36	0,22	-0,44
13,900	0,36	0,21	-0,21
13,920	0,37	0,22	-0,20
13,940	0,37	0,21	-0,54
13,960	0,37	0,19	-0,43
13,980	0,38	0,19	-0,31
14,000	0,38	0,18	-0,54
14,020	0,39	0,17	-0,44
14,040	0,39	0,16	-0,20
14,060	0,39	0,16	-0,41
14,080	0,40	0,15	-0,75
14,100	0,40	0,13	-0,76
14,120	0,40	0,12	-0,54
14,140	0,40	0,11	-0,54
14,160	0,40	0,09	-0,43
14,180	0,41	0,09	-0,41
14,200	0,41	0,08	-0,76
14,220	0,41	0,06	-0,65
14,240	0,41	0,05	-0,53
14,260	0,41	0,04	-0,64
14,280	0,41	0,03	-0,64
14,300	0,41	0,01	-0,65
14,320	0,41	5,16E-4	-0,54
14,340	0,41	-0,01	-0,53
14,360	0,41	-0,02	-0,65
14,380	0,41	-0,03	-0,64
14,400	0,41	-0,05	-0,76
14,420	0,41	-0,06	-0,66
14,440	0,41	-0,07	-0,42
14,460	0,41	-0,08	-0,54
14,480	0,41	-0,09	-0,54
14,500	0,40	-0,10	-0,53
14,520	0,40	-0,12	-0,76
14,540	0,40	-0,13	-0,66
14,560	0,40	-0,14	-0,43
14,580	0,39	-0,15	-0,43
14,600	0,39	-0,16	-0,42
14,620	0,39	-0,17	-0,54
14,640	0,38	-0,18	-0,55
14,660	0,38	-0,19	-0,32
14,680	0,38	-0,19	-0,32
14,700	0,37	-0,20	-0,44
14,720	0,37	-0,21	-0,33
14,740	0,36	-0,21	-0,21
14,760	0,36	-0,22	-0,32
14,780	0,35	-0,23	-0,33
14,800	0,35	-0,23	-0,22
14,820	0,35	-0,24	-0,22
14,840	0,34	-0,24	-0,22
14,860	0,34	-0,25	-0,11
14,880	0,33	-0,25	0,01
14,900	0,33	-0,25	-0,11
14,920	0,32	-0,25	-0,11
14,940	0,32	-0,25	-3,47E-14
14,960	0,31	-0,25	0,00
14,980	0,31	-0,25	0,10
15,000	0,30	-0,25	0,22
15,020	0,30	-0,24	3,07E-4
15,040	0,29	-0,25	-0,01
15,060	0,29	-0,24	0,22
15,080	0,28	-0,24	0,21
15,100	0,28	-0,23	0,32
15,120	0,27	-0,22	0,33
15,140	0,27	-0,22	0,21
15,160	0,26	-0,22	0,32
15,180	0,26	-0,21	0,43
15,200	0,26	-0,20	0,32
15,220	0,25	-0,19	0,32
15,240	0,25	-0,19	0,43
15,260	0,24	-0,18	0,54
15,280	0,24	-0,16	0,54
15,300	0,24	-0,16	0,43
15,320	0,23	-0,15	0,54
15,340	0,23	-0,13	0,54
15,360	0,23	-0,13	0,42
15,380	0,23	-0,12	0,64
15,400	0,22	-0,10	0,76
15,420	0,22	-0,09	0,54
15,440	0,22	-0,08	0,54
15,460	0,22	-0,06	0,54
15,480	0,22	-0,06	0,53
15,500	0,22	-0,04	0,65
15,520	0,22	-0,03	0,65
15,540	0,22	-0,02	0,65
15,560	0,22	0,00	0,64
15,580	0,22	0,01	0,75
15,600	0,22	0,03	0,76
15,620	0,22	0,04	0,54
15,640	0,22	0,05	0,53
15,660	0,22	0,06	0,65
15,680	0,22	0,07	0,54
15,700	0,22	0,08	0,53
15,720	0,22	0,09	0,65
15,740	0,23	0,11	0,54
15,760	0,23	0,12	0,53
15,780	0,23	0,13	0,64
15,800	0,23	0,14	0,65
15,820	0,24	0,15	0,54
15,840	0,24	0,16	0,32
15,860	0,24	0,17	0,43
15,880	0,25	0,18	0,54
15,900	0,25	0,19	0,32
15,920	0,25	0,19	0,32
15,940	0,26	0,20	0,43
15,960	0,26	0,21	0,43
15,980	0,27	0,22	0,33
16,000	0,27	0,22	0,21
16,020	0,27	0,23	0,32
16,040	0,28	0,24	0,33
16,060	0,28	0,24	0,11
