Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
12,480	0,42	-0,03	-0,54
12,500	0,42	-0,04	-0,44
12,520	0,42	-0,04	-0,30
12,540	0,42	-0,05	-0,65
12,560	0,42	-0,07	-0,67
12,580	0,42	-0,08	-0,32
12,600	0,42	-0,08	-0,32
12,620	0,42	-0,09	-0,42
12,640	0,41	-0,10	-0,54
12,660	0,41	-0,11	-0,44
12,680	0,41	-0,12	-0,20
12,700	0,41	-0,12	-0,43
12,720	0,40	-0,13	-0,44
12,740	0,40	-0,14	-0,32
12,760	0,40	-0,15	-0,44
12,780	0,40	-0,15	-0,33
12,800	0,39	-0,16	-0,22
12,820	0,39	-0,16	-0,21
12,840	0,39	-0,17	-0,32
12,860	0,38	-0,18	-0,33
12,880	0,38	-0,18	-0,11
12,900	0,38	-0,18	-0,10
12,920	0,37	-0,18	-0,22
12,940	0,37	-0,19	-0,11
12,960	0,36	-0,19	0,01
12,980	0,36	-0,19	-0,10
13,000	0,36	-0,19	-0,23
13,020	0,35	-0,20	-0,01
13,040	0,35	-0,19	0,11
13,060	0,35	-0,19	-0,01
13,080	0,34	-0,19	0,11
13,100	0,34	-0,19	0,11
13,120	0,33	-0,19	-0,01
13,140	0,33	-0,19	0,10
13,160	0,33	-0,19	0,22
13,180	0,32	-0,18	0,11
13,200	0,32	-0,18	0,10
13,220	0,32	-0,18	0,32
13,240	0,31	-0,17	0,33
13,260	0,31	-0,16	0,21
13,280	0,31	-0,16	0,32
13,300	0,30	-0,15	0,32
13,320	0,30	-0,15	0,32
13,340	0,30	-0,14	0,44
13,360	0,29	-0,13	0,32
13,380	0,29	-0,13	0,32
13,400	0,29	-0,12	0,43
13,420	0,29	-0,11	0,43
13,440	0,28	-0,10	0,32
13,460	0,28	-0,09	0,31
13,480	0,28	-0,09	0,53
13,500	0,28	-0,07	0,65
13,520	0,28	-0,06	0,55
13,540	0,28	-0,05	0,32
13,560	0,28	-0,05	0,42
13,580	0,27	-0,03	0,65
13,600	0,27	-0,02	0,54
13,620	0,27	-0,01	0,43
13,640	0,27	0,00	0,43
13,660	0,27	0,00	0,43
13,680	0,27	0,01	0,54
13,700	0,27	0,03	0,54
13,720	0,27	0,03	0,43
13,740	0,28	0,04	0,54
13,760	0,28	0,06	0,54
13,780	0,28	0,06	0,43
13,800	0,28	0,07	0,43
13,820	0,28	0,08	0,43
13,840	0,28	0,09	0,43
13,860	0,28	0,10	0,43
13,880	0,29	0,11	0,43
13,900	0,29	0,12	0,43
13,920	0,29	0,12	0,32
13,940	0,29	0,13	0,32
13,960	0,30	0,14	0,43
13,980	0,30	0,15	0,33
14,000	0,30	0,15	0,21
14,020	0,30	0,15	0,21
14,040	0,31	0,16	0,32
14,060	0,31	0,17	0,33
14,080	0,31	0,17	0,11
14,100	0,32	0,17	0,10
14,120	0,32	0,18	0,21
14,140	0,33	0,18	0,21
14,160	0,33	0,18	0,23
14,180	0,33	0,19	0,01
14,200	0,34	0,18	-0,12
14,220	0,34	0,18	0,11
14,240	0,34	0,19	0,11
14,260	0,35	0,19	-1,75E-13
14,280	0,35	0,19	2,44E-13
14,300	0,36	0,19	0,01
14,320	0,36	0,19	-0,10
14,340	0,36	0,19	-0,22
14,360	0,37	0,18	-0,11
14,380	0,37	0,18	-0,10
14,400	0,37	0,18	-0,21
14,420	0,38	0,17	-0,21
14,440	0,38	0,17	-0,21
14,460	0,38	0,16	-0,21
14,480	0,39	0,16	-0,32
14,500	0,39	0,15	-0,33
14,520	0,39	0,15	-0,21
14,540	0,40	0,14	-0,32
14,560	0,40	0,13	-0,43
14,580	0,40	0,13	-0,43
14,600	0,40	0,12	-0,44
14,620	0,41	0,11	-0,32
14,640	0,41	0,10	-0,32
14,660	0,41	0,10	-0,44
14,680	0,41	0,09	-0,32
14,700	0,41	0,08	-0,42
14,720	0,42	0,07	-0,54
14,740	0,42	0,06	-0,43
14,760	0,42	0,05	-0,43
14,780	0,42	0,04	-0,43
14,800	0,42	0,03	-0,43
14,820	0,42	0,03	-0,42
14,840	0,42	0,02	-0,53
14,860	0,42	0,01	-0,65
14,880	0,42	-0,01	-0,55
14,900	0,42	-0,02	-0,32
14,920	0,42	-0,02	-0,42
14,940	0,42	-0,03	-0,55
14,960	0,42	-0,04	-0,32
14,980	0,42	-0,05	-0,42
15,000	0,42	-0,06	-0,54
15,020	0,42	-0,07	-0,42
15,040	0,41	-0,08	-0,54
15,060	0,41	-0,09	-0,44
15,080	0,41	-0,09	-0,21
15,100	0,41	-0,10	-0,32
15,120	0,41	-0,11	-0,43
15,140	0,40	-0,12	-0,43
15,160	0,40	-0,12	-0,44
15,180	0,40	-0,13	-0,33
15,200	0,40	-0,14	-0,21
15,220	0,39	-0,14	-0,32
15,240	0,39	-0,15	-0,33
15,260	0,39	-0,15	-0,22
15,280	0,38	-0,16	-0,22
15,300	0,38	-0,16	-0,22
15,320	0,38	-0,17	-0,22
15,340	0,37	-0,17	-0,22
15,360	0,37	-0,18	-0,11
15,380	0,37	-0,18	0,01
15,400	0,36	-0,18	-0,22
15,420	0,36	-0,18	-0,23
15,440	0,36	-0,19	0,11
15,460	0,35	-0,18	0,12
15,480	0,35	-0,18	-0,11
15,500	0,35	-0,18	-0,12
15,520	0,34	-0,19	0,10
15,540	0,34	-0,18	0,22
15,560	0,33	-0,18	0,11
15,580	0,33	-0,18	-0,01
15,600	0,33	-0,18	0,10
15,620	0,32	-0,17	0,22
15,640	0,32	-0,17	0,22
15,660	0,32	-0,16	0,22
15,680	0,31	-0,16	0,22
15,700	0,31	-0,16	0,21
15,720	0,31	-0,15	0,32
15,740	0,31	-0,14	0,33
15,760	0,30	-0,14	0,21
15,780	0,30	-0,13	0,32
15,800	0,30	-0,13	0,44
15,820	0,29	-0,12	0,32
