Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,640	0,28	-0,13	0,54
3,660	0,27	-0,12	0,54
3,680	0,27	-0,11	0,43
3,700	0,27	-0,10	0,54
3,720	0,27	-0,09	0,54
3,740	0,27	-0,08	0,53
3,760	0,26	-0,07	0,65
3,780	0,26	-0,06	0,54
3,800	0,26	-0,05	0,43
3,820	0,26	-0,04	0,53
3,840	0,26	-0,03	0,65
3,860	0,26	-0,01	0,65
3,880	0,26	-4,88E-4	0,64
3,900	0,26	0,01	0,65
3,920	0,26	0,03	0,54
3,940	0,26	0,03	0,53
3,960	0,26	0,05	0,65
3,980	0,26	0,06	0,54
4,000	0,26	0,07	0,54
4,020	0,27	0,08	0,54
4,040	0,27	0,09	0,43
4,060	0,27	0,10	0,53
4,080	0,27	0,11	0,65
4,100	0,27	0,12	0,43
4,120	0,28	0,13	0,43
4,140	0,28	0,14	0,55
4,160	0,28	0,15	0,32
4,180	0,28	0,15	0,43
4,200	0,29	0,17	0,55
4,220	0,29	0,18	0,32
4,240	0,30	0,18	0,32
4,260	0,30	0,19	0,44
4,280	0,30	0,20	0,22
4,300	0,31	0,20	0,10
4,320	0,31	0,20	0,32
4,340	0,31	0,21	0,33
4,360	0,32	0,21	0,11
4,380	0,32	0,21	0,10
4,400	0,33	0,22	0,22
4,420	0,33	0,22	0,11
4,440	0,34	0,22	-4,07E-13
4,460	0,34	0,22	-3,38E-13
4,480	0,35	0,22	3,73E-13
4,500	0,35	0,22	3,73E-13
4,520	0,35	0,22	0,01
4,540	0,36	0,22	-0,11
4,560	0,36	0,22	-0,11
4,580	0,37	0,22	-0,10
4,600	0,37	0,22	-0,21
4,620	0,38	0,21	-0,21
4,640	0,38	0,21	-0,22
4,660	0,38	0,20	-0,10
4,680	0,39	0,20	-0,20
4,700	0,39	0,19	-0,43
4,720	0,40	0,19	-0,43
4,740	0,40	0,18	-0,43
4,760	0,40	0,17	-0,44
4,780	0,41	0,16	-0,32
4,800	0,41	0,16	-0,32
4,820	0,41	0,15	-0,44
