Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,050	0,000			0,0000			0,050	0,000			0,0000		
0,100	0,002	0,016		3,7500E-5	3,750E-4		0,100	0,000	0,000		0,0000	0,000	
0,150	0,002	0,000	0,314	3,7500E-5	0,000	0,008	0,150	0,000	0,000	0,000	0,0000	0,000	0,000
0,200	0,002	0,047	2,513	3,7500E-5	0,001	0,060	0,200	0,000	0,000	0,000	0,0000	0,000	0,000
0,250	0,006	0,251	6,126	1,5000E-4	0,006	0,146	0,250	0,000	0,000	0,000	0,0000	0,000	0,000
0,300	0,027	0,660	9,268	6,3750E-4	0,016	0,221	0,300	0,000	0,000	0,000	0,0000	0,000	0,000
0,350	0,072	1,178	10,210	0,0017	0,028	0,244	0,350	0,000	0,000	0,000	0,0000	0,000	0,000
0,400	0,145	1,681	13,823	0,0035	0,040	0,330	0,400	0,000	0,000	0,000	0,0000	0,000	0,000
0,450	0,240	2,560	32,358	0,0057	0,061	0,772	0,450	0,000	0,000	0,000	0,0000	0,000	0,000
0,500	0,401	4,917	66,288	0,0096	0,117	1,582	0,500	0,000	0,000	0,000	0,0000	0,000	0,000
0,550	0,732	9,189	97,704	0,0175	0,219	2,332	0,550	0,000	0,000	0,000	0,0000	0,000	0,000
0,600	1,319	14,687	114,511	0,0315	0,351	2,734	0,600	0,000	0,000	0,000	0,0000	0,000	0,000
0,650	2,201	20,640	112,783	0,0525	0,493	2,692	0,650	0,000	0,000	0,000	0,0000	0,000	0,000
0,700	3,383	25,965	92,520	0,0808	0,620	2,209	0,700	0,000	0,000	0,000	0,0000	0,000	0,000
0,750	4,797	29,892	58,120	0,1145	0,714	1,388	0,750	0,000	0,000	0,000	0,0000	0,000	0,000
0,800	6,373	31,777	11,781	0,1521	0,759	0,281	0,800	0,000	0,000	0,000	0,0000	0,000	0,000
0,850	7,975	31,070	-29,688	0,1904	0,742	-0,709	0,850	0,000	0,000	0,000	0,0000	0,000	0,000
0,900	9,480	28,808	-62,047	0,2263	0,688	-1,481	0,900	0,000	0,000	0,000	0,0000	0,000	0,000
0,950	10,856	24,866	-97,232	0,2592	0,594	-2,321	0,950	0,000	0,000	0,000	0,0000	0,000	0,000
1,000	11,966	19,085	-102,416	0,2857	0,456	-2,445	1,000	0,000	0,000	0,000	0,0000	0,000	0,000
1,050	12,764	14,624	-74,927	0,3047	0,349	-1,789	1,050	0,000	0,000	0,000	0,0000	0,000	0,000
1,100	13,429	11,592	-67,230	0,3206	0,277	-1,605	1,100	0,000	0,000	0,000	0,0000	0,000	0,000
1,150	13,924	7,901	-58,434	0,3324	0,189	-1,395	1,150	0,000	0,000	5,812	0,0000	0,000	0,139
1,200	14,219	5,749	-20,420	0,3395	0,137	-0,487	1,200	0,000	0,581	30,631	0,0000	0,014	0,731
1,250	14,498	5,859	-24,347	0,3461	0,140	-0,581	1,250	0,058	3,063	72,571	0,0014	0,073	1,733
1,300	14,805	3,314	-62,204	0,3534	0,079	-1,485	1,300	0,306	7,838	103,987	0,0073	0,187	2,482
1,350	14,830	-0,361	-36,757	0,3540	-0,009	-0,877	1,350	0,842	13,462	99,589	0,0201	0,321	2,377
1,400	14,769	-0,361	6,126	0,3526	-0,009	0,146	1,400	1,652	17,797	73,513	0,0395	0,425	1,755
1,450	14,794	0,251	4,712	0,3532	0,006	0,112	1,450	2,622	20,813	59,847	0,0626	0,497	1,429
1,500	14,794	0,110	-2,042	0,3532	0,003	-0,049	1,500	3,734	23,782	57,648	0,0891	0,568	1,376
1,550	14,805	0,047	-1,257	0,3534	0,001	-0,030	1,550	5,000	26,578	49,166	0,1194	0,634	1,174
1,600	14,798	-0,016	1,257	0,3533	-3,750E-4	0,030	1,600	6,392	28,698	31,102	0,1526	0,685	0,742
1,650	14,803	0,173	0,942	0,3534	0,004	0,022	1,650	7,870	29,688	5,812	0,1879	0,709	0,139
1,700	14,816	0,079	-2,199	0,3537	0,002	-0,053	1,700	9,360	29,280	-21,049	0,2235	0,699	-0,502
1,750	14,811	-0,047	-0,157	0,3536	-0,001	-0,004	1,750	10,798	27,583	-46,653	0,2578	0,659	-1,114
1,800	14,811	0,063	1,100	0,3536	0,001	0,026	1,800	12,119	24,614	-69,272	0,2893	0,588	-1,654
1,850	14,817	0,063	2,985	0,3537	0,001	0,071	1,850	13,259	20,656	-93,305	0,3165	0,493	-2,227
1,900	14,817	0,361	5,498	0,3537	0,009	0,131	1,900	14,184	15,284	-155,666	0,3386	0,365	-3,716
1,950	14,853	0,613	-9,739	0,3546	0,015	-0,233	1,950	14,787	5,089	-193,208	0,3530	0,122	-4,612
2,000	14,879	-0,613	-43,040	0,3552	-0,015	-1,028	2,000	14,693	-4,037	-88,436	0,3508	-0,096	-2,111
2,050	14,792	-3,691	-86,708	0,3531	-0,088	-2,070	2,050	14,384	-3,754	64,717	0,3434	-0,090	1,545
2,100	14,509	-9,283	-128,177	0,3464	-0,222	-3,060	2,100	14,318	2,435	113,726	0,3418	0,058	2,715
2,150	13,864	-16,509	-141,372	0,3310	-0,394	-3,375	2,150	14,627	7,618	8,639	0,3492	0,182	0,206
2,200	12,859	-23,421	-130,533	0,3070	-0,559	-3,116	2,200	15,080	3,299	-113,097	0,3600	0,079	-2,700
2,250	11,522	-29,562	-112,312	0,2751	-0,706	-2,681	2,250	14,957	-3,691	-44,139	0,3571	-0,088	-1,054
2,300	9,902	-34,652	-89,221	0,2364	-0,827	-2,130	2,300	14,711	-1,115	58,905	0,3512	-0,027	1,406
2,350	8,057	-38,485	-65,816	0,1923	-0,919	-1,571	2,350	14,846	2,199	13,823	0,3544	0,052	0,330
2,400	6,054	-41,233	-43,982	0,1445	-0,984	-1,050	2,400	14,930	0,267	-30,945	0,3564	0,006	-0,739
2,450	3,933	-42,883	-19,164	0,0939	-1,024	-0,458	2,450	14,872	-0,895	-6,912	0,3550	-0,021	-0,165
2,500	1,766	-43,150	6,754	0,0421	-1,030	0,161	2,500	14,841	-0,424	6,754	0,3543	-0,010	0,161
2,550	-0,382	-42,207	30,945	-0,0091	-1,008	0,739	2,550	14,830	-0,220	0,471	0,3540	-0,005	0,011
2,600	-2,455	-40,055	54,821	-0,0586	-0,956	1,309	2,600	14,819	-0,377	-0,628	0,3538	-0,009	-0,015
2,650	-4,387	-36,725	76,027	-0,1047	-0,877	1,815	2,650	14,792	-0,283	4,869	0,3531	-0,007	0,116
2,700	-6,128	-32,453	94,248	-0,1463	-0,775	2,250	2,700	14,791	0,110	5,655	0,3531	0,003	0,135
2,750	-7,633	-27,300	110,427	-0,1822	-0,652	2,636	2,750	14,803	0,283	0,942	0,3534	0,007	0,023
2,800	-8,858	-21,410	122,679	-0,2115	-0,511	2,929	2,800	14,819	0,204	-1,728	0,3538	0,005	-0,041
