Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
2,850	-9,774	-15,033	130,219	-0,2333	-0,359	3,109	2,850	14,824	0,110	-1,100	0,3539	0,003	-0,026
2,900	-10,361	-8,388	133,204	-0,2474	-0,200	3,180	2,900	14,830	0,094	0,314	0,3540	0,002	0,007
2,950	-10,612	-1,712	130,062	-0,2534	-0,041	3,105	2,950	14,833	0,141	1,100	0,3541	0,003	0,026
3,000	-10,532	4,618	121,580	-0,2514	0,110	2,903	3,000	14,844	0,204	0,785	0,3544	0,005	0,019
3,050	-10,150	10,446	111,841	-0,2423	0,249	2,670	3,050	14,853	0,220	-0,942	0,3546	0,005	-0,022
3,100	-9,488	15,802	100,845	-0,2265	0,377	2,407	3,100	14,866	0,110	-2,827	0,3549	0,003	-0,068
3,150	-8,570	20,530	86,865	-0,2046	0,490	2,074	3,150	14,864	-0,063	-1,571	0,3549	-0,002	-0,038
3,200	-7,435	24,489	70,215	-0,1775	0,585	1,676	3,200	14,860	-0,047	1,100	0,3547	-0,001	0,026
3,250	-6,121	27,552	52,936	-0,1461	0,658	1,264	3,250	14,860	0,047	1,728	0,3547	0,001	0,041
3,300	-4,679	29,782	36,443	-0,1117	0,711	0,870	3,300	14,864	0,126	-2,356	0,3549	0,003	-0,056
3,350	-3,143	31,196	18,064	-0,0750	0,745	0,431	3,350	14,872	-0,188	-15,237	0,3550	-0,005	-0,364
3,400	-1,560	31,589	-2,827	-0,0372	0,754	-0,067	3,400	14,846	-1,398	-51,836	0,3544	-0,033	-1,237
3,450	0,016	30,913	-22,305	3,7500E-4	0,738	-0,533	3,450	14,733	-5,372	-108,228	0,3517	-0,128	-2,584
3,500	1,532	29,358	-37,856	0,0366	0,701	-0,904	3,500	14,308	-12,221	-140,901	0,3416	-0,292	-3,364
3,550	2,952	27,128	-51,365	0,0705	0,648	-1,226	3,550	13,510	-19,462	-138,858	0,3225	-0,465	-3,315
3,600	4,244	24,222	-64,560	0,1013	0,578	-1,541	3,600	12,362	-26,107	-124,721	0,2951	-0,623	-2,977
3,650	5,374	20,672	-75,870	0,1283	0,493	-1,811	3,650	10,900	-31,934	-104,772	0,2602	-0,762	-2,501
3,700	6,311	16,635	-84,509	0,1507	0,397	-2,017	3,700	9,169	-36,584	-80,582	0,2189	-0,873	-1,924
3,750	7,037	12,221	-90,321	0,1680	0,292	-2,156	3,750	7,241	-39,993	-57,805	0,1729	-0,955	-1,380
3,800	7,534	7,603	-92,520	0,1798	0,181	-2,209	3,800	5,169	-42,364	-34,872	0,1234	-1,011	-0,832
3,850	7,797	2,969	-91,420	0,1861	0,071	-2,182	3,850	3,005	-43,480	-8,482	0,0717	-1,038	-0,202
3,900	7,830	-1,539	-87,493	0,1869	-0,037	-2,089	3,900	0,822	-43,213	17,279	0,0196	-1,032	0,412
3,950	7,644	-5,781	-81,210	0,1825	-0,138	-1,939	3,950	-1,316	-41,752	41,626	-0,0314	-0,997	0,994
4,000	7,252	-9,660	-73,985	0,1731	-0,231	-1,766	4,000	-3,354	-39,050	65,973	-0,0801	-0,932	1,575
4,050	6,677	-13,179	-65,973	0,1594	-0,315	-1,575	4,050	-5,221	-35,154	87,336	-0,1247	-0,839	2,085
4,100	5,934	-16,258	-56,235	0,1417	-0,388	-1,343	4,100	-6,869	-30,316	104,929	-0,1640	-0,724	2,505
4,150	5,052	-18,802	-45,553	0,1206	-0,449	-1,088	4,150	-8,253	-24,662	118,909	-0,1970	-0,589	2,839
4,200	4,054	-20,813	-33,458	0,0968	-0,497	-0,799	4,200	-9,335	-18,425	128,491	-0,2229	-0,440	3,068
4,250	2,970	-22,148	-19,478	0,0709	-0,529	-0,465	4,250	-10,096	-11,812	133,518	-0,2410	-0,282	3,188
4,300	1,839	-22,761	-5,655	0,0439	-0,543	-0,135	4,300	-10,516	-5,074	132,261	-0,2511	-0,121	3,158
4,350	0,694	-22,714	7,226	0,0166	-0,542	0,172	4,350	-10,603	1,414	125,035	-0,2531	0,034	2,985
4,400	-0,432	-22,038	19,949	-0,0103	-0,526	0,476	4,400	-10,375	7,430	115,297	-0,2477	0,177	2,753
4,450	-1,510	-20,719	32,358	-0,0360	-0,495	0,773	4,450	-9,860	12,943	105,086	-0,2354	0,309	2,509
4,500	-2,504	-18,802	43,197	-0,0598	-0,449	1,031	4,500	-9,081	17,939	92,991	-0,2168	0,428	2,220
4,550	-3,390	-16,399	52,308	-0,0809	-0,392	1,249	4,550	-8,066	22,242	77,283	-0,1926	0,531	1,845
4,600	-4,144	-13,572	59,690	-0,0989	-0,324	1,425	4,600	-6,857	25,667	60,319	-0,1637	0,613	1,440
4,650	-4,747	-10,430	64,874	-0,1133	-0,249	1,549	4,650	-5,499	28,274	44,611	-0,1313	0,675	1,065
4,700	-5,187	-7,084	67,858	-0,1238	-0,169	1,620	4,700	-4,029	30,128	27,646	-0,0962	0,719	0,660
4,750	-5,455	-3,644	68,487	-0,1302	-0,087	1,635	4,750	-2,487	31,039	7,540	-0,0594	0,741	0,180
4,800	-5,551	-0,236	66,131	-0,1325	-0,006	1,579	4,800	-0,925	30,882	-12,881	-0,0221	0,737	-0,307
4,850	-5,479	2,969	61,575	-0,1308	0,071	1,470	4,850	0,602	29,751	-29,531	0,0144	0,710	-0,705
4,900	-5,254	5,922	56,392	-0,1254	0,141	1,346	4,900	2,050	27,929	-43,197	0,0489	0,667	-1,031
4,950	-4,887	8,608	50,266	-0,1167	0,206	1,200	4,950	3,394	25,431	-56,706	0,0810	0,607	-1,354
5,000	-4,394	10,948	43,197	-0,1049	0,261	1,031	5,000	4,593	22,258	-68,958	0,1096	0,531	-1,646
5,050	-3,792	12,928	35,343	-0,0905	0,309	0,844	5,050	5,620	18,535	-79,011	0,1342	0,442	-1,886
5,100	-3,101	14,483	26,075	-0,0740	0,346	0,623	5,100	6,447	14,357	-86,237	0,1539	0,343	-2,059
5,150	-2,344	15,535	16,179	-0,0559	0,371	0,386	5,150	7,056	9,912	-90,321	0,1684	0,237	-2,156
5,200	-1,547	16,101	6,126	-0,0369	0,384	0,146	5,200	7,438	5,325	-91,106	0,1776	0,127	-2,175
5,250	-0,734	16,148	-4,241	-0,0175	0,385	-0,101	5,250	7,589	0,801	-88,279	0,1812	0,019	-2,107
5,300	0,068	15,677	-13,823	0,0016	0,374	-0,330	5,300	7,518	-3,503	-83,095	0,1795	-0,084	-1,984
5,350	0,834	14,765	-22,148	0,0199	0,353	-0,529	5,350	7,238	-7,508	-76,655	0,1728	-0,179	-1,830
5,400	1,544	13,462	-29,060	0,0369	0,321	-0,694	5,400	6,767	-11,168	-69,272	0,1615	-0,267	-1,654
5,450	2,180	11,860	-35,029	0,0521	0,283	-0,836	5,450	6,121	-14,436	-60,790	0,1461	-0,345	-1,451
5,500	2,730	9,959	-40,369	0,0652	0,238	-0,964	5,500	5,323	-17,247	-50,737	0,1271	-0,412	-1,211
5,550	3,176	7,823	-43,982	0,0758	0,187	-1,050	5,550	4,397	-19,509	-39,270	0,1050	-0,466	-0,938
5,600	3,512	5,561	-46,496	0,0839	0,133	-1,110	5,600	3,373	-21,174	-26,389	0,0805	-0,506	-0,630
5,650	3,732	3,173	-47,595	0,0891	0,076	-1,136	5,650	2,279	-22,148	-12,566	0,0544	-0,529	-0,300
5,700	3,830	0,801	-45,867	0,0914	0,019	-1,095	5,700	1,158	-22,431	0,471	0,0276	-0,536	0,011
5,750	3,812	-1,414	-42,569	0,0910	-0,034	-1,016	5,750	0,036	-22,101	13,195	8,6250E-4	-0,528	0,315
5,800	3,688	-3,456	-38,956	0,0881	-0,082	-0,930	5,800	-1,052	-21,112	25,447	-0,0251	-0,504	0,608
5,850	3,467	-5,309	-35,029	0,0828	-0,127	-0,836	5,850	-2,075	-19,556	36,757	-0,0495	-0,467	0,877
5,900	3,157	-6,959	-30,631	0,0754	-0,166	-0,731	5,900	-3,008	-17,436	47,124	-0,0718	-0,416	1,125
5,950	2,771	-8,372	-25,604	0,0662	-0,200	-0,611	5,950	-3,819	-14,844	55,292	-0,0912	-0,354	1,320
6,000	2,320	-9,519	-19,792	0,0554	-0,227	-0,472	6,000	-4,492	-11,907	61,261	-0,1073	-0,284	1,463
6,050	1,819	-10,352	-13,195	0,0434	-0,247	-0,315	6,050	-5,009	-8,718	65,031	-0,1196	-0,208	1,553
6,100	1,285	-10,839	-6,440	0,0307	-0,259	-0,154	6,100	-5,364	-5,404	67,073	-0,1281	-0,129	1,601
6,150	0,735	-10,996	0,157	0,0176	-0,263	0,004	6,150	-5,550	-2,011	66,602	-0,1325	-0,048	1,590
6,200	0,185	-10,823	6,597	0,0044	-0,258	0,158	6,200	-5,565	1,257	62,989	-0,1329	0,030	1,504
6,250	-0,347	-10,336	12,881	-0,0083	-0,247	0,308	6,250	-5,424	4,288	57,962	-0,1295	0,102	1,384
6,300	-0,848	-9,535	18,692	-0,0202	-0,228	0,446	6,300	-5,137	7,053	52,465	-0,1226	0,168	1,253
6,350	-1,301	-8,467	23,405	-0,0310	-0,202	0,559	6,350	-4,719	9,535	46,181	-0,1127	0,228	1,103
6,400	-1,695	-7,194	27,175	-0,0405	-0,172	0,649	6,400	-4,183	11,671	38,642	-0,0999	0,279	0,923
6,450	-2,020	-5,749	29,845	-0,0482	-0,137	0,713	6,450	-3,552	13,399	30,631	-0,0848	0,320	0,731
6,500	-2,270	-4,210	31,887	-0,0542	-0,100	0,761	6,500	-2,843	14,734	21,206	-0,0679	0,352	0,506
6,550	-2,441	-2,560	32,987	-0,0583	-0,061	0,787	6,550	-2,078	15,519	10,681	-0,0496	0,370	0,255
6,600	-2,526	-0,911	31,730	-0,0603	-0,022	0,758	6,600	-1,291	15,802	1,257	-0,0308	0,377	0,030
6,650	-2,532	0,613	29,060	-0,0604	0,015	0,694	6,650	-0,498	15,645	-8,168	-0,0119	0,374	-0,195
6,700	-2,465	1,995	26,075	-0,0588	0,048	0,622	6,700	0,273	14,985	-17,436	0,0065	0,358	-0,416
6,750	-2,333	3,220	23,248	-0,0557	0,077	0,555	6,750	1,001	13,902	-24,976	0,0239	0,332	-0,596
6,800	-2,143	4,320	20,263	-0,0511	0,103	0,484	6,800	1,663	12,488	-31,102	0,0397	0,298	-0,743
6,850	-1,901	5,246	16,808	-0,0454	0,125	0,401	6,850	2,249	10,791	-36,600	0,0537	0,258	-0,874
6,900	-1,618	6,000	13,195	-0,0386	0,143	0,315	6,900	2,743	8,828	-41,312	0,0655	0,211	-0,986
6,950	-1,301	6,566	8,954	-0,0310	0,157	0,214	6,950	3,132	6,660	-44,611	0,0748	0,159	-1,065
7,000	-0,961	6,896	4,555	-0,0229	0,165	0,109	7,000	3,409	4,367	-46,181	0,0814	0,104	-1,103
7,050	-0,611	7,021	0,314	-0,0146	0,168	0,007	7,050	3,569	2,042	-46,024	0,0852	0,049	-1,099
7,100	-0,259	6,927	-3,927	-0,0062	0,165	-0,094	7,100	3,613	-0,236	-43,825	0,0862	-0,006	-1,046
7,150	0,082	6,629	-7,854	0,0020	0,158	-0,187	7,150	3,545	-2,340	-40,055	0,0846	-0,056	-0,956
7,200	0,404	6,142	-11,467	0,0096	0,147	-0,274	7,200	3,379	-4,241	-36,285	0,0807	-0,101	-0,866
7,250	0,696	5,482	-14,608	0,0166	0,131	-0,349	7,250	3,121	-5,969	-32,358	0,0745	-0,142	-0,772
7,300	0,952	4,681	-17,279	0,0227	0,112	-0,413	7,300	2,782	-7,477	-27,646	0,0664	-0,178	-0,660
7,350	1,164	3,754	-19,164	0,0278	0,090	-0,457	7,350	2,373	-8,734	-22,305	0,0567	-0,209	-0,533
7,400	1,327	2,765	-20,263	0,0317	0,066	-0,484	7,400	1,909	-9,708	-16,336	0,0456	-0,232	-0,390
7,450	1,440	1,728	-20,892	0,0344	0,041	-0,499	7,450	1,403	-10,367	-9,739	0,0335	-0,248	-0,232
7,500	1,500	0,675	-19,949	0,0358	0,016	-0,476	7,500	0,872	-10,681	-2,985	0,0208	-0,255	-0,071
7,550	1,508	-0,267	-17,279	0,0360	-0,006	-0,412	7,550	0,335	-10,666	3,299	0,0080	-0,255	0,079
7,600	1,473	-1,052	-15,080	0,0352	-0,025	-0,360	7,600	-0,195	-10,352	9,425	-0,0047	-0,247	0,225
7,650	1,403	-1,775	-13,509	0,0335	-0,042	-0,323	7,650	-0,701	-9,723	15,394	-0,0167	-0,232	0,368
7,700	1,296	-2,403	-11,624	0,0309	-0,057	-0,278	7,700	-1,167	-8,812	20,577	-0,0279	-0,210	0,491
7,750	1,162	-2,937	-9,739	0,0278	-0,070	-0,232	7,750	-1,582	-7,665	24,819	-0,0378	-0,183	0,593
7,800	1,002	-3,377	-7,383	0,0239	-0,081	-0,176	7,800	-1,934	-6,330	27,960	-0,0462	-0,151	0,667
7,850	0,825	-3,676	-5,027	0,0197	-0,088	-0,120	7,850	-2,215	-4,869	30,316	-0,0529	-0,116	0,724
7,900	0,635	-3,880	-2,827	0,0152	-0,093	-0,068	7,900	-2,421	-3,299	31,887	-0,0578	-0,079	0,761
7,950	0,437	-3,958	-0,157	0,0104	-0,095	-0,004	7,950	-2,545	-1,681	31,730	-0,0608	-0,040	0,758
8,000	0,239	-3,896	2,513	0,0057	-0,093	0,060	8,000	-2,589	-0,126	29,688	-0,0618	-0,003	0,709
8,050	0,047	-3,707	4,555	0,0011	-0,089	0,109	8,050	-2,557	1,288	26,861	-0,0611	0,031	0,641
8,100	-0,132	-3,440	6,283	-0,0031	-0,082	0,150	8,100	-2,460	2,560	24,033	-0,0587	0,061	0,574
8,150	-0,297	-3,079	8,325	-0,0071	-0,073	0,199	8,150	-2,301	3,691	21,206	-0,0549	0,088	0,506
8,200	-0,440	-2,608	10,053	-0,0105	-0,062	0,240	8,200	-2,091	4,681	18,064	-0,0499	0,112	0,431
8,250	-0,558	-2,073	10,996	-0,0133	-0,050	0,262	8,250	-1,833	5,498	14,294	-0,0438	0,131	0,341
8,300	-0,647	-1,508	11,467	-0,0154	-0,036	0,274	8,300	-1,541	6,110	10,524	-0,0368	0,146	0,251
8,350	-0,708	-0,927	11,781	-0,0169	-0,022	0,281	8,350	-1,222	6,550	6,597	-0,0292	0,156	0,157
8,400	-0,740	-0,330	10,839	-0,0177	-0,008	0,259	8,400	-0,886	6,770	2,199	-0,0212	0,162	0,052
8,450	-0,741	0,157	8,482	-0,0177	0,004	0,202	8,450	-0,545	6,770	-1,885	-0,0130	0,162	-0,045
8,500	-0,724	0,518	6,597	-0,0173	0,012	0,158	8,500	-0,209	6,582	-5,655	-0,0050	0,157	-0,135
8,550	-0,690	0,817	5,498	-0,0165	0,020	0,131	8,550	0,113	6,205	-9,425	0,0027	0,148	-0,225
8,600	-0,642	1,068	4,555	-0,0153	0,026	0,109	8,600	0,412	5,639	-12,881	0,0098	0,135	-0,307
8,650	-0,583	1,272	3,299	-0,0139	0,030	0,079	8,650	0,677	4,917	-15,551	0,0162	0,117	-0,371
8,700	-0,515	1,398	2,356	-0,0123	0,033	0,056	8,700	0,903	4,084	-17,593	0,0216	0,098	-0,420
8,750	-0,443	1,508	1,728	-0,0106	0,036	0,041	8,750	1,085	3,157	-19,321	0,0259	0,075	-0,461
8,800	-0,364	1,571	0,628	-0,0087	0,038	0,015	8,800	1,219	2,152	-20,263	0,0291	0,051	-0,484
8,850	-0,286	1,571	-0,314	-0,0068	0,038	-0,008	8,850	1,301	1,131	-19,949	0,0310	0,027	-0,476
8,900	-0,207	1,539	-1,257	-0,0049	0,037	-0,030	8,900	1,332	0,157	-18,064	0,0318	0,004	-0,431
8,950	-0,132	1,445	-2,356	-0,0031	0,035	-0,056	8,950	1,316	-0,675	-15,394	0,0314	-0,016	-0,368
9,000	-0,063	1,304	-2,985	-0,0015	0,031	-0,071	9,000	1,264	-1,382	-13,509	0,0302	-0,033	-0,322
9,050	-0,002	1,147	-3,613	-3,7500E-5	0,027	-0,086	9,050	1,178	-2,026	-12,095	0,0281	-0,048	-0,289
9,100	0,052	0,942	-4,398	0,0012	0,023	-0,105	9,100	1,062	-2,592	-10,210	0,0253	-0,062	-0,244
9,150	0,093	0,707	-4,555	0,0022	0,017	-0,109	9,150	0,919	-3,047	-8,011	0,0219	-0,073	-0,191
9,200	0,123	0,487	-4,555	0,0029	0,012	-0,109	9,200	0,757	-3,393	-5,969	0,0181	-0,081	-0,143
9,250	0,141	0,251	-4,555	0,0034	0,006	-0,109	9,250	0,580	-3,644	-3,770	0,0138	-0,087	-0,090
9,300	0,148	0,031	-3,299	0,0035	7,500E-4	-0,079	9,300	0,393	-3,770	-1,257	0,0094	-0,090	-0,030
9,350	0,145	-0,079	-1,414	0,0035	-0,002	-0,034	9,350	0,203	-3,770	1,257	0,0048	-0,090	0,030
9,400	0,140	-0,110	-0,314	0,0033	-0,003	-0,008	9,400	0,016	-3,644	3,299	3,7500E-4	-0,087	0,079
9,450	0,134	-0,110	0,314	0,0032	-0,003	0,007	9,450	-0,162	-3,440	5,184	-0,0039	-0,082	0,124
9,500	0,129	-0,079	0,785	0,0031	-0,002	0,019	9,500	-0,328	-3,126	7,226	-0,0078	-0,075	0,172
9,550	0,126	-0,031	0,785	0,0030	-7,500E-4	0,019	9,550	-0,474	-2,717	8,639	-0,0113	-0,065	0,206
9,600	0,126	0,000	0,314	0,0030	0,000	0,007	9,600	-0,600	-2,262	9,896	-0,0143	-0,054	0,236
9,650	0,126	0,000	0,000	0,0030	0,000	0,000	9,650	-0,701	-1,728	10,996	-0,0167	-0,041	0,263
9,700	0,126	0,000	0,000	0,0030	0,000	0,000	9,700	-0,773	-1,162	11,310	-0,0185	-0,028	0,270
9,750	0,126	0,000	0,000	0,0030	0,000	0,000	9,750	-0,817	-0,597	10,839	-0,0195	-0,014	0,259
9,800	0,126	0,000	0,000	0,0030	0,000	0,000	9,800	-0,833	-0,079	9,425	-0,0199	-0,002	0,225
9,850	0,126	0,000	0,000	0,0030	0,000	0,000	9,850	-0,825	0,346	7,383	-0,0197	0,008	0,176
9,900	0,126	0,000	0,000	0,0030	0,000	0,000	9,900	-0,798	0,660	5,655	-0,0191	0,016	0,135
9,950	0,126	0,000	0,000	0,0030	0,000	0,000	9,950	-0,759	0,911	4,712	-0,0181	0,022	0,113
10,000	0,126	0,000	0,000	0,0030	0,000	0,000	10,000	-0,707	1,131	3,927	-0,0169	0,027	0,094
10,050	0,126	0,000	0,000	0,0030	0,000	0,000	10,050	-0,646	1,304	2,827	-0,0154	0,031	0,067
10,100	0,126	0,000	0,000	0,0030	0,000	0,000	10,100	-0,576	1,414	1,728	-0,0138	0,034	0,041
10,150	0,126	0,000	0,000	0,0030	0,000	0,000	10,150	-0,504	1,477	0,942	-0,0120	0,035	0,022
10,200	0,126	0,000	0,000	0,0030	0,000	0,000	10,200	-0,429	1,508	-4,441E-15	-0,0102	0,036	-6,939E-17
10,250	0,126	0,000	0,000	0,0030	0,000	0,000	10,250	-0,353	1,477	-1,100	-0,0084	0,035	-0,026
10,300	0,126	0,000	0,000	0,0030	0,000	0,000	10,300	-0,281	1,398	-1,885	-0,0067	0,033	-0,045
10,350	0,126	0,000	0,000	0,0030	0,000	0,000	10,350	-0,214	1,288	-2,513	-0,0051	0,031	-0,060
10,400	0,126	0,000	0,000	0,0030	0,000	0,000	10,400	-0,152	1,147	-3,299	-0,0036	0,027	-0,079
10,450	0,126	0,000	0,000	0,0030	0,000	0,000	10,450	-0,099	0,958	-4,084	-0,0024	0,023	-0,098
10,500	0,126	0,000	0,000	0,0030	0,000	0,000	10,500	-0,057	0,738	-4,398	-0,0014	0,018	-0,105
10,550	0,126	0,000	0,000	0,0030	0,000	0,000	10,550	-0,025	0,518	-4,712	-6,0000E-4	0,012	-0,112
10,600	0,126	0,000	0,000	0,0030	0,000	0,000	10,600	-0,005	0,267	-4,555	-1,1250E-4	0,006	-0,109
10,650	0,126	0,000	0,000	0,0030	0,000	0,000	10,650	0,002	0,063	-2,985	3,7500E-5	0,002	-0,071
10,700	0,126	0,000	0,000	0,0030	0,000	0,000	10,700	0,002	-0,031	-1,414	3,7500E-5	-7,500E-4	-0,034
10,750	0,126	0,000	0,000	0,0030	0,000	0,000	10,750	-0,002	-0,079	-0,628	-3,7500E-5	-0,002	-0,015
10,800	0,126	0,000	0,000	0,0030	0,000	0,000	10,800	-0,006	-0,094	-0,157	-1,5000E-4	-0,002	-0,004
