Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²)
0,050;0,000;;;0,0000;;;0,050;0,000;;;0,0000;;
0,100;-0,013;-0,173;;-3,0000E-4;-0,004;;0,100;0,000;0,000;;0,0000;0,000;
0,150;-0,017;0,141;8,011;-4,1250E-4;0,003;0,191;0,150;0,000;0,000;0,000;0,0000;0,000;0,000
0,200;0,002;0,628;11,310;3,7500E-5;0,015;0,270;0,200;0,000;0,000;0,000;0,0000;0,000;0,000
0,250;0,046;1,272;15,551;0,0011;0,030;0,371;0,250;0,000;0,000;0,000;0,0000;0,000;0,000
0,300;0,129;2,183;19,478;0,0031;0,052;0,465;0,300;0,000;0,000;0,000;0,0000;0,000;0,000
0,350;0,264;3,220;19,321;0,0063;0,077;0,461;0,350;0,000;0,000;0,000;0,0000;0,000;0,000
0,400;0,451;4,115;18,850;0,0108;0,098;0,450;0,400;0,000;0,000;0,000;0,0000;0,000;0,000
0,450;0,675;5,105;29,845;0,0161;0,122;0,712;0,450;0,000;0,000;0,000;0,0000;0,000;0,000
0,500;0,961;7,100;52,622;0,0230;0,169;1,256;0,500;0,000;0,000;0,000;0,0000;0,000;0,000
0,550;1,385;10,367;67,858;0,0331;0,247;1,620;0,550;0,000;0,000;0,000;0,0000;0,000;0,000
0,600;1,998;13,886;63,931;0,0477;0,332;1,526;0,600;0,000;0,000;4,241;0,0000;0,000;0,101
0,650;2,774;16,760;47,124;0,0662;0,400;1,125;0,650;0,000;0,424;16,650;0,0000;0,010;0,398
0,700;3,674;18,598;25,133;0,0877;0,444;0,600;0,700;0,042;1,665;40,369;0,0010;0,040;0,964
0,750;4,634;19,274;2,827;0,1106;0,460;0,067;0,750;0,167;4,461;69,429;0,0040;0,107;1,657
0,800;5,601;18,881;-18,221;0,1337;0,451;-0,435;0,800;0,489;8,608;74,613;0,0117;0,205;1,781
0,850;6,522;17,452;-33,772;0,1557;0,417;-0,806;0,850;1,027;11,922;55,292;0,0245;0,285;1,320
0,900;7,347;15,504;-35,029;0,1754;0,370;-0,836;0,900;1,681;14,137;47,595;0,0401;0,338;1,136
0,950;8,072;13,949;-19,949;0,1927;0,333;-0,476;0,950;2,441;16,682;51,993;0,0583;0,398;1,241
1,000;8,741;13,509;3,299;0,2087;0,323;0,079;1,000;3,349;19,337;46,024;0,0799;0,462;1,099
1,050;9,423;14,279;18,064;0,2250;0,341;0,431;1,050;4,375;21,284;35,500;0,1044;0,508;0,847
1,100;10,169;15,315;12,723;0,2428;0,366;0,304;1,100;5,477;22,887;30,159;0,1308;0,546;0,720
1,150;10,955;15,551;-8,011;0,2615;0,371;-0,191;1,150;6,663;24,300;18,378;0,1591;0,580;0,439
1,200;11,724;14,514;-33,144;0,2799;0,346;-0,791;1,200;7,907;24,724;-7,697;0,1888;0,590;-0,184
1,250;12,406;12,237;-50,894;0,2962;0,292;-1,215;1,250;9,136;23,531;-46,496;0,2181;0,562;-1,110
1,300;12,948;9,425;-48,538;0,3091;0,225;-1,159;1,300;10,260;20,075;-84,980;0,2449;0,479;-2,029
1,350;13,349;7,383;-27,489;0,3187;0,176;-0,656;1,350;11,143;15,033;-105,872;0,2660;0,359;-2,527
1,400;13,686;6,676;-4,241;0,3267;0,159;-0,101;1,400;11,764;9,488;-108,071;0,2808;0,226;-2,580
1,450;14,016;6,959;-2,042;0,3346;0,166;-0,049;1,450;12,092;4,225;-87,336;0,2887;0,101;-2,085
1,500;14,382;6,472;-43,668;0,3433;0,155;-1,042;1,500;12,186;0,754;-31,259;0,2909;0,018;-0,746
1,550;14,663;2,592;-73,513;0,3501;0,062;-1,755;1,550;12,167;1,100;50,894;0,2905;0,026;1,215
1,600;14,641;-0,880;-30,316;0,3495;-0,021;-0,724;1,600;12,296;5,843;104,929;0,2935;0,140;2,505
1,650;14,575;-0,440;11,938;0,3480;-0,010;0,285;1,650;12,752;11,592;83,881;0,3044;0,277;2,002
1,700;14,597;0,314;5,341;0,3485;0,007;0,127;1,700;13,455;14,231;2,827;0,3212;0,340;0,068
1,750;14,607;0,094;-2,513;0,3487;0,002;-0,060;1,750;14,175;11,875;-97,547;0,3384;0,284;-2,329
1,800;14,607;0,063;2,827;0,3487;0,001;0,067;1,800;14,643;4,477;-141,529;0,3496;0,107;-3,379
1,850;14,613;0,377;10,210;0,3489;0,009;0,244;1,850;14,623;-2,278;-77,440;0,3491;-0,054;-1,849
1,900;14,645;1,084;7,697;0,3496;0,026;0,184;1,900;14,415;-3,267;19,635;0,3441;-0,078;0,469
1,950;14,722;1,147;-8,639;0,3514;0,027;-0,206;1,950;14,296;-0,314;69,586;0,3413;-0,008;1,661
2,000;14,759;0,220;-13,823;0,3523;0,005;-0,330;2,000;14,384;3,691;34,872;0,3434;0,088;0,833
2,050;14,744;-0,236;-3,142;0,3520;-0,006;-0,075;2,050;14,665;3,173;-43,668;0,3501;0,076;-1,043
2,100;14,736;-0,094;2,827;0,3518;-0,002;0,067;2,100;14,701;-0,675;-34,086;0,3510;-0,016;-0,814
2,150;14,734;0,047;1,885;0,3517;0,001;0,045;2,150;14,597;-0,236;13,823;0,3485;-0,006;0,330
2,200;14,740;0,094;1,728;0,3519;0,002;0,041;2,200;14,678;0,707;2,513;0,3504;0,017;0,060
2,250;14,744;0,220;2,513;0,3520;0,005;0,060;2,250;14,668;0,016;-5,655;0,3502;3,750E-4;-0,135
2,300;14,762;0,346;-1,571;0,3524;0,008;-0,037;2,300;14,679;0,141;0,314;0,3504;0,003;0,007
2,350;14,778;0,063;-3,142;0,3528;0,002;-0,075;2,350;14,682;0,047;2,513;0,3505;0,001;0,060
2,400;14,769;0,031;-14,137;0,3526;7,500E-4;-0,338;2,400;14,684;0,393;3,299;0,3505;0,009;0,079
2,450;14,781;-1,351;-77,597;0,3529;-0,032;-1,853;2,450;14,722;0,377;-3,299;0,3514;0,009;-0,079
2,500;14,634;-7,728;-145,613;0,3493;-0,185;-3,476;2,500;14,722;0,063;-1,885;0,3514;0,001;-0,045
2,550;14,008;-15,912;-144,985;0,3344;-0,380;-3,461;2,550;14,728;0,188;0,157;0,3516;0,005;0,004
2,600;13,042;-22,227;-117,024;0,3114;-0,531;-2,794;2,600;14,740;0,079;-2,513;0,3519;0,002;-0,060
2,650;11,786;-27,615;-97,075;0,2814;-0,659;-2,318;2,650;14,736;-0,063;-10,681;0,3518;-0,002;-0,255
2,700;10,281;-31,934;-72,571;0,2454;-0,762;-1,733;2,700;14,734;-0,990;-48,695;0,3517;-0,024;-1,163
2,750;8,592;-34,872;-46,181;0,2051;-0,832;-1,102;2,750;14,637;-4,932;-104,144;0,3494;-0,118;-2,486
2,800;6,794;-36,552;-24,662;0,1622;-0,873;-0,589;2,800;14,241;-11,404;-131,162;0,3400;-0,272;-3,131
2,850;4,937;-37,338;-5,812;0,1179;-0,891;-0,139;2,850;13,496;-18,048;-125,350;0,3222;-0,431;-2,992
2,900;3,060;-37,134;15,865;0,0730;-0,886;0,379;2,900;12,436;-23,939;-108,071;0,2969;-0,571;-2,580
2,950;1,224;-35,751;37,228;0,0292;-0,854;0,889;2,950;11,102;-28,856;-86,394;0,2650;-0,689;-2,063
3,000;-0,515;-33,411;53,878;-0,0123;-0,798;1,286;3,000;9,550;-32,578;-60,947;0,2280;-0,778;-1,455
3,050;-2,117;-30,364;67,230;-0,0506;-0,725;1,605;3,050;7,845;-34,950;-36,600;0,1873;-0,834;-0,874
3,100;-3,552;-26,688;79,011;-0,0848;-0,637;1,886;3,100;6,055;-36,238;-17,436;0,1446;-0,865;-0,416
3,150;-4,786;-22,462;87,965;-0,1143;-0,536;2,100;3,150;4,221;-36,694;1,728;0,1008;-0,876;0,041
3,200;-5,798;-17,891;93,934;-0,1384;-0,427;2,243;3,200;2,386;-36,066;23,562;0,0570;-0,861;0,562
3,250;-6,575;-13,069;98,018;-0,1570;-0,312;2,340;3,250;0,614;-34,338;43,040;0,0147;-0,820;1,028
3,300;-7,105;-8,090;98,489;-0,1696;-0,193;2,351;3,300;-1,048;-31,762;58,277;-0,0250;-0,758;1,391
3,350;-7,384;-3,220;93,620;-0,1763;-0,077;2,235;3,350;-2,562;-28,510;71,000;-0,0612;-0,681;1,695
3,400;-7,427;1,272;84,352;-0,1773;0,030;2,014;3,400;-3,899;-24,662;81,367;-0,0931;-0,589;1,942
3,450;-7,257;5,215;73,513;-0,1733;0,125;1,755;3,450;-5,028;-20,373;88,593;-0,1200;-0,486;2,115
3,500;-6,905;8,624;63,303;-0,1649;0,206;1,511;3,500;-5,936;-15,802;93,934;-0,1417;-0,377;2,243
3,550;-6,395;11,545;53,093;-0,1527;0,276;1,267;3,550;-6,608;-10,980;96,761;-0,1578;-0,262;2,310
3,600;-5,751;13,933;42,726;-0,1373;0,333;1,020;3,600;-7,034;-6,126;94,876;-0,1679;-0,146;2,265
3,650;-5,001;15,818;32,358;-0,1194;0,378;0,773;3,650;-7,221;-1,492;88,750;-0,1724;-0,036;2,119
3,700;-4,169;17,169;21,206;-0,0995;0,410;0,506;3,700;-7,183;2,749;79,954;-0,1715;0,066;1,909
3,750;-3,285;17,939;9,896;-0,0784;0,428;0,236;3,750;-6,946;6,503;70,058;-0,1658;0,155;1,673
3,800;-2,375;18,158;-1,728;-0,0567;0,433;-0,041;3,800;-6,533;9,755;59,533;-0,1560;0,233;1,421
3,850;-1,469;17,766;-13,823;-0,0351;0,424;-0,330;3,850;-5,971;12,456;48,852;-0,1425;0,297;1,166
3,900;-0,598;16,776;-24,033;-0,0143;0,400;-0,574;3,900;-5,287;14,640;38,485;-0,1262;0,349;0,919
3,950;0,209;15,362;-31,730;0,0050;0,367;-0,757;3,950;-4,507;16,305;27,489;-0,1076;0,389;0,656
4,000;0,938;13,603;-37,228;0,0224;0,325;-0,889;4,000;-3,657;17,389;16,179;-0,0873;0,415;0,386
4,050;1,569;11,640;-40,369;0,0375;0,278;-0,964;4,050;-2,768;17,923;5,027;-0,0661;0,428;0,120
4,100;2,102;9,566;-43,040;0,0502;0,228;-1,027;4,100;-1,865;17,891;-6,754;-0,0445;0,427;-0,161
4,150;2,526;7,336;-45,239;0,0603;0,175;-1,080;4,150;-0,979;17,247;-18,221;-0,0234;0,412;-0,435
4,200;2,835;5,042;-45,553;0,0677;0,120;-1,088;4,200;-0,140;16,069;-27,489;-0,0033;0,384;-0,656
4,250;3,030;2,780;-44,139;0,0723;0,066;-1,054;4,250;0,628;14,498;-33,929;0,0150;0,346;-0,810
4,300;3,113;0,628;-40,998;0,0743;0,015;-0,979;4,300;1,310;12,676;-38,327;0,0313;0,303;-0,915
4,350;3,093;-1,319;-36,443;0,0738;-0,031;-0,870;4,350;1,896;10,666;-41,469;0,0453;0,255;-0,990
4,400;2,981;-3,016;-31,573;0,0712;-0,072;-0,754;4,400;2,377;8,529;-43,825;0,0567;0,204;-1,046
4,450;2,791;-4,477;-27,018;0,0666;-0,107;-0,645;4,450;2,749;6,283;-45,082;0,0656;0,150;-1,076
4,500;2,534;-5,718;-22,462;0,0605;-0,137;-0,536;4,500;3,005;4,021;-44,768;0,0717;0,096;-1,069
4,550;2,220;-6,723;-17,436;0,0530;-0,161;-0,416;4,550;3,151;1,806;-42,883;0,0752;0,043;-1,024
4,600;1,861;-7,461;-11,938;0,0444;-0,178;-0,285;4,600;3,186;-0,267;-38,956;0,0760;-0,006;-0,930
