Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
4,650;1,473;-7,917;-6,440;0,0352;-0,189;-0,154;4,650;3,124;-2,089;-34,086;0,0746;-0,050;-0,814
4,700;1,070;-8,105;-1,100;0,0255;-0,194;-0,026;4,700;2,977;-3,676;-29,374;0,0711;-0,088;-0,701
4,750;0,663;-8,027;4,084;0,0158;-0,192;0,098;4,750;2,757;-5,027;-24,819;0,0658;-0,120;-0,592
4,800;0,267;-7,697;8,482;0,0064;-0,184;0,202;4,800;2,474;-6,158;-20,106;0,0591;-0,147;-0,480
4,850;-0,107;-7,179;12,095;-0,0026;-0,171;0,289;4,850;2,141;-7,037;-14,923;0,0511;-0,168;-0,356
4,900;-0,451;-6,487;15,394;-0,0108;-0,155;0,368;4,900;1,770;-7,650;-9,425;0,0423;-0,183;-0,225
4,950;-0,756;-5,639;17,907;-0,0180;-0,135;0,428;4,950;1,376;-7,980;-3,927;0,0328;-0,191;-0,094
5,000;-1,015;-4,697;19,635;-0,0242;-0,112;0,469;5,000;0,972;-8,042;1,257;0,0232;-0,192;0,030
5,050;-1,225;-3,676;20,577;-0,0293;-0,088;0,491;5,050;0,572;-7,854;5,812;0,0136;-0,187;0,139
5,100;-1,382;-2,639;20,735;-0,0330;-0,063;0,495;5,100;0,187;-7,461;9,896;0,0045;-0,178;0,236
5,150;-1,489;-1,602;20,420;-0,0356;-0,038;0,487;5,150;-0,174;-6,864;13,823;-0,0042;-0,164;0,330
5,200;-1,543;-0,597;18,535;-0,0368;-0,014;0,443;5,200;-0,500;-6,079;16,650;-0,0119;-0,145;0,398
5,250;-1,549;0,251;15,394;-0,0370;0,006;0,367;5,250;-0,782;-5,199;18,535;-0,0187;-0,124;0,443
5,300;-1,517;0,942;12,566;-0,0362;0,022;0,300;5,300;-1,019;-4,225;20,106;-0,0243;-0,101;0,480
5,350;-1,455;1,508;10,210;-0,0347;0,036;0,244;5,350;-1,205;-3,189;20,735;-0,0288;-0,076;0,495
5,400;-1,367;1,963;8,325;-0,0326;0,047;0,199;5,400;-1,338;-2,152;20,420;-0,0320;-0,051;0,488
5,450;-1,258;2,340;6,597;-0,0300;0,056;0,157;5,450;-1,420;-1,147;19,478;-0,0339;-0,027;0,465
5,500;-1,133;2,623;4,555;-0,0270;0,063;0,109;5,500;-1,453;-0,204;17,279;-0,0347;-0,005;0,412
5,550;-0,996;2,796;2,513;-0,0238;0,067;0,060;5,550;-1,440;0,581;13,980;-0,0344;0,014;0,334
5,600;-0,853;2,875;0,628;-0,0204;0,069;0,015;5,600;-1,395;1,194;11,310;-0,0333;0,029;0,270
5,650;-0,708;2,859;-1,257;-0,0169;0,068;-0,030;5,650;-1,321;1,712;9,268;-0,0315;0,041;0,221
5,700;-0,567;2,749;-2,827;-0,0135;0,066;-0,068;5,700;-1,224;2,121;7,383;-0,0292;0,051;0,176
5,750;-0,434;2,576;-4,084;-0,0104;0,062;-0,098;5,750;-1,109;2,450;5,812;-0,0265;0,058;0,139
5,800;-0,309;2,340;-5,184;-0,0074;0,056;-0,124;5,800;-0,979;2,702;3,770;-0,0234;0,064;0,090
5,850;-0,199;2,058;-5,969;-0,0048;0,049;-0,142;5,850;-0,839;2,827;1,571;-0,0200;0,068;0,038
5,900;-0,104;1,744;-6,597;-0,0025;0,042;-0,157;5,900;-0,696;2,859;-0,314;-0,0166;0,068;-0,007
5,950;-0,025;1,398;-7,069;-6,0000E-4;0,033;-0,169;5,950;-0,553;2,796;-1,885;-0,0132;0,067;-0,045
6,000;0,036;1,037;-7,226;8,6250E-4;0,025;-0,173;6,000;-0,416;2,670;-3,142;-0,0099;0,064;-0,075
6,050;0,079;0,675;-6,912;0,0019;0,016;-0,165;6,050;-0,286;2,482;-4,555;-0,0068;0,059;-0,109
6,100;0,104;0,346;-6,126;0,0025;0,008;-0,146;6,100;-0,168;2,215;-5,655;-0,0040;0,053;-0,135
6,150;0,113;0,063;-4,712;0,0027;0,002;-0,112;6,150;-0,064;1,916;-6,283;-0,0015;0,046;-0,150
6,200;0,110;-0,126;-2,827;0,0026;-0,003;-0,068;6,200;0,024;1,587;-6,754;5,6250E-4;0,038;-0,161
6,250;0,101;-0,220;-1,728;0,0024;-0,005;-0,041;6,250;0,094;1,241;-7,226;0,0022;0,030;-0,173
6,300;0,088;-0,298;-1,414;0,0021;-0,007;-0,034;6,300;0,148;0,864;-7,383;0,0035;0,021;-0,176
6,350;0,071;-0,361;-0,942;0,0017;-0,009;-0,023;6,350;0,181;0,503;-6,597;0,0043;0,012;-0,157
6,400;0,052;-0,393;-0,628;0,0012;-0,009;-0,015;6,400;0,198;0,204;-5,341;0,0047;0,005;-0,127
6,450;0,031;-0,424;-0,314;7,5000E-4;-0,010;-0,007;6,450;0,201;-0,031;-3,770;0,0048;-7,500E-4;-0,090
6,500;0,009;-0,424;0,314;2,2500E-4;-0,010;0,008;6,500;0,195;-0,173;-2,199;0,0046;-0,004;-0,052
6,550;-0,011;-0,393;0,628;-2,6250E-4;-0,009;0,015;6,550;0,184;-0,251;-1,257;0,0044;-0,006;-0,030
6,600;-0,030;-0,361;0,942;-7,1250E-4;-0,009;0,022;6,600;0,170;-0,298;-0,942;0,0040;-0,007;-0,023
6,650;-0,047;-0,298;1,100;-0,0011;-0,007;0,026;6,650;0,154;-0,346;-0,785;0,0037;-0,008;-0,019
6,700;-0,060;-0,251;0,942;-0,0014;-0,006;0,023;6,700;0,135;-0,377;-0,471;0,0032;-0,009;-0,011
6,750;-0,072;-0,204;1,257;-0,0017;-0,005;0,030;6,750;0,116;-0,393;-0,157;0,0028;-0,009;-0,004
6,800;-0,080;-0,126;1,414;-0,0019;-0,003;0,034;6,800;0,096;-0,393;0,314;0,0023;-0,009;0,007
6,850;-0,085;-0,063;0,942;-0,0020;-0,002;0,022;6,850;0,077;-0,361;0,628;0,0018;-0,009;0,015
6,900;-0,086;-0,031;0,471;-0,0021;-7,500E-4;0,011;6,900;0,060;-0,330;0,785;0,0014;-0,008;0,019
6,950;-0,088;-0,016;0,314;-0,0021;-3,750E-4;0,008;6,950;0,044;-0,283;0,785;0,0010;-0,007;0,019
7,000;-0,088;0,000;0,157;-0,0021;0,000;0,004;7,000;0,031;-0,251;0,785;7,5000E-4;-0,006;0,019
7,050;-0,088;0,000;0,000;-0,0021;0,000;0,000;7,050;0,019;-0,204;1,100;4,5000E-4;-0,005;0,026
7,100;-0,088;0,000;0,000;-0,0021;0,000;0,000;7,100;0,011;-0,141;1,100;2,6250E-4;-0,003;0,026
7,150;-0,088;0,000;-0,157;-0,0021;0,000;-0,004;7,150;0,005;-0,094;0,942;1,1250E-4;-0,002;0,023
7,200;-0,088;-0,016;-0,157;-0,0021;-3,750E-4;-0,004;7,200;0,002;-0,047;0,628;3,7500E-5;-0,001;0,015
7,250;-0,090;-0,016;0,157;-0,0021;-3,750E-4;0,004;7,250;-3,003E-15;-0,031;0,314;-2,1570E-16;-7,500E-4;0,008
7,300;-0,090;0,000;0,157;-0,0021;0,000;0,004;7,300;-0,002;-0,016;0,314;-3,7500E-5;-3,750E-4;0,008
7,350;-0,090;0,000;0,000;-0,0021;0,000;0,000;7,350;-0,002;0,000;0,157;-3,7500E-5;0,000;0,004
7,400;-0,090;0,000;0,000;-0,0021;0,000;0,000;7,400;-0,002;0,000;-0,157;-3,7500E-5;0,000;-0,004
7,450;-0,090;0,000;0,000;-0,0021;0,000;0,000;7,450;-0,002;-0,016;-0,157;-3,7500E-5;-3,750E-4;-0,004
7,500;-0,090;0,000;-0,157;-0,0021;0,000;-0,004;7,500;-0,003;-0,016;0,157;-7,5000E-5;-3,750E-4;0,004
7,550;-0,090;-0,016;-0,157;-0,0021;-3,750E-4;-0,004;7,550;-0,003;0,000;-1,388E-15;-7,5000E-5;0,000;-3,361E-17
7,600;-0,091;-0,016;0,157;-0,0022;-3,750E-4;0,004;7,600;-0,003;-0,016;-0,157;-7,5000E-5;-3,750E-4;-0,004
7,650;-0,091;0,000;0,157;-0,0022;0,000;0,004;7,650;-0,005;-0,016;0,157;-1,1250E-4;-3,750E-4;0,004
7,700;-0,091;0,000;0,000;-0,0022;0,000;0,000;7,700;-0,005;0,000;1,388E-15;-1,1250E-4;0,000;3,361E-17
7,750;-0,091;0,000;0,000;-0,0022;0,000;0,000;7,750;-0,005;-0,016;-0,157;-1,1250E-4;-3,750E-4;-0,004
7,800;-0,091;0,000;0,000;-0,0022;0,000;0,000;7,800;-0,006;-0,016;0,157;-1,5000E-4;-3,750E-4;0,004
7,850;-0,091;0,000;0,000;-0,0022;0,000;0,000;7,850;-0,006;0,000;0,157;-1,5000E-4;0,000;0,004
7,900;-0,091;0,000;0,000;-0,0022;0,000;0,000;7,900;-0,006;0,000;-0,157;-1,5000E-4;0,000;-0,004
7,950;-0,091;0,000;;-0,0022;0,000;;7,950;-0,006;-0,016;-0,157;-1,5000E-4;-3,750E-4;-0,004
;;;;;;;8,000;-0,008;-0,016;0,157;-1,8750E-4;-3,750E-4;0,004
;;;;;;;8,050;-0,008;0,000;-1,388E-15;-1,8750E-4;0,000;-3,361E-17
;;;;;;;8,100;-0,008;-0,016;-0,157;-1,8750E-4;-3,750E-4;-0,004
;;;;;;;8,150;-0,009;-0,016;0,157;-2,2500E-4;-3,750E-4;0,004
;;;;;;;8,200;-0,009;0,000;0,157;-2,2500E-4;0,000;0,004
;;;;;;;8,250;-0,009;0,000;;-2,2500E-4;0,000;
