Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
4,550	-1,004	-0,079	6,939E-15	-0,0240	-0,002	1,670E-16
4,600	-1,008	-0,079	6,939E-15	-0,0241	-0,002	1,670E-16
4,650	-1,012	-0,079	-0,157	-0,0242	-0,002	-0,004
4,700	-1,016	-0,094	-0,314	-0,0243	-0,002	-0,008
4,750	-1,021	-0,110	-0,314	-0,0244	-0,003	-0,007
4,800	-1,027	-0,126	-0,314	-0,0245	-0,003	-0,008
4,850	-1,034	-0,141	-0,314	-0,0247	-0,003	-0,008
4,900	-1,041	-0,157	-0,314	-0,0249	-0,004	-0,007
4,950	-1,049	-0,173	-0,314	-0,0251	-0,004	-0,007
5,000	-1,059	-0,188	-0,157	-0,0253	-0,005	-0,004
5,050	-1,068	-0,188	-0,157	-0,0255	-0,004	-0,004
5,100	-1,078	-0,204	-0,314	-0,0257	-0,005	-0,008
5,150	-1,089	-0,220	-0,157	-0,0260	-0,005	-0,004
5,200	-1,100	-0,220	-0,157	-0,0263	-0,005	-0,004
5,250	-1,111	-0,236	-0,471	-0,0265	-0,006	-0,011
5,300	-1,123	-0,267	-0,471	-0,0268	-0,006	-0,011
5,350	-1,137	-0,283	-0,157	-0,0272	-0,007	-0,004
5,400	-1,151	-0,283	-2,498E-14	-0,0275	-0,007	-5,985E-16
5,450	-1,166	-0,283	2,498E-14	-0,0278	-0,007	5,985E-16
5,500	-1,180	-0,283	0,157	-0,0282	-0,007	0,004
5,550	-1,194	-0,267	0,314	-0,0285	-0,006	0,007
5,600	-1,206	-0,251	0,314	-0,0288	-0,006	0,007
5,650	-1,219	-0,236	0,314	-0,0291	-0,006	0,008
5,700	-1,230	-0,220	0,157	-0,0294	-0,005	0,004
5,750	-1,241	-0,220	0,157	-0,0296	-0,005	0,004
5,800	-1,252	-0,204	0,471	-0,0299	-0,005	0,011
5,850	-1,261	-0,173	0,628	-0,0301	-0,004	0,015
5,900	-1,269	-0,141	0,471	-0,0303	-0,003	0,011
5,950	-1,275	-0,126	0,314	-0,0305	-0,003	0,007
6,000	-1,282	-0,110	0,628	-0,0306	-0,003	0,015
6,050	-1,286	-0,063	0,628	-0,0307	-0,002	0,015
6,100	-1,288	-0,047	0,314	-0,0308	-0,001	0,008
6,150	-1,291	-0,031	0,471	-0,0308	-7,500E-4	0,011
6,200	-1,291	0,000	0,314	-0,0308	0,000	0,007
6,250	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,300	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,350	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,400	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,450	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,500	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,550	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,600	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,650	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,700	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,750	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,800	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,850	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,900	-1,291	0,000	0,000	-0,0308	0,000	0,000
6,950	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,000	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,050	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,100	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,150	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,200	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,250	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,300	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,350	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,400	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,450	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,500	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,550	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,600	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,650	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,700	-1,291	0,000	0,000	-0,0308	0,000	0,000
7,750	-1,291	0,000	0,157	-0,0308	0,000	0,004
7,800	-1,291	0,016	0,314	-0,0308	3,750E-4	0,007
7,850	-1,290	0,031	0,157	-0,0308	7,500E-4	0,004
7,900	-1,288	0,031	0,157	-0,0308	7,500E-4	0,004
7,950	-1,286	0,047	0,628	-0,0307	0,001	0,015
8,000	-1,283	0,094	0,942	-0,0306	0,002	0,022
8,050	-1,277	0,141	0,942	-0,0305	0,003	0,022
8,100	-1,269	0,188	0,942	-0,0303	0,005	0,023
8,150	-1,258	0,236	0,785	-0,0300	0,006	0,019
8,200	-1,246	0,267	0,471	-0,0297	0,006	0,011
8,250	-1,232	0,283	0,314	-0,0294	0,007	0,007
8,300	-1,217	0,298	0,471	-0,0291	0,007	0,011
8,350	-1,202	0,330	0,628	-0,0287	0,008	0,015
8,400	-1,184	0,361	0,628	-0,0283	0,009	0,015
8,450	-1,166	0,393	0,785	-0,0278	0,009	0,019
8,500	-1,145	0,440	0,785	-0,0273	0,011	0,019
8,550	-1,122	0,471	0,628	-0,0268	0,011	0,015
8,600	-1,098	0,503	0,785	-0,0262	0,012	0,019
8,650	-1,071	0,550	0,785	-0,0256	0,013	0,019
8,700	-1,043	0,581	0,628	-0,0249	0,014	0,015
8,750	-1,013	0,613	0,628	-0,0242	0,015	0,015
8,800	-0,982	0,644	0,785	-0,0234	0,015	0,019
8,850	-0,949	0,691	0,942	-0,0227	0,017	0,022
8,900	-0,913	0,738	0,942	-0,0218	0,018	0,023
8,950	-0,875	0,785	0,785	-0,0209	0,019	0,019
9,000	-0,834	0,817	0,628	-0,0199	0,020	0,015
9,050	-0,793	0,848	0,628	-0,0189	0,020	0,015
9,100	-0,749	0,880	0,471	-0,0179	0,021	0,011
9,150	-0,705	0,895	0,471	-0,0168	0,021	0,011
9,200	-0,660	0,927	0,314	-0,0158	0,022	0,008
9,250	-0,613	0,927	0,000	-0,0146	0,022	1,735E-16
9,300	-0,567	0,927	0,157	-0,0135	0,022	0,004
9,350	-0,520	0,942	0,157	-0,0124	0,023	0,004
9,400	-0,473	0,942	-0,157	-0,0113	0,022	-0,004
9,450	-0,426	0,927	-0,471	-0,0102	0,022	-0,011
9,500	-0,380	0,895	-0,628	-0,0091	0,021	-0,015
9,550	-0,336	0,864	-0,628	-0,0080	0,021	-0,015
9,600	-0,294	0,833	-0,628	-0,0070	0,020	-0,015
9,650	-0,253	0,801	-0,785	-0,0060	0,019	-0,019
9,700	-0,214	0,754	-1,100	-0,0051	0,018	-0,026
9,750	-0,178	0,691	-1,100	-0,0042	0,017	-0,026
9,800	-0,145	0,644	-0,942	-0,0035	0,015	-0,022
9,850	-0,113	0,597	-1,100	-0,0027	0,014	-0,026
9,900	-0,085	0,534	-1,414	-0,0020	0,013	-0,034
9,950	-0,060	0,456	-1,414	-0,0014	0,011	-0,034
10,000	-0,039	0,393	-1,100	-9,3750E-4	0,009	-0,026
10,050	-0,020	0,346	-1,100	-4,8750E-4	0,008	-0,026
10,100	-0,005	0,283	-1,257	-1,1250E-4	0,007	-0,030
10,150	0,008	0,220	-1,257	1,8750E-4	0,005	-0,030
10,200	0,017	0,157	-1,100	4,1250E-4	0,004	-0,026
10,250	0,024	0,110	-0,942	5,6250E-4	0,003	-0,023
10,300	0,028	0,063	-0,942	6,7500E-4	0,001	-0,022
10,350	0,030	0,016	-0,628	7,1250E-4	3,750E-4	-0,015
10,400	0,030	0,000	-0,157	7,1250E-4	0,000	-0,004
10,450	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,500	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,550	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,600	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,650	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,700	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,750	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,800	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,850	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,900	0,030	0,000	0,000	7,1250E-4	0,000	0,000
10,950	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,000	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,050	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,100	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,150	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,200	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,250	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,300	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,350	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,400	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,450	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,500	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,550	0,030	0,000	0,000	7,1250E-4	0,000	0,000
11,600	0,030	0,000	-0,157	7,1250E-4	0,000	-0,004
11,650	0,030	-0,016	-0,314	7,1250E-4	-3,750E-4	-0,008
11,700	0,028	-0,031	-0,157	6,7500E-4	-7,500E-4	-0,004
11,750	0,027	-0,031	-0,157	6,3750E-4	-7,500E-4	-0,004
11,800	0,025	-0,047	-0,471	6,0000E-4	-0,001	-0,011
11,850	0,022	-0,079	-0,785	5,2500E-4	-0,002	-0,019
11,900	0,017	-0,126	-0,785	4,1250E-4	-0,003	-0,019
11,950	0,009	-0,157	-0,628	2,2500E-4	-0,004	-0,015
12,000	0,002	-0,188	-0,942	3,7500E-5	-0,005	-0,022
12,050	-0,009	-0,251	-1,257	-2,2500E-4	-0,006	-0,030
