#profil2,profil2,profil2,profil2
#entfernung x,entfernung y,nullentfernung,spannung
55,8,8,2.07
55,15,8,1.7
55,17.5,8,1.38
55,20,8,1.03
55,22.5,8,0.73
55,25,8,0.55
55,54,54,2.07
55,50,54,1.97
55,46,54,1.63
55,42,54,1.09
55,38,54,0.6
55,34,54,0.36
