#profil4,profil4,profil4,profil4
#entfernung x,entfernung y,nullentfernung,spannung
15,8,8,11.88
15,10,8,11.15
15,12,8,9.29
15,14,8,6.89
15,16,8,4.43
15,18,8,2.64
15,23,8,0.48
15,53,53,11.89
15,51,53,11.08
15,49,53,8.81
15,47,53,6.49
15,45,53,4.28
15,43,53,2.38
15,38,53,0.4
