#profil3,profil3,profil3,profil3
#entfernung x,entfernung y,nullentfernung,spannung
35,54,54,4.5
35,50,54,4.12
35,47,54,3.18
35,44,54,2.15
35,41,54,1.28
35,40,54,1.06
35,35,54,0.37
35,8,8,4.5
35,12,8,4.02
35,15,8,3.05
35,18,8,2.13
35,20,8,1.61
35,23,8,0.84
35,25,8,0.58
