Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
0,900;0,011;0,079;3,927;2,6250E-4;0,002;0,094;0,1;0,06
0,910;0,013;0,079;-3,927;3,0000E-4;0,002;-0,094;;
0,920;0,013;0,000;-3,927;3,0000E-4;0,000;-0,094;;
0,930;0,013;0,000;3,927;3,0000E-4;0,000;0,094;;
0,940;0,013;0,079;3,927;3,0000E-4;0,002;0,094;;
0,950;0,014;0,079;-3,927;3,3750E-4;0,002;-0,094;0,1;0,06
0,960;0,014;0,000;-3,927;3,3750E-4;0,000;-0,094;;
0,970;0,014;0,000;0,000;3,3750E-4;0,000;0,000;;
0,980;0,014;0,000;3,927;3,3750E-4;0,000;0,094;;
0,990;0,014;0,079;3,927;3,3750E-4;0,002;0,094;;
1,000;0,016;0,079;-3,927;3,7500E-4;0,002;-0,094;0,1;0,06
1,010;0,016;0,000;-3,927;3,7500E-4;0,000;-0,094;;
1,020;0,016;0,000;3,927;3,7500E-4;0,000;0,094;;
1,030;0,016;0,079;3,927;3,7500E-4;0,002;0,094;;
1,040;0,017;0,079;-3,927;4,1250E-4;0,002;-0,094;;
1,050;0,017;0,000;-3,927;4,1250E-4;0,000;-0,094;0,1;0,06
1,060;0,017;0,000;0,000;4,1250E-4;0,000;0,000;;
1,070;0,017;0,000;0,000;4,1250E-4;0,000;0,000;;
1,080;0,017;0,000;0,000;4,1250E-4;0,000;0,000;;
1,090;0,017;0,000;3,927;4,1250E-4;0,000;0,094;;
1,100;0,017;0,079;3,927;4,1250E-4;0,002;0,094;0,1;0,06
1,110;0,019;0,079;-3,927;4,5000E-4;0,002;-0,094;;
1,120;0,019;0,000;-3,927;4,5000E-4;0,000;-0,094;;
1,130;0,019;0,000;3,927;4,5000E-4;0,000;0,094;;
1,140;0,019;0,079;3,927;4,5000E-4;0,002;0,094;;
1,150;0,020;0,079;-3,927;4,8750E-4;0,002;-0,094;0,1;0,06
1,160;0,020;0,000;-3,927;4,8750E-4;0,000;-0,094;;
1,170;0,020;0,000;3,927;4,8750E-4;0,000;0,094;;
1,180;0,020;0,079;3,927;4,8750E-4;0,002;0,094;;
1,190;0,022;0,079;-3,927;5,2500E-4;0,002;-0,094;;
1,200;0,022;0,000;0,000;5,2500E-4;0,000;-1,409E-16;0,1;0,06
1,210;0,022;0,079;3,927;5,2500E-4;0,002;0,094;;
1,220;0,024;0,079;-3,927;5,6250E-4;0,002;-0,094;;
1,230;0,024;0,000;0,000;5,6250E-4;0,000;0,000;;
1,240;0,024;0,079;3,927;5,6250E-4;0,002;0,094;;
1,250;0,025;0,079;-3,927;6,0000E-4;0,002;-0,094;0,1;0,06
1,260;0,025;0,000;-3,927;6,0000E-4;0,000;-0,094;;
1,270;0,025;0,000;0,000;6,0000E-4;0,000;0,000;;
1,280;0,025;0,000;0,000;6,0000E-4;0,000;0,000;;
1,290;0,025;0,000;0,000;6,0000E-4;0,000;0,000;;
1,300;0,025;0,000;3,927;6,0000E-4;0,000;0,094;0,1;0,06
1,310;0,025;0,079;3,927;6,0000E-4;0,002;0,094;;
1,320;0,027;0,079;-3,927;6,3750E-4;0,002;-0,094;;
1,330;0,027;0,000;0,000;6,3750E-4;0,000;0,000;;
1,340;0,027;0,079;3,927;6,3750E-4;0,002;0,094;;
1,350;0,028;0,079;-3,927;6,7500E-4;0,002;-0,094;0,1;0,06
1,360;0,028;0,000;0,000;6,7500E-4;0,000;0,000;;
1,370;0,028;0,079;3,927;6,7500E-4;0,002;0,094;;
1,380;0,030;0,079;-3,927;7,1250E-4;0,002;-0,094;;
1,390;0,030;0,000;0,000;7,1250E-4;0,000;0,000;;
1,400;0,030;0,079;3,927;7,1250E-4;0,002;0,094;0,1;0,06
1,410;0,031;0,079;0,000;7,5000E-4;0,002;0,000;;
1,420;0,031;0,079;4,372E-14;7,5000E-4;0,002;1,041E-15;;
1,430;0,033;0,079;4,372E-14;7,8750E-4;0,002;1,041E-15;;
1,440;0,033;0,079;-4,372E-14;7,8750E-4;0,002;-1,041E-15;;
1,450;0,035;0,079;-3,927;8,2500E-4;0,002;-0,094;0,1;0,07
1,460;0,035;0,000;0,000;8,2500E-4;0,000;0,000;;
1,470;0,035;0,079;3,927;8,2500E-4;0,002;0,094;;
1,480;0,036;0,079;-3,927;8,6250E-4;0,002;-0,094;;
1,490;0,036;0,000;-3,927;8,6250E-4;0,000;-0,094;;
1,500;0,036;0,000;0,000;8,6250E-4;0,000;0,000;0,1;0,07
1,510;0,036;0,000;3,927;8,6250E-4;0,000;0,094;;
1,520;0,036;0,079;3,927;8,6250E-4;0,002;0,094;;
1,530;0,038;0,079;-3,927;9,0000E-4;0,002;-0,094;;
1,540;0,038;0,000;0,000;9,0000E-4;0,000;0,000;;
1,550;0,038;0,079;3,927;9,0000E-4;0,002;0,094;0,1;0,07
1,560;0,039;0,079;-3,927;9,3750E-4;0,002;-0,094;;
1,570;0,039;0,000;0,000;9,3750E-4;0,000;0,000;;
1,580;0,039;0,079;3,927;9,3750E-4;0,002;0,094;;
1,590;0,041;0,079;-3,927;9,7500E-4;0,002;-0,094;;
1,600;0,041;0,000;-3,927;9,7500E-4;0,000;-0,094;0,1;0,07
1,610;0,041;0,000;3,927;9,7500E-4;0,000;0,094;;
1,620;0,041;0,079;3,927;9,7500E-4;0,002;0,094;;
1,630;0,042;0,079;-3,927;0,0010;0,002;-0,094;;
1,640;0,042;0,000;-3,927;0,0010;0,000;-0,094;;
1,650;0,042;0,000;0,000;0,0010;0,000;0,000;0,1;0,08
1,660;0,042;0,000;3,927;0,0010;0,000;0,094;;
1,670;0,042;0,079;3,927;0,0010;0,002;0,094;;
1,680;0,044;0,079;-3,927;0,0010;0,002;-0,094;;
1,690;0,044;0,000;-3,927;0,0010;0,000;-0,094;;
1,700;0,044;0,000;3,927;0,0010;0,000;0,094;0,1;0,08
1,710;0,044;0,079;3,927;0,0010;0,002;0,094;;
1,720;0,046;0,079;-3,927;0,0011;0,002;-0,094;;
1,730;0,046;0,000;0,000;0,0011;0,000;0,000;;
1,740;0,046;0,079;3,927;0,0011;0,002;0,094;;
1,750;0,047;0,079;-3,927;0,0011;0,002;-0,094;0,1;0,09
1,760;0,047;0,000;0,000;0,0011;0,000;0,000;;
1,770;0,047;0,079;3,927;0,0011;0,002;0,094;;
1,780;0,049;0,079;-3,927;0,0012;0,002;-0,094;;
1,790;0,049;0,000;0,000;0,0012;0,000;0,000;;
1,800;0,049;0,079;3,927;0,0012;0,002;0,094;0,1;0,10
1,810;0,050;0,079;-3,927;0,0012;0,002;-0,094;;
1,820;0,050;0,000;0,000;0,0012;0,000;0,000;;
1,830;0,050;0,079;3,927;0,0012;0,002;0,094;;
1,840;0,052;0,079;-3,927;0,0012;0,002;-0,094;;
1,850;0,052;0,000;-3,927;0,0012;0,000;-0,094;0,1;0,12
1,860;0,052;0,000;0,000;0,0012;0,000;0,000;;
1,870;0,052;0,000;3,927;0,0012;0,000;0,094;;
1,880;0,052;0,079;3,927;0,0012;0,002;0,094;;
