Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
2,800;0,126;0,059;0,020;0,0030000;0,001;4,687E-4;0,0;0,0342255;2,800;0,108;0,055;0,010;0,0025875;0,001;2,344E-4;0,0;0,0454559;2,800;0,096;0,043;-8,674E-17;0,0022875;0,001;-1,355E-18;0,0;0,0426178;2,800;0,064;0,039;-0,010;0,0015375;9,375E-4;-2,344E-4;0,0;0,0410004
3,000;0,138;0,063;-0,029;0,0033000;0,002;-7,031E-4;0,0;0,0332794;3,000;0,121;0,055;-0,029;0,0028875;0,001;-7,031E-4;0,0;0,0383148;3,000;0,105;0,039;-0,010;0,0025125;9,375E-4;-2,344E-4;0,0;0,0494080;3,000;0,071;0,039;0,029;0,0016875;9,375E-4;7,031E-4;0,0;0,0406799
3,200;0,151;0,047;-0,059;0,0036000;0,001;-0,001;0,0;0,0327148;3,200;0,130;0,043;-0,020;0,0031125;0,001;-4,687E-4;0,0;0,0352783;3,200;0,112;0,039;0,020;0,0026625;9,375E-4;4,687E-4;0,1;0,0510712;3,200;0,080;0,051;0,029;0,0019125;0,001;7,031E-4;0,0;0,0413971
3,400;0,157;0,039;0,010;0,0037500;9,375E-4;2,344E-4;0,0;0,0338745;3,400;0,138;0,047;0,020;0,0033000;0,001;4,688E-4;0,0;0,0326233;3,400;0,121;0,047;0,010;0,0028875;0,001;2,344E-4;0,0;0,0430450;3,400;0,091;0,051;0,010;0,0021750;0,001;2,344E-4;0,0;0,0475311
3,600;0,167;0,051;0,039;0,0039750;0,001;9,375E-4;0,0;0,0389099;3,600;0,149;0,051;0,010;0,0035625;0,001;2,344E-4;0,0;0,0335388;3,600;0,130;0,043;-0,010;0,0031125;0,001;-2,344E-4;0,0;0,0360870;3,600;0,101;0,055;0,010;0,0024000;0,001;2,344E-4;0,1;0,0548401
3,800;0,178;0,055;-0,010;0,0042375;0,001;-2,344E-4;0,0;0,0498657;3,800;0,159;0,051;0,010;0,0037875;0,001;2,344E-4;0,0;0,0343323;3,800;0,138;0,043;-0,010;0,0033000;0,001;-2,344E-4;0,0;0,0346069;3,800;0,113;0,055;-0,029;0,0027000;0,001;-7,031E-4;0,1;0,0566559
4,000;0,188;0,047;-0,029;0,0045000;0,001;-7,031E-4;0,1;0,0518341;4,000;0,170;0,055;-0,010;0,0040500;0,001;-2,344E-4;0,0;0,0357819;4,000;0,148;0,039;-1,214E-16;0,0035250;9,375E-4;-2,711E-18;0,0;0,0350189;4,000;0,123;0,043;-0,049;0,0029250;0,001;-0,001;0,1;0,0537262
4,200;0,196;0,043;-0,010;0,0046875;0,001;-2,344E-4;0,0;0,0486603;4,200;0,181;0,047;-0,029;0,0043125;0,001;-7,031E-4;0,0;0,0425568;4,200;0,154;0,043;0,020;0,0036750;0,001;4,687E-4;0,0;0,0346832;4,200;0,130;0,035;0,010;0,0031125;8,437E-4;2,344E-4;0,1;0,0510254
4,400;0,206;0,043;0,020;0,0049125;0,001;4,687E-4;0,0;0,0390472;4,400;0,188;0,043;0,020;0,0045000;0,001;4,688E-4;0,1;0,0517578;4,400;0,165;0,047;0,000;0,0039375;0,001;2,711E-18;0,0;0,0354767;4,400;0,137;0,047;0,049;0,0032625;0,001;0,001;0,0;0,0436554
4,600;0,214;0,051;0,029;0,0051000;0,001;7,031E-4;0,0;0,0345459;4,600;0,198;0,055;0,029;0,0047250;0,001;7,031E-4;0,0;0,0440826;4,600;0,173;0,043;-0,010;0,0041250;0,001;-2,344E-4;0,0;0,0375366;4,600;0,149;0,055;2,602E-16;0,0035625;0,001;6,505E-18;0,0;0,0405426
