Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
4,800;0,226;0,055;-0,029;0,0054000;0,001;-7,031E-4;0,0;0,0345001;4,800;0,210;0,055;-0,029;0,0050250;0,001;-7,031E-4;0,0;0,0357056;4,800;0,182;0,043;-0,010;0,0043500;0,001;-2,344E-4;0,0;0,0441589;4,800;0,159;0,047;-0,020;0,0037875;0,001;-4,687E-4;0,0;0,0423889
5,000;0,236;0,039;-0,059;0,0056250;9,375E-4;-0,001;0,0;0,0342255;5,000;0,220;0,043;-0,039;0,0052500;0,001;-9,375E-4;0,0;0,0345306;5,000;0,190;0,039;-0,010;0,0045375;9,375E-4;-2,344E-4;0,0;0,0482330;5,000;0,168;0,047;0,010;0,0040125;0,001;2,344E-4;0,0;0,0446472
5,200;0,242;0,031;-5,204E-17;0,0057750;7,500E-4;-5,421E-18;0,0;0,0338440;5,200;0,228;0,039;-2,429E-16;0,0054375;9,375E-4;-5,421E-18;0,0;0,0334625;5,200;0,198;0,039;0,010;0,0047250;9,375E-4;2,344E-4;0,0;0,0473633;5,200;0,178;0,051;0,010;0,0042375;0,001;2,344E-4;0,1;0,0528870
5,400;0,248;0,039;0,059;0,0059250;9,375E-4;0,001;0,0;0,0374451;5,400;0,236;0,043;0,039;0,0056250;0,001;9,375E-4;0,0;0,0351563;5,400;0,206;0,043;0,020;0,0049125;0,001;4,688E-4;0,0;0,0403290;5,400;0,188;0,051;-0,020;0,0045000;0,001;-4,687E-4;0,1;0,0560913
5,600;0,258;0,055;0,039;0,0061500;0,001;9,375E-4;0,0;0,0475006;5,600;0,245;0,055;0,049;0,0058500;0,001;0,001;0,0;0,0352936;5,600;0,215;0,047;2,429E-16;0,0051375;0,001;5,421E-18;0,0;0,0361786;5,600;0,198;0,043;-0,029;0,0047250;0,001;-7,031E-4;0,1;0,0570068
5,800;0,270;0,055;-0,020;0,0064500;0,001;-4,687E-4;0,0;0,0486145;5,800;0,258;0,063;1,388E-16;0,0061500;0,002;7,047E-18;0,0;0,0377502;5,800;0,225;0,043;-0,010;0,0053625;0,001;-2,344E-4;0,0;0,0353394;5,800;0,206;0,039;-0,010;0,0049125;9,375E-4;-2,344E-4;0,1;0,0552368
6,000;0,280;0,047;-0,029;0,0066750;0,001;-7,031E-4;0,0;0,0449371;6,000;0,270;0,055;-0,039;0,0064500;0,001;-9,375E-4;0,0;0,0467224;6,000;0,232;0,043;0,010;0,0055500;0,001;2,344E-4;0,0;0,0359039;6,000;0,214;0,039;0,020;0,0051000;9,375E-4;4,687E-4;0,1;0,0524750
6,200;0,289;0,043;-2,602E-16;0,0069000;0,001;-1,193E-17;0,0;0,0378571;6,200;0,280;0,047;-0,020;0,0066750;0,001;-4,688E-4;0,0;0,0460510;6,200;0,242;0,047;0,010;0,0057750;0,001;2,344E-4;0,0;0,0364990;6,200;0,221;0,047;0,029;0,0052875;0,001;7,031E-4;0,0;0,0452881
6,400;0,297;0,047;0,020;0,0070875;0,001;4,687E-4;0,0;0,0345764;6,400;0,289;0,047;-0,010;0,0069000;0,001;-2,344E-4;0,0;0,0382233;6,400;0,251;0,047;-1,735E-16;0,0060000;0,001;0,000;0,0;0,0365906;6,400;0,232;0,051;-0,010;0,0055500;0,001;-2,344E-4;0,0;0,0390778
6,600;0,308;0,051;-0,010;0,0073500;0,001;-2,344E-4;0,0;0,0362549;6,600;0,298;0,043;-0,020;0,0071250;0,001;-4,687E-4;0,0;0,0355835;6,600;0,261;0,047;8,674E-17;0,0062250;0,001;6,505E-18;0,0;0,0376587;6,600;0,242;0,043;-0,020;0,0057750;0,001;-4,687E-4;0,0;0,0411377
6,800;0,317;0,043;-0,020;0,0075750;0,001;-4,687E-4;0,0;0,0364532;6,800;0,306;0,039;2,429E-16;0,0073125;9,375E-4;5,421E-18;0,0;0,0337219;6,800;0,270;0,047;-0,010;0,0064500;0,001;-2,344E-4;0,0;0,0439758;6,800;0,250;0,043;0,010;0,0059625;0,001;2,344E-4;0,0;0,0415802
7,000;0,325;0,043;0,010;0,0077625;0,001;2,344E-4;0,0;0,0376282;7,000;0,314;0,043;0,010;0,0075000;0,001;2,344E-4;0,0;0,0346832;7,000;0,280;0,043;-0,010;0,0066750;0,001;-2,344E-4;0,0;0,0449982;7,000;0,259;0,047;0,010;0,0061875;0,001;2,344E-4;0,0;0,0451813
7,200;0,335;0,047;0,010;0,0079875;0,001;2,344E-4;0,0;0,0449066;7,200;0,324;0,043;-0,010;0,0077250;0,001;-2,344E-4;0,0;0,0375366;7,200;0,287;0,043;0,020;0,0068625;0,001;4,687E-4;0,0;0,0389709;7,200;0,269;0,047;-4,337E-16;0,0064125;0,001;-6,505E-18;0,0;0,0497894
