Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
6,200;0,069;0,008;-0,010;0,0016500;1,875E-4;-2,344E-4;0,0;0,0325623;6,200;0,306;0,055;0,020;0,0073125;0,001;4,687E-4;0,0;0,0341034
6,400;0,071;0,008;0,010;0,0016875;1,875E-4;2,344E-4;0,0;0,0330200;6,400;0,319;0,055;-0,010;0,0076125;0,001;-2,344E-4;0,0;0,0336456
6,600;0,072;0,012;0,010;0,0017250;2,812E-4;2,344E-4;0,0;0,0335083;6,600;0,328;0,051;3,123E-16;0,0078375;0,001;1,247E-17;0,0;0,0349731
6,800;0,075;0,012;6,505E-17;0,0018000;2,813E-4;1,626E-18;0,0;0,0328522;6,800;0,339;0,055;0,020;0,0081000;0,001;4,688E-4;0,0;0,0351410
7,000;0,077;0,012;-6,505E-17;0,0018375;2,813E-4;-1,626E-18;0,0;0,0324249;7,000;0,350;0,059;-0,010;0,0083625;0,001;-2,344E-4;0,0;0,0352173
7,200;0,080;0,012;-0,010;0,0019125;2,812E-4;-2,344E-4;0,0;0,0339050;7,200;0,363;0,051;-0,029;0,0086625;0,001;-7,031E-4;0,0;0,0360718
7,400;0,082;0,008;0,000;0,0019500;1,875E-4;0,000;0,0;0,0334473;7,400;0,371;0,047;0,020;0,0088500;0,001;4,688E-4;0,0;0,0360107
7,600;0,083;0,012;0,010;0,0019875;2,812E-4;2,344E-4;0,0;0,0340271;7,600;0,382;0,059;0,029;0,0091125;0,001;7,031E-4;0,0;0,0353851
7,800;0,086;0,012;0,000;0,0020625;2,813E-4;1,355E-18;0,0;0,0341339;7,800;0,394;0,059;-0,020;0,0094125;0,001;-4,688E-4;0,0;0,0343323
8,000;0,088;0,012;-6,505E-17;0,0021000;2,813E-4;-1,626E-18;0,0;0,0332794;8,000;0,405;0,051;-0,020;0,0096750;0,001;-4,688E-4;0,0;0,0347137
8,200;0,091;0,012;-0,010;0,0021750;2,813E-4;-2,344E-4;0,0;0,0339966;8,200;0,415;0,051;0,029;0,0099000;0,001;7,031E-4;0,0;0,0343170
8,400;0,093;0,008;-0,010;0,0022125;1,875E-4;-2,344E-4;0,0;0,0339813;8,400;0,426;0,063;0,000;0,0101625;0,002;0,000;0,0;0,0333405
8,600;0,094;0,008;-8,674E-17;0,0022500;1,875E-4;-2,101E-18;0,0;0,0334167;8,600;0,440;0,051;-0,059;0,0105000;0,001;-0,001;0,0;0,0334167
8,800;0,096;0,008;0,000;0,0022875;1,875E-4;0,000;0,0;0,0320587;8,800;0,446;0,039;0,000;0,0106500;9,375E-4;0,000;0,0;0,0332947
9,000;0,097;0,008;0,000;0,0023250;1,875E-4;0,000;0,0;0,0324707;9,000;0,456;0,051;0,049;0,0108750;0,001;0,001;0,0;0,0342712
9,200;0,099;0,008;0,010;0,0023625;1,875E-4;2,344E-4;0,0;0,0326996;9,200;0,467;0,059;-0,010;0,0111375;0,001;-2,344E-4;0,0;0,0347290
9,400;0,101;0,012;0,010;0,0024000;2,813E-4;2,344E-4;0,0;0,0317383;9,400;0,479;0,047;-0,049;0,0114375;0,001;-0,001;0,0;0,0342407
9,600;0,104;0,012;1,301E-16;0,0024750;2,813E-4;3,117E-18;0,0;0,0318146;9,600;0,485;0,039;0,010;0,0115875;9,375E-4;2,344E-4;0,0;0,0350494
9,800;0,105;0,012;0,000;0,0025125;2,813E-4;0,000;0,0;0,0324554;9,800;0,495;0,051;0,039;0,0118125;0,001;9,375E-4;0,0;0,0353546
10,000;0,108;0,012;-0,010;0,0025875;2,813E-4;-2,344E-4;0,0;0,0321503;10,000;0,506;0,055;-0,020;0,0120750;0,001;-4,688E-4;0,0;0,0357513
10,200;0,110;0,008;0,000;0,0026250;1,875E-4;0,000;0,0;0,0317688;10,200;0,517;0,043;-0,039;0,0123375;0,001;-9,375E-4;0,0;0,0364685
10,400;0,112;0,012;0,010;0,0026625;2,813E-4;2,344E-4;0,0;0,0324249;10,400;0,523;0,039;0,020;0,0124875;9,375E-4;4,687E-4;0,0;0,0361023
10,600;0,115;0,012;-0,010;0,0027375;2,813E-4;-2,344E-4;0,0;0,0317688;10,600;0,533;0,051;0,039;0,0127125;0,001;9,375E-4;0,0;0,0354767
10,800;0,116;0,008;-0,010;0,0027750;1,875E-4;-2,344E-4;0,0;0,0323639;10,800;0,543;0,055;0,000;0,0129750;0,001;0,000;0,0;0,0347748
11,000;0,118;0,008;-8,674E-17;0,0028125;1,875E-4;-2,101E-18;0,0;0,0321655;11,000;0,554;0,051;-0,020;0,0132375;0,001;-4,688E-4;0,0;0,0348816
11,200;0,119;0,008;0,000;0,0028500;1,875E-4;0,000;0,0;0,0319824;11,200;0,564;0,047;-0,020;0,0134625;0,001;-4,687E-4;0,0;0,0337830
11,400;0,121;0,008;0,000;0,0028875;1,875E-4;0,000;0,0;0,0322876;11,400;0,573;0,043;-0,010;0,0136875;0,001;-2,344E-4;0,0;0,0342560
11,600;0,123;0,008;1,735E-16;0,0029250;1,875E-4;2,101E-18;0,0;0,0321960;11,600;0,581;0,043;0,010;0,0138750;0,001;2,344E-4;0,0;0,0330963
11,800;0,124;0,008;8,674E-17;0,0029625;1,875E-4;0,000;0,0;0,0325775;11,800;0,591;0,047;0,000;0,0141000;0,001;0,000;0,0;0,0342102
12,000;0,126;0,008;0,010;0,0030000;1,875E-4;2,344E-4;0,0;0,0314789;12,000;0,600;0,043;-0,010;0,0143250;0,001;-2,344E-4;0,0;0,0341797
12,200;0,127;0,012;0,010;0,0030375;2,813E-4;2,344E-4;0,0;0,0324249;12,200;0,608;0,043;0,010;0,0145125;0,001;2,344E-4;0,0;0,0345306
12,400;0,130;0,012;-0,010;0,0031125;2,813E-4;-2,344E-4;0,0;0,0323944;12,400;0,617;0,047;0,039;0,0147375;0,001;9,375E-4;0,0;0,0353088
12,600;0,132;0,008;-0,010;0,0031500;1,875E-4;-2,344E-4;0,0;0,0326080;12,600;0,627;0,059;0,010;0,0149625;0,001;2,344E-4;0,0;0,0360413
12,800;0,134;0,008;0,000;0,0031875;1,875E-4;0,000;0,0;0,0316162;12,800;0,641;0,051;-0,049;0,0153000;0,001;-0,001;0,0;0,0363159
13,000;0,135;0,008;-8,674E-17;0,0032250;1,875E-4;-2,101E-18;0,0;0,0326233;13,000;0,647;0,039;-0,010;0,0154500;9,375E-4;-2,344E-4;0,0;0,0372772
13,200;0,137;0,008;0,000;0,0032625;1,875E-4;0,000;0,0;0,0319977;13,200;0,657;0,047;0,020;0,0156750;0,001;4,687E-4;0,0;0,0376587
13,400;0,138;0,008;0,010;0,0033000;1,875E-4;2,344E-4;0,0;0,0322418;13,400;0,666;0,047;0,000;0,0159000;0,001;0,000;0,0;0,0376129
13,600;0,140;0,012;0,010;0,0033375;2,813E-4;2,344E-4;0,0;0,0324097;13,600;0,675;0,047;-0,010;0,0161250;0,001;-2,344E-4;0,0;0,0379639
13,800;0,143;0,012;-0,010;0,0034125;2,813E-4;-2,344E-4;0,0;0,0316315;13,800;0,685;0,043;-0,020;0,0163500;0,001;-4,687E-4;0,0;0,0371399
14,000;0,145;0,008;-0,010;0,0034500;1,875E-4;-2,344E-4;0,0;0,0319519;14,000;0,693;0,039;-4,857E-16;0,0165375;9,375E-4;-1,138E-17;0,0;0,0365448
14,200;0,146;0,008;0,010;0,0034875;1,875E-4;2,344E-4;0,0;0,0311890;14,200;0,701;0,043;0,039;0,0167250;0,001;9,375E-4;0,0;0,0365601
14,400;0,148;0,012;0,010;0,0035250;2,813E-4;2,344E-4;0,0;0,0317841;14,400;0,710;0,055;0,020;0,0169500;0,001;4,688E-4;0,0;0,0359650
14,600;0,151;0,012;-0,010;0,0036000;2,813E-4;-2,344E-4;0,0;0,0314484;14,600;0,723;0,051;-0,049;0,0172500;0,001;-0,001;0,0;0,0351410
14,800;0,152;0,008;-0,010;0,0036375;1,875E-4;-2,344E-4;0,0;0,0306854;14,800;0,730;0,035;-0,039;0,0174375;8,438E-4;-9,375E-4;0,0;0,0339966
15,000;0,154;0,008;-8,674E-17;0,0036750;1,875E-4;-2,101E-18;0,0;0,0314484;15,000;0,737;0,035;0,010;0,0175875;8,438E-4;2,344E-4;0,0;0,0348511
15,200;0,156;0,008;0,000;0,0037125;1,875E-4;0,000;0,0;0,0309296;15,200;0,745;0,039;0,039;0,0177750;9,375E-4;9,375E-4;0,0;0,0342865
15,400;0,157;0,008;0,000;0,0037500;1,875E-4;0,000;0,0;0,0313263;15,400;0,752;0,051;0,029;0,0179625;0,001;7,031E-4;0,0;0,0351868
15,600;0,159;0,008;-0,010;0,0037875;1,875E-4;-2,344E-4;0,0;0,0305176;15,600;0,765;0,051;-0,029;0,0182625;0,001;-7,031E-4;0,0;0,0360260
15,800;0,160;0,004;-0,010;0,0038250;9,375E-5;-2,344E-4;0,0;0,0309143;15,800;0,773;0,039;-0,029;0,0184500;9,375E-4;-7,031E-4;0,0;0,0366364
16,000;0,160;0,004;0,010;0,0038250;9,375E-5;2,344E-4;0,0;0,0310059;16,000;0,781;0,039;0,049;0,0186375;9,375E-4;0,001;0,0;0,0366669
